Player	Ratio	Num wins going first	Num games going first	Num wins overall	Num games overall
MarkusKahlsen	1.08	258	1024	601	2579
Fireheart	1.07	505	2694	702	4011
kimbifille	1.05	570	2651	784	3845
Lanvin	1.03	485	2664	1082	6148
IAMJEFF	1.02	431	2350	566	3141
padi	1.01	76	415	193	1062
scharkbite	0.99	574	3137	1189	6425
Lel0uch	0.99	431	2291	913	4813
melwen	0.98	510	2916	1285	7204
Dr_Kakashi	0.97	487	3060	895	5429
RaKXeR	0.96	125	655	349	1757
Libster	0.96	317	1616	678	3309
sjdrodge	0.95	387	1527	1182	4418
VerySloppyTwo	0.95	104	723	226	1498
asaelr	0.94	467	2305	1033	4797
Valetta6789	0.94	400	1904	590	2646
Floriman	0.94	431	2235	757	3679
micerang	0.94	251	1167	894	3890
indego	0.93	234	1889	518	3905
sin_faith	0.93	145	1016	389	2547
Kyle	0.93	516	3181	1042	5988
pianoblook	0.92	397	2166	738	3712
piper	0.88	270	1257	465	1908
florrat2	0.86	187	1044	422	2024
ADrone	0.85	118	586	274	1159
timotree	0.8	125	734	417	1956
Bot-Fiora	0.74	8	61	130	730
Zamiel	0.74	576	4840	1107	6890
Nitrate	0.67	39	267	210	969
