game_id	count	score	variant	date	players
515974	4	25	Gray (5 Suits)	2021-04-29 — 19:04:16 UTC	asaelr, Floriman, scharkbite, Valetta6789
515948	4	25	Gray (5 Suits)	2021-04-29 — 18:43:26 UTC	asaelr, Floriman, scharkbite, Valetta6789
506827	4	30	Muddy Rainbow & Dark Prism (6 Suits)	2021-04-19 — 19:46:40 UTC	dobi, Lanvin, scharkbite, Valetta6789
501095	4	30	Up or Down & Omni (6 Suits)	2021-04-14 — 20:01:06 UTC	asaelr, Kyle, scharkbite, Valetta6789
501056	4	0	Up or Down & Omni (6 Suits)	2021-04-14 — 19:41:00 UTC	asaelr, Kyle, scharkbite, Valetta6789
501030	4	0	Up or Down & Omni (6 Suits)	2021-04-14 — 19:22:44 UTC	asaelr, Kyle, scharkbite, Valetta6789
501022	4	0	Up or Down & Omni (6 Suits)	2021-04-14 — 19:09:38 UTC	asaelr, Kyle, scharkbite, Valetta6789
478227	3	29	Brown (6 Suits)	2021-03-23 — 20:16:33 UTC	asaelr, scharkbite, Valetta6789
478204	3	30	Brown (6 Suits)	2021-03-23 — 19:59:32 UTC	asaelr, scharkbite, Valetta6789
478183	3	29	Brown (6 Suits)	2021-03-23 — 19:37:14 UTC	asaelr, scharkbite, Valetta6789
478153	3	30	Brown (6 Suits)	2021-03-23 — 18:40:12 UTC	asaelr, scharkbite, Valetta6789
478147	3	30	Brown (6 Suits)	2021-03-23 — 18:22:02 UTC	asaelr, scharkbite, Valetta6789
478136	3	30	Brown (6 Suits)	2021-03-23 — 18:08:26 UTC	asaelr, scharkbite, Valetta6789
478125	3	29	Brown (6 Suits)	2021-03-23 — 17:54:31 UTC	asaelr, scharkbite, Valetta6789
478113	3	30	Brown (6 Suits)	2021-03-23 — 17:39:00 UTC	asaelr, scharkbite, Valetta6789
460288	4	29	Throw It in a Hole (6 Suits)	2021-03-07 — 18:58:51 UTC	asaelr, Floriman, scharkbite, Valetta6789
460254	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 18:19:49 UTC	asaelr, Floriman, scharkbite, Valetta6789
460224	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 17:47:52 UTC	asaelr, Floriman, scharkbite, Valetta6789
460200	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 17:19:23 UTC	asaelr, Floriman, scharkbite, Valetta6789
460175	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 16:44:29 UTC	asaelr, Floriman, scharkbite, Valetta6789
460157	4	30	Throw It in a Hole (6 Suits)	2021-03-07 — 16:10:39 UTC	asaelr, Floriman, scharkbite, Valetta6789
457828	5	0	Black & Brown (6 Suits)	2021-03-05 — 19:32:23 UTC	Floriman, Lel0uch, newduke, Valetta6789, Zamiel
457813	5	0	White-Fives & Pink (6 Suits)	2021-03-05 — 19:11:39 UTC	Floriman, indego, Lel0uch, Valetta6789, Zamiel
457797	5	0	White-Fives & Pink (6 Suits)	2021-03-05 — 18:55:40 UTC	Floriman, indego, Lel0uch, Valetta6789, Zamiel
457787	5	0	White-Fives & Pink (6 Suits)	2021-03-05 — 18:44:40 UTC	Floriman, indego, Lel0uch, Valetta6789, Zamiel
457779	5	0	White-Fives & Pink (6 Suits)	2021-03-05 — 18:32:14 UTC	Floriman, kopen, Lel0uch, Valetta6789, Zamiel
457742	5	28	Up or Down & Prism (6 Suits)	2021-03-05 — 18:09:37 UTC	Floriman, kopen, Kyle, Valetta6789, Zamiel
457718	5	0	Up or Down & Prism (6 Suits)	2021-03-05 — 17:43:03 UTC	Floriman, kopen, Kyle, Valetta6789, Zamiel
457693	4	0	Up or Down & Prism (6 Suits)	2021-03-05 — 17:24:33 UTC	kopen, Kyle, Valetta6789, Zamiel
457666	4	0	Up or Down & Prism (6 Suits)	2021-03-05 — 16:53:07 UTC	kopen, Kyle, Valetta6789, Zamiel
446682	4	30	Throw It in a Hole (6 Suits)	2021-02-23 — 17:04:04 UTC	asaelr, Floriman, scharkbite, Valetta6789
446659	4	30	Throw It in a Hole (6 Suits)	2021-02-23 — 16:35:22 UTC	asaelr, Floriman, scharkbite, Valetta6789
446643	4	0	Throw It in a Hole (6 Suits)	2021-02-23 — 16:12:30 UTC	asaelr, Floriman, scharkbite, Valetta6789
445901	5	24	Pink-Fives & Muddy Rainbow (5 Suits)	2021-02-22 — 21:46:40 UTC	Fireheart, Floriman, kimbifille, Valetta6789, Zamiel
445850	5	24	Pink-Fives & Muddy Rainbow (5 Suits)	2021-02-22 — 21:09:19 UTC	Fireheart, Floriman, kimbifille, Valetta6789, Zamiel
441092	4	30	White & Prism (6 Suits)	2021-02-18 — 20:26:21 UTC	Dr_Kakashi, Floriman, kimbifille, Valetta6789
441060	4	0	White & Prism (6 Suits)	2021-02-18 — 20:03:48 UTC	Dr_Kakashi, Floriman, kimbifille, Valetta6789
441050	4	0	White & Prism (6 Suits)	2021-02-18 — 19:49:25 UTC	Dr_Kakashi, Floriman, kimbifille, Valetta6789
440968	5	0	White & Muddy Rainbow (6 Suits)	2021-02-18 — 18:18:03 UTC	Dr_Kakashi, indego, jeff10, kopen, Valetta6789
440406	5	23	Pink-Fives & Brown (5 Suits)	2021-02-17 — 23:53:46 UTC	kopen, melwen, micerang, Valetta6789, Zamiel
440397	5	0	Pink-Fives & Brown (5 Suits)	2021-02-17 — 23:38:11 UTC	kopen, melwen, micerang, Valetta6789, Zamiel
433647	3	30	Black & Muddy Rainbow (6 Suits)	2021-02-11 — 22:09:27 UTC	Fireheart, Valetta6789, Zamiel
433615	3	0	Black & Muddy Rainbow (6 Suits)	2021-02-11 — 21:51:15 UTC	Fireheart, Valetta6789, Zamiel
433594	3	0	Black & Muddy Rainbow (6 Suits)	2021-02-11 — 21:34:36 UTC	Fireheart, Valetta6789, Zamiel
412968	5	0	Muddy Rainbow (4 Suits)	2021-01-23 — 23:48:24 UTC	Fireheart, Floriman, RaKXeR, Valetta6789, Zamiel
412939	5	0	Muddy Rainbow (4 Suits)	2021-01-23 — 23:22:36 UTC	Fireheart, Floriman, RaKXeR, Valetta6789, Zamiel
412920	4	0	White & Null (6 Suits)	2021-01-23 — 23:10:38 UTC	Floriman, RaKXeR, Valetta6789, Zamiel
404387	4	29	Pink & Cocoa Rainbow (6 Suits)	2021-01-15 — 21:56:35 UTC	Fireheart, Floriman, Valetta6789, Zamiel
404355	4	0	Pink & Cocoa Rainbow (6 Suits)	2021-01-15 — 21:30:58 UTC	Fireheart, Floriman, Valetta6789, Zamiel
404331	5	28	Pink & Cocoa Rainbow (6 Suits)	2021-01-15 — 21:10:51 UTC	Fireheart, Floriman, Kyle, Valetta6789, Zamiel
404309	5	0	Pink & Cocoa Rainbow (6 Suits)	2021-01-15 — 20:49:02 UTC	Fireheart, Floriman, Kyle, Valetta6789, Zamiel
404287	5	27	Pink & Cocoa Rainbow (6 Suits)	2021-01-15 — 20:36:51 UTC	Fireheart, Floriman, Kyle, Valetta6789, Zamiel
404270	3	0	Deceptive-Ones & Cocoa Rainbow (5 Suits)	2021-01-15 — 20:22:38 UTC	Kyle, Valetta6789, Zamiel
404258	3	22	Deceptive-Ones & Cocoa Rainbow (5 Suits)	2021-01-15 — 20:11:06 UTC	Kyle, Valetta6789, Zamiel
404250	3	0	Deceptive-Ones & Cocoa Rainbow (5 Suits)	2021-01-15 — 19:57:31 UTC	Kyle, Valetta6789, Zamiel
378892	4	0	Deceptive-Ones & Black (6 Suits)	2020-12-22 — 16:40:45 UTC	kimbifille, sjdrodge, Valetta6789, Zamiel
378884	4	0	Deceptive-Ones & Black (6 Suits)	2020-12-22 — 16:30:47 UTC	kimbifille, sjdrodge, Valetta6789, Zamiel
378881	4	0	Deceptive-Ones & Black (6 Suits)	2020-12-22 — 16:19:12 UTC	ADrone, sjdrodge, Valetta6789, Zamiel
370231	4	28	Rainbow (6 Suits)	2020-12-13 — 21:09:01 UTC	asaelr, Floriman, scharkbite, Valetta6789
370187	4	30	Rainbow (6 Suits)	2020-12-13 — 20:33:52 UTC	asaelr, Floriman, scharkbite, Valetta6789
370139	4	29	Rainbow (6 Suits)	2020-12-13 — 19:57:36 UTC	asaelr, Floriman, scharkbite, Valetta6789
370103	4	29	Rainbow (6 Suits)	2020-12-13 — 19:02:48 UTC	asaelr, Floriman, scharkbite, Valetta6789
370067	4	28	Rainbow (6 Suits)	2020-12-13 — 18:16:58 UTC	asaelr, Floriman, scharkbite, Valetta6789
370047	4	30	Rainbow (6 Suits)	2020-12-13 — 17:49:37 UTC	asaelr, Floriman, scharkbite, Valetta6789
370024	4	0	Rainbow (6 Suits)	2020-12-13 — 17:28:06 UTC	asaelr, Floriman, scharkbite, Valetta6789
370015	4	0	Rainbow (6 Suits)	2020-12-13 — 17:11:23 UTC	asaelr, Floriman, scharkbite, Valetta6789
368156	4	0	Ambiguous & Omni (5 Suits)	2020-12-11 — 22:55:40 UTC	Fireheart, Livia, Valetta6789, Zamiel
368139	4	0	Ambiguous & Omni (5 Suits)	2020-12-11 — 22:37:46 UTC	Fireheart, Livia, Valetta6789, Zamiel
368117	4	0	Ambiguous & Omni (5 Suits)	2020-12-11 — 22:22:37 UTC	Fireheart, Livia, Valetta6789, Zamiel
368094	4	25	Ambiguous & Brown (5 Suits)	2020-12-11 — 22:07:41 UTC	Fireheart, Livia, Valetta6789, Zamiel
367024	4	0	Rainbow (6 Suits)	2020-12-10 — 21:10:27 UTC	asaelr, Floriman, scharkbite, Valetta6789
366998	4	28	Rainbow (6 Suits)	2020-12-10 — 20:37:31 UTC	asaelr, Floriman, scharkbite, Valetta6789
366946	4	0	Rainbow (6 Suits)	2020-12-10 — 19:46:48 UTC	asaelr, Floriman, scharkbite, Valetta6789
366924	4	28	Rainbow (6 Suits)	2020-12-10 — 19:14:55 UTC	asaelr, Floriman, scharkbite, Valetta6789
366905	4	30	Rainbow (6 Suits)	2020-12-10 — 18:34:33 UTC	asaelr, Floriman, scharkbite, Valetta6789
362540	4	0	Rainbow (6 Suits)	2020-12-06 — 17:10:33 UTC	asaelr, Floriman, scharkbite, Valetta6789
362530	4	24	Rainbow (6 Suits)	2020-12-06 — 16:50:19 UTC	asaelr, Floriman, scharkbite, Valetta6789
362518	4	0	Rainbow (6 Suits)	2020-12-06 — 16:18:19 UTC	asaelr, Floriman, scharkbite, Valetta6789
362502	4	30	Rainbow (6 Suits)	2020-12-06 — 15:46:50 UTC	asaelr, Floriman, scharkbite, Valetta6789
362486	4	27	Rainbow (6 Suits)	2020-12-06 — 15:20:53 UTC	asaelr, Floriman, scharkbite, Valetta6789
360572	3	0	Rainbow (6 Suits)	2020-12-04 — 17:06:17 UTC	Floriman, scharkbite, Valetta6789
