Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Feer	300.0	4	75.0	0.0	25.0	0.0
mudkip	150.0	10	100.0	0.0	0.0	0.0
Ainz Ooal Gown	100.0	2	100.0	0.0	0.0	0.0
Asddsa76	100.0	2	100.0	0.0	0.0	0.0
bjnh	100.0	2	100.0	0.0	0.0	0.0
knaphill	100.0	2	0.0	0.0	100.0	0.0
newduke	100.0	4	25.0	0.0	75.0	0.0
Nils	100.0	2	100.0	0.0	0.0	0.0
smallman	100.0	2	100.0	0.0	0.0	0.0
charmander	83.33	11	100.0	0.0	0.0	0.0
Nitrate	80.0	18	83.33	5.56	11.11	0.0
plus	56.0	39	64.1	2.56	33.33	0.0
Andrew_UK	50.0	3	0.0	0.0	66.67	33.33
antitelharsic	50.0	3	100.0	0.0	0.0	0.0
Cory	50.0	9	77.78	0.0	22.22	0.0
darkenblade986	50.0	3	100.0	0.0	0.0	0.0
IAMJEFFFAN	50.0	3	100.0	0.0	0.0	0.0
ksfortson	50.0	3	33.33	0.0	66.67	0.0
MangoPie	50.0	3	33.33	0.0	66.67	0.0
Meike	50.0	3	100.0	0.0	0.0	0.0
riking28	50.0	3	66.67	0.0	33.33	0.0
robense	50.0	3	66.67	0.0	33.33	0.0
swineherd	50.0	3	66.67	33.33	0.0	0.0
TimeHoodie	47.06	25	64.0	4.0	28.0	4.0
hakha3	46.51	63	80.95	11.11	7.94	0.0
hanabornoob	44.44	26	76.92	0.0	23.08	0.0
VerySloppyTwo	44.44	13	53.85	0.0	46.15	0.0
kimbifille	43.27	245	68.98	1.22	25.71	4.08
micerang	40.34	167	64.07	0.0	35.93	0.0
asaelr	38.28	466	65.45	1.93	28.33	4.29
Bonja97	37.5	11	54.55	0.0	45.45	0.0
Maiorskills	37.5	11	100.0	0.0	0.0	0.0
pianoblook	35.0	27	62.96	3.7	29.63	3.7
sephiroth	35.0	27	62.96	0.0	37.04	0.0
honzas	34.38	43	93.02	0.0	6.98	0.0
ADrone	33.33	8	50.0	0.0	50.0	0.0
Animex52	33.33	4	75.0	0.0	25.0	0.0
Floriman	33.33	548	72.08	1.09	26.28	0.55
forgotmyacct	33.33	4	100.0	0.0	0.0	0.0
Instantiation	33.33	4	0.0	0.0	100.0	0.0
kondain	33.33	4	0.0	0.0	100.0	0.0
Nitrate2	33.33	8	75.0	12.5	12.5	0.0
v1	33.33	4	100.0	0.0	0.0	0.0
Lanvin	32.73	146	47.26	0.0	51.37	1.37
awe	31.25	42	57.14	0.0	42.86	0.0
sin_faith	29.63	35	74.29	8.57	17.14	0.0
Razvogor	29.17	31	90.32	0.0	9.68	0.0
scharkbite	28.78	443	60.5	6.09	29.35	4.06
riking	28.57	18	94.44	0.0	5.56	0.0
Romain672	28.07	146	68.49	0.0	30.14	1.37
Fey	27.27	14	78.57	0.0	21.43	0.0
Livia	25.07	419	59.67	1.91	37.71	0.72
Div	25.0	5	60.0	0.0	40.0	0.0
jeff10	25.0	5	80.0	0.0	20.0	0.0
NoAnni	25.0	5	40.0	0.0	60.0	0.0
superbipbip	25.0	5	100.0	0.0	0.0	0.0
Kyle	24.77	403	62.28	3.97	32.01	1.74
Fireheart	23.69	3169	48.94	3.22	39.29	8.55
DMoney	23.58	131	63.36	3.05	29.01	4.58
Jake_Stiles	23.58	152	59.21	2.63	32.89	5.26
