card_suit	card_rank	card_index	player	turn_drawn	turn_action	action_type	game_id
Red	1	7	kimbifille	0	2	play	588364
Red	2	15	Lanvin	0	4	play	588364
White	4	0	NumerateClutter	0	5	discard	588364
White	1	16	kimbifille	2	6	play	588364
Yellow	1	19	kimbifille	6	10	play	588364
Yellow	2	10	Valetta6789	0	11	play	588364
Green	1	2	NumerateClutter	0	13	play	588364
Blue	1	5	kimbifille	0	14	play	588364
Yellow	3	11	Valetta6789	0	15	play	588364
Yellow	1	20	kimbifille	10	18	discard	588364
Blue	2	14	Lanvin	0	20	play	588364
Blue	3	4	kimbifille	0	22	play	588364
Red	3	9	Valetta6789	0	23	play	588364
White	2	13	Lanvin	0	24	play	588364
Yellow	4	22	NumerateClutter	13	25	play	588364
Green	2	23	kimbifille	14	26	play	588364
Red	4	8	Valetta6789	0	27	discard	588364
Red	4	12	Lanvin	0	28	play	588364
Red	5	31	kimbifille	26	30	play	588364
Red	1	21	Valetta6789	11	31	discard	588364
Red	1	17	Lanvin	4	32	discard	588364
Blue	1	30	NumerateClutter	25	33	discard	588364
Blue	4	25	kimbifille	18	34	play	588364
Green	3	37	NumerateClutter	33	37	play	588364
Blue	5	38	kimbifille	34	38	play	588364
White	2	26	Lanvin	20	40	discard	588364
Dark Pink	1	39	NumerateClutter	37	41	play	588364
Dark Pink	2	6	kimbifille	0	42	play	588364
Green	4	18	NumerateClutter	5	45	play	588364
White	3	43	kimbifille	42	46	play	588364
Green	1	24	Valetta6789	15	47	discard	588364
White	4	1	NumerateClutter	0	49	play	588364
Yellow	3	27	kimbifille	22	50	discard	588364
Green	5	35	Valetta6789	31	51	play	588364
Dark Pink	3	3	NumerateClutter	0	53	play	588364
Green	1	34	kimbifille	30	54	discard	588364
Dark Pink	4	49	Valetta6789	51	55	play	588364
Yellow	5	42	NumerateClutter	41	57	play	588364
White	5	52	Valetta6789	55	59	play	588364
Red	3	33	Lanvin	28	60	discard	588364
Blue	2	45	kimbifille	46	62	discard	588364
Dark Pink	5	32	Valetta6789	27	63	play	588364
Green	3	48	kimbifille	50			588364
Blue	3	47	NumerateClutter	49			588364
Blue	4	50	NumerateClutter	53			588364
White	1	46	Valetta6789	47			588364
Red	2	51	kimbifille	54			588364
Blue	1	44	NumerateClutter	45			588364
Yellow	4	41	Lanvin	40			588364
Yellow	1	53	NumerateClutter	57			588364
White	3	40	kimbifille	38			588364
Yellow	2	54	Valetta6789	59			588364
White	1	28	Valetta6789	23			588364
Green	2	29	Lanvin	24			588364
Green	4	36	Lanvin	32			588364
