turn_clued	clue	clue_type	clue_giver	clue_receiver	game_id
1	2	rank	NumerateClutter	Lanvin	588364
3	Blue	color	Valetta6789	Lanvin	588364
7	2	rank	Valetta6789	kimbifille	588364
8	3	rank	Lanvin	Valetta6789	588364
9	3	rank	NumerateClutter	kimbifille	588364
12	1	rank	Lanvin	NumerateClutter	588364
16	4	rank	Lanvin	NumerateClutter	588364
17	4	rank	NumerateClutter	Lanvin	588364
19	Blue	color	Valetta6789	kimbifille	588364
21	2	rank	NumerateClutter	kimbifille	588364
29	Red	color	NumerateClutter	kimbifille	588364
35	Blue	color	Valetta6789	kimbifille	588364
36	Green	color	Lanvin	NumerateClutter	588364
39	1	rank	Valetta6789	NumerateClutter	588364
43	4	rank	Valetta6789	NumerateClutter	588364
44	Yellow	color	Lanvin	NumerateClutter	588364
48	Green	color	Lanvin	Valetta6789	588364
52	Pink	color	Lanvin	Valetta6789	588364
56	5	rank	Lanvin	Valetta6789	588364
58	5	rank	kimbifille	Valetta6789	588364
61	5	rank	NumerateClutter	Valetta6789	588364
