Username	Type	W(%)	L(%)	W(#)	L(#)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
ADrone	Totals	22.98	77.02	441	1478	21.85	78.15	182	651	23.85	76.15	259	827
ADrone	Easy	26.77	73.23	348	952	25.41	74.59	138	405	27.74	72.26	210	547
ADrone	Null	22.78	77.22	36	122	17.54	82.46	20	94	36.36	63.64	16	28
ADrone	Single dark	12.64	87.36	57	394	13.79	86.21	24	150	11.91	88.09	33	244
ADrone	Double dark	0.0	100.0	0	10	0.0	100.0	0	2	0.0	100.0	0	8
Aluap	Totals	15.73	84.27	220	1179	12.64	87.36	70	484	17.75	82.25	150	695
Aluap	Easy	17.67	82.33	205	955	14.1	85.9	66	402	20.09	79.91	139	553
Aluap	Null	7.14	92.86	5	65	2.78	97.22	1	35	11.76	88.24	4	30
Aluap	Single dark	5.92	94.08	10	159	6.0	94.0	3	47	5.88	94.12	7	112
Aluap	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
Anax	Totals	17.11	82.89	64	310	20.51	79.49	24	93	15.56	84.44	40	217
Anax	Easy	23.97	76.03	58	184	20.51	79.49	24	93	27.2	72.8	34	91
Anax	Null	0	0	0	0	0	0	0	0	0	0	0	0
Anax	Single dark	4.55	95.45	6	126	0	0	0	0	4.55	95.45	6	126
Anax	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
Animex52	Totals	16.5	83.5	200	1012	16.57	83.43	30	151	16.49	83.51	170	861
Animex52	Easy	20.81	79.19	186	708	23.3	76.7	24	79	20.48	79.52	162	629
Animex52	Null	0.0	100.0	0	19	0.0	100.0	0	9	0.0	100.0	0	10
Animex52	Single dark	4.75	95.25	14	281	8.7	91.3	6	63	3.54	96.46	8	218
Animex52	Double dark	0.0	100.0	0	4	0	0	0	0	0.0	100.0	0	4
anser	Totals	15.56	84.44	368	1997	12.1	87.9	210	1525	25.08	74.92	158	472
anser	Easy	15.93	84.07	308	1626	11.65	88.35	165	1251	27.61	72.39	143	375
anser	Null	19.35	80.65	12	50	17.24	82.76	10	48	50.0	50.0	2	2
anser	Single dark	14.68	85.32	48	279	15.28	84.72	35	194	13.27	86.73	13	85
anser	Double dark	0.0	100.0	0	42	0.0	100.0	0	32	0.0	100.0	0	10
antitelharsic	Totals	17.32	82.68	356	1700	14.59	85.41	102	597	18.72	81.28	254	1103
antitelharsic	Easy	19.09	80.91	329	1394	15.83	84.17	95	505	20.84	79.16	234	889
antitelharsic	Null	14.86	85.14	11	63	10.64	89.36	5	42	22.22	77.78	6	21
antitelharsic	Single dark	6.2	93.8	16	242	3.92	96.08	2	49	6.76	93.24	14	193
antitelharsic	Double dark	0.0	100.0	0	1	0.0	100.0	0	1	0	0	0	0
aquarelle	Totals	20.78	79.22	150	572	21.63	78.37	69	250	20.1	79.9	81	322
aquarelle	Easy	24.54	75.46	120	369	28.65	71.35	49	122	22.33	77.67	71	247
aquarelle	Null	20.83	79.17	5	19	18.75	81.25	3	13	25.0	75.0	2	6
aquarelle	Single dark	12.2	87.8	25	180	13.18	86.82	17	112	10.53	89.47	8	68
aquarelle	Double dark	0.0	100.0	0	4	0.0	100.0	0	3	0.0	100.0	0	1
asaelr	Totals	21.49	78.51	1241	4535	22.3	77.7	283	986	21.26	78.74	958	3549
asaelr	Easy	26.42	73.58	994	2768	26.18	73.82	222	626	26.49	73.51	772	2142
asaelr	Null	21.74	78.26	30	108	20.0	80.0	5	20	22.12	77.88	25	88
asaelr	Single dark	11.98	88.02	215	1579	14.78	85.22	55	317	11.25	88.75	160	1262
asaelr	Double dark	2.44	97.56	2	80	4.17	95.83	1	23	1.72	98.28	1	57
Asddsa76	Totals	18.69	81.31	205	892	9.09	90.91	2	20	18.88	81.12	203	872
Asddsa76	Easy	23.29	76.71	187	616	13.33	86.67	2	13	23.48	76.52	185	603
Asddsa76	Null	0	0	0	0	0	0	0	0	0	0	0	0
Asddsa76	Single dark	7.17	92.83	18	233	0.0	100.0	0	7	7.38	92.62	18	226
Asddsa76	Double dark	0.0	100.0	0	43	0	0	0	0	0.0	100.0	0	43
avanderwalde	Totals	21.91	78.09	412	1468	26.16	73.84	62	175	21.3	78.7	350	1293
avanderwalde	Easy	29.11	70.89	294	716	25.47	74.53	27	79	29.54	70.46	267	637
avanderwalde	Null	35.33	64.67	53	97	41.67	58.33	25	35	31.11	68.89	28	62
avanderwalde	Single dark	9.19	90.81	65	642	14.08	85.92	10	61	8.65	91.35	55	581
avanderwalde	Double dark	0.0	100.0	0	13	0	0	0	0	0.0	100.0	0	13
BlueNovember	Totals	18.46	81.54	304	1343	17.42	82.58	166	787	19.88	80.12	138	556
BlueNovember	Easy	20.88	79.12	281	1065	19.03	80.97	149	634	23.45	76.55	132	431
BlueNovember	Null	16.39	83.61	10	51	16.33	83.67	8	41	16.67	83.33	2	10
BlueNovember	Single dark	5.51	94.49	13	223	7.63	92.37	9	109	3.39	96.61	4	114
BlueNovember	Double dark	0.0	100.0	0	4	0.0	100.0	0	3	0.0	100.0	0	1
bjnh	Totals	18.69	81.31	203	883	15.07	84.93	11	62	18.95	81.05	192	821
bjnh	Easy	22.83	77.17	166	561	16.07	83.93	9	47	23.4	76.6	157	514
bjnh	Null	16.67	83.33	1	5	0	0	0	0	16.67	83.33	1	5
bjnh	Single dark	10.23	89.77	36	316	11.76	88.24	2	15	10.15	89.85	34	301
bjnh	Double dark	0.0	100.0	0	1	0	0	0	0	0.0	100.0	0	1
boba	Totals	19.92	80.08	305	1226	22.45	77.55	205	708	16.18	83.82	100	518
boba	Easy	26.07	73.93	256	726	31.2	68.8	166	366	20.0	80.0	90	360
boba	Null	11.29	88.71	7	55	10.2	89.8	5	44	15.38	84.62	2	11
boba	Single dark	9.15	90.85	42	417	10.83	89.17	34	280	5.52	94.48	8	137
boba	Double dark	0.0	100.0	0	28	0.0	100.0	0	18	0.0	100.0	0	10
Bonja97	Totals	17.41	82.59	275	1305	21.88	78.12	7	25	17.31	82.69	268	1280
Bonja97	Easy	22.33	77.67	240	835	21.88	78.12	7	25	22.34	77.66	233	810
Bonja97	Null	16.67	83.33	5	25	0	0	0	0	16.67	83.33	5	25
Bonja97	Single dark	6.38	93.62	30	440	0	0	0	0	6.38	93.62	30	440
Bonja97	Double dark	0.0	100.0	0	5	0	0	0	0	0.0	100.0	0	5
Bot-Fiora	Totals	17.11	82.89	77	373	33.33	66.67	1	2	17.0	83.0	76	371
Bot-Fiora	Easy	23.43	76.57	67	219	50.0	50.0	1	1	23.24	76.76	66	218
Bot-Fiora	Null	2.86	97.14	1	34	0.0	100.0	0	1	2.94	97.06	1	33
Bot-Fiora	Single dark	7.14	92.86	9	117	0	0	0	0	7.14	92.86	9	117
Bot-Fiora	Double dark	0.0	100.0	0	3	0	0	0	0	0.0	100.0	0	3
CaitlinSmith	Totals	11.97	88.03	126	927	12.82	87.18	45	306	11.54	88.46	81	621
CaitlinSmith	Easy	14.46	85.54	120	710	12.87	87.13	44	298	15.57	84.43	76	412
CaitlinSmith	Null	0.0	100.0	0	2	0	0	0	0	0.0	100.0	0	2
CaitlinSmith	Single dark	2.71	97.29	6	215	11.11	88.89	1	8	2.36	97.64	5	207
CaitlinSmith	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
catula	Totals	15.8	84.2	189	1007	18.92	81.08	35	150	15.23	84.77	154	857
catula	Easy	19.44	80.56	167	692	23.08	76.92	30	100	18.79	81.21	137	592
catula	Null	50.0	50.0	1	1	0	0	0	0	50.0	50.0	1	1
catula	Single dark	6.34	93.66	21	310	9.09	90.91	5	50	5.8	94.2	16	260
catula	Double dark	0.0	100.0	0	4	0	0	0	0	0.0	100.0	0	4
ChristopheAF	Totals	16.02	83.98	288	1510	18.03	81.97	11	50	15.95	84.05	277	1460
ChristopheAF	Easy	18.91	81.09	246	1055	19.3	80.7	11	46	18.89	81.11	235	1009
ChristopheAF	Null	14.29	85.71	10	60	0	0	0	0	14.29	85.71	10	60
ChristopheAF	Single dark	7.8	92.2	32	378	0.0	100.0	0	4	7.88	92.12	32	374
ChristopheAF	Double dark	0.0	100.0	0	17	0	0	0	0	0.0	100.0	0	17
cockdestroyer	Totals	17.67	82.33	223	1039	25.0	75.0	58	174	16.02	83.98	165	865
cockdestroyer	Easy	21.92	78.08	178	634	31.62	68.38	37	80	20.29	79.71	141	554
cockdestroyer	Null	21.62	78.38	8	29	26.67	73.33	4	11	18.18	81.82	4	18
cockdestroyer	Single dark	9.09	90.91	37	370	17.0	83.0	17	83	6.51	93.49	20	287
cockdestroyer	Double dark	0.0	100.0	0	6	0	0	0	0	0.0	100.0	0	6
colton	Totals	21.23	78.77	159	590	24.81	75.19	64	194	19.35	80.65	95	396
colton	Easy	25.75	74.25	128	369	26.83	73.17	44	120	25.23	74.77	84	249
colton	Null	0.0	100.0	0	7	0	0	0	0	0.0	100.0	0	7
colton	Single dark	12.89	87.11	29	196	21.95	78.05	18	64	7.69	92.31	11	132
colton	Double dark	10.0	90.0	2	18	16.67	83.33	2	10	0.0	100.0	0	8
corys	Totals	26.29	73.71	51	143	8.33	91.67	1	11	27.47	72.53	50	132
corys	Easy	29.14	70.86	51	124	8.33	91.67	1	11	30.67	69.33	50	113
corys	Null	0.0	100.0	0	3	0	0	0	0	0.0	100.0	0	3
corys	Single dark	0.0	100.0	0	16	0	0	0	0	0.0	100.0	0	16
corys	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
Cynas	Totals	34.14	65.86	85	164	22.22	77.78	4	14	35.06	64.94	81	150
Cynas	Easy	35.32	64.68	83	152	22.22	77.78	4	14	36.41	63.59	79	138
Cynas	Null	0	0	0	0	0	0	0	0	0	0	0	0
Cynas	Single dark	14.29	85.71	2	12	0	0	0	0	14.29	85.71	2	12
Cynas	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
Damian000	Totals	22.22	77.78	60	210	25.0	75.0	6	18	21.95	78.05	54	192
Damian000	Easy	23.87	76.13	58	185	25.0	75.0	6	18	23.74	76.26	52	167
Damian000	Null	0	0	0	0	0	0	0	0	0	0	0	0
Damian000	Single dark	7.41	92.59	2	25	0	0	0	0	7.41	92.59	2	25
Damian000	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
DarthGandalf	Totals	15.64	84.36	76	410	19.85	80.15	27	109	14.0	86.0	49	301
DarthGandalf	Easy	19.94	80.06	70	281	25.25	74.75	25	74	17.86	82.14	45	207
DarthGandalf	Null	0	0	0	0	0	0	0	0	0	0	0	0
DarthGandalf	Single dark	4.76	95.24	6	120	6.67	93.33	2	28	4.17	95.83	4	92
DarthGandalf	Double dark	0.0	100.0	0	9	0.0	100.0	0	7	0.0	100.0	0	2
Daryl	Totals	22.81	77.19	60	203	20.0	80.0	2	8	22.92	77.08	58	195
Daryl	Easy	25.89	74.11	58	166	12.5	87.5	1	7	26.39	73.61	57	159
Daryl	Null	0	0	0	0	0	0	0	0	0	0	0	0
Daryl	Single dark	5.13	94.87	2	37	50.0	50.0	1	1	2.7	97.3	1	36
Daryl	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
Denchulitas	Totals	17.48	82.52	136	642	15.09	84.91	8	45	17.66	82.34	128	597
Denchulitas	Easy	21.34	78.66	115	424	13.64	86.36	3	19	21.66	78.34	112	405
Denchulitas	Null	0	0	0	0	0	0	0	0	0	0	0	0
Denchulitas	Single dark	9.17	90.83	21	208	20.0	80.0	5	20	7.84	92.16	16	188
Denchulitas	Double dark	0.0	100.0	0	10	0.0	100.0	0	6	0.0	100.0	0	4
derekcheah	Totals	18.23	81.77	517	2319	18.61	81.39	115	503	18.12	81.88	402	1816
derekcheah	Easy	22.72	77.28	378	1286	26.17	73.83	84	237	21.89	78.11	294	1049
derekcheah	Null	6.98	93.02	3	40	0	0	0	0	6.98	93.02	3	40
derekcheah	Single dark	12.15	87.85	136	983	10.47	89.53	31	265	12.76	87.24	105	718
derekcheah	Double dark	0.0	100.0	0	10	0.0	100.0	0	1	0.0	100.0	0	9
Div	Totals	15.48	84.52	109	595	22.22	77.78	22	77	14.38	85.62	87	518
Div	Easy	16.49	83.51	94	476	21.74	78.26	20	72	15.48	84.52	74	404
Div	Null	0.0	100.0	0	2	0	0	0	0	0.0	100.0	0	2
Div	Single dark	11.36	88.64	15	117	28.57	71.43	2	5	10.4	89.6	13	112
Div	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
dj.narayanan	Totals	11.89	88.11	233	1727	10.4	89.6	135	1163	14.8	85.2	98	564
dj.narayanan	Easy	16.97	83.03	175	856	14.62	85.38	93	543	20.76	79.24	82	313
dj.narayanan	Null	8.33	91.67	5	55	8.33	91.67	4	44	8.33	91.67	1	11
dj.narayanan	Single dark	6.35	93.65	53	781	6.5	93.5	38	547	6.02	93.98	15	234
dj.narayanan	Double dark	0.0	100.0	0	35	0.0	100.0	0	29	0.0	100.0	0	6
dmigor3	Totals	27.59	72.41	128	336	29.71	70.29	82	194	24.47	75.53	46	142
dmigor3	Easy	29.14	70.86	118	287	29.62	70.38	77	183	28.28	71.72	41	104
dmigor3	Null	23.81	76.19	5	16	50.0	50.0	2	2	17.65	82.35	3	14
dmigor3	Single dark	13.16	86.84	5	33	25.0	75.0	3	9	7.69	92.31	2	24
dmigor3	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
dobi	Totals	17.91	82.09	260	1192	15.64	84.36	28	151	18.22	81.78	232	1041
dobi	Easy	24.89	75.11	168	507	26.83	73.17	11	30	24.76	75.24	157	477
dobi	Null	15.91	84.09	7	37	0.0	100.0	0	1	16.28	83.72	7	36
dobi	Single dark	11.59	88.41	84	641	12.41	87.59	17	120	11.39	88.61	67	521
dobi	Double dark	12.5	87.5	1	7	0	0	0	0	12.5	87.5	1	7
Dr_Kakashi	Totals	13.62	86.38	1320	8369	10.85	89.15	473	3887	15.89	84.11	847	4482
Dr_Kakashi	Easy	18.85	81.15	1017	4378	17.86	82.14	352	1619	19.42	80.58	665	2759
Dr_Kakashi	Null	10.59	89.41	50	422	9.54	90.46	27	256	12.17	87.83	23	166
Dr_Kakashi	Single dark	9.33	90.67	202	1963	7.08	92.92	50	656	10.42	89.58	152	1307
Dr_Kakashi	Double dark	3.08	96.92	51	1606	3.14	96.86	44	1356	2.72	97.28	7	250
duckington	Totals	10.56	89.44	15	127	0	0	0	0	10.56	89.44	15	127
duckington	Easy	13.75	86.25	11	69	0	0	0	0	13.75	86.25	11	69
duckington	Null	0.0	100.0	0	14	0	0	0	0	0.0	100.0	0	14
duckington	Single dark	8.33	91.67	4	44	0	0	0	0	8.33	91.67	4	44
duckington	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
duckless	Totals	13.61	86.39	23	146	33.33	66.67	4	8	12.1	87.9	19	138
duckless	Easy	16.95	83.05	20	98	40.0	60.0	4	6	14.81	85.19	16	92
duckless	Null	0.0	100.0	0	4	0	0	0	0	0.0	100.0	0	4
duckless	Single dark	6.82	93.18	3	41	0.0	100.0	0	1	6.98	93.02	3	40
duckless	Double dark	0.0	100.0	0	3	0.0	100.0	0	1	0.0	100.0	0	2
duckmammal	Totals	15.0	85.0	99	561	26.0	74.0	13	37	14.1	85.9	86	524
duckmammal	Easy	18.85	81.15	92	396	34.29	65.71	12	23	17.66	82.34	80	373
duckmammal	Null	8.33	91.67	1	11	0.0	100.0	0	1	9.09	90.91	1	10
duckmammal	Single dark	4.08	95.92	6	141	14.29	85.71	1	6	3.57	96.43	5	135
duckmammal	Double dark	0.0	100.0	0	13	0.0	100.0	0	7	0.0	100.0	0	6
duckmedic	Totals	15.68	84.32	53	285	0.0	100.0	0	2	15.77	84.23	53	283
duckmedic	Easy	16.56	83.44	51	257	0.0	100.0	0	2	16.67	83.33	51	255
duckmedic	Null	20.0	80.0	1	4	0	0	0	0	20.0	80.0	1	4
duckmedic	Single dark	4.0	96.0	1	24	0	0	0	0	4.0	96.0	1	24
duckmedic	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
Durandal	Totals	13.92	86.08	314	1941	14.23	85.77	306	1844	7.62	92.38	8	97
