Username	Type	W(%)	L(%)	W/L(%)	W(#)	L(#)	W(%, 2p)	L(%, 2p)	W/L(%, 2p)	W(#, 2p)	L(#, 2p)	W(%, 3p+)	L(%, 3p+)	W/L(%, 3p)	W(#, 3p+)	L(#, 3p+)
ADrone	Totals	22.98	77.02	29.84	441	1478	21.85	78.15	27.96	182	651	23.85	76.15	31.32	259	827
ADrone	Easy	26.77	73.23	36.55	348	952	25.41	74.59	34.07	138	405	27.74	72.26	38.39	210	547
ADrone	Null	22.78	77.22	29.51	36	122	17.54	82.46	21.28	20	94	36.36	63.64	57.14	16	28
ADrone	Single dark	12.64	87.36	14.47	57	394	13.79	86.21	16.0	24	150	11.91	88.09	13.52	33	244
ADrone	Double dark	0.0	100.0	0.0	0	10	0.0	100.0	0.0	0	2	0.0	100.0	0.0	0	8
asaelr	Totals	21.49	78.51	27.36	1241	4535	22.3	77.7	28.7	283	986	21.26	78.74	26.99	958	3549
asaelr	Easy	26.42	73.58	35.91	994	2768	26.18	73.82	35.46	222	626	26.49	73.51	36.04	772	2142
asaelr	Null	21.74	78.26	27.78	30	108	20.0	80.0	25.0	5	20	22.12	77.88	28.41	25	88
asaelr	Single dark	11.98	88.02	13.62	215	1579	14.78	85.22	17.35	55	317	11.25	88.75	12.68	160	1262
asaelr	Double dark	2.44	97.56	2.5	2	80	4.17	95.83	4.35	1	23	1.72	98.28	1.75	1	57
Dr_Kakashi	Totals	13.62	86.38	15.77	1320	8369	10.85	89.15	12.17	473	3887	15.89	84.11	18.9	847	4482
Dr_Kakashi	Easy	18.85	81.15	23.23	1017	4378	17.86	82.14	21.74	352	1619	19.42	80.58	24.1	665	2759
Dr_Kakashi	Null	10.59	89.41	11.85	50	422	9.54	90.46	10.55	27	256	12.17	87.83	13.86	23	166
Dr_Kakashi	Single dark	9.33	90.67	10.29	202	1963	7.08	92.92	7.62	50	656	10.42	89.58	11.63	152	1307
Dr_Kakashi	Double dark	3.08	96.92	3.18	51	1606	3.14	96.86	3.24	44	1356	2.72	97.28	2.8	7	250
Fireheart	Totals	15.6	84.4	18.49	1426	7714	14.12	85.88	16.44	724	4404	17.5	82.5	21.21	702	3310
Fireheart	Easy	22.71	77.29	29.38	974	3315	22.54	77.46	29.1	447	1536	22.85	77.15	29.62	527	1779
Fireheart	Null	15.09	84.91	17.78	88	495	17.75	82.25	21.58	52	241	12.41	87.59	14.17	36	254
Fireheart	Single dark	10.6	89.4	11.86	338	2850	10.74	89.26	12.03	199	1654	10.41	89.59	11.62	139	1196
Fireheart	Double dark	2.41	97.59	2.47	26	1054	2.6	97.4	2.67	26	973	0.0	100.0	0.0	0	81
Floriman	Totals	20.18	79.82	25.28	784	3101	21.05	78.95	26.67	60	225	20.11	79.89	25.17	724	2876
Floriman	Easy	25.5	74.5	34.24	620	1811	28.57	71.43	40.0	48	120	25.28	74.72	33.83	572	1691
Floriman	Null	20.31	79.69	25.49	26	102	5.88	94.12	6.25	2	32	25.53	74.47	34.29	24	70
Floriman	Single dark	10.89	89.11	12.22	133	1088	12.35	87.65	14.08	10	71	10.79	89.21	12.09	123	1017
Floriman	Double dark	4.76	95.24	5.0	5	100	0.0	100.0	0.0	0	2	4.85	95.15	5.1	5	98
florrat2	Totals	5.45	94.55	5.76	1116	19377	5.09	94.91	5.36	379	7073	5.65	94.35	5.99	737	12304
florrat2	Easy	7.67	92.33	8.3	948	11415	6.45	93.55	6.89	334	4846	8.55	91.45	9.35	614	6569
florrat2	Null	9.09	90.91	10.0	3	30	0.0	100.0	0.0	0	1	9.38	90.62	10.34	3	29
florrat2	Single dark	2.05	97.95	2.1	161	7681	1.95	98.05	1.99	44	2216	2.1	97.9	2.14	117	5465
florrat2	Double dark	1.57	98.43	1.59	4	251	9.09	90.91	10.0	1	10	1.23	98.77	1.24	3	241
IAMJEFF	Totals	14.32	85.68	16.72	1063	6358	12.81	87.19	14.69	531	3614	16.24	83.76	19.39	532	2744
IAMJEFF	Easy	20.3	79.7	25.47	739	2901	20.91	79.09	26.44	349	1320	19.79	80.21	24.67	390	1581
IAMJEFF	Null	15.18	84.82	17.89	85	475	16.67	83.33	20.0	51	255	13.39	86.61	15.45	34	220
IAMJEFF	Single dark	9.35	90.65	10.32	218	2113	8.15	91.85	8.87	110	1240	11.01	88.99	12.37	108	873
IAMJEFF	Double dark	2.36	97.64	2.42	21	869	2.56	97.44	2.63	21	799	0.0	100.0	0.0	0	70
Jake_Stiles	Totals	15.62	84.38	18.51	639	3452	14.7	85.3	17.23	372	2159	17.12	82.88	20.65	267	1293
Jake_Stiles	Easy	20.61	79.39	25.96	547	2107	19.84	80.16	24.75	319	1289	21.8	78.2	27.87	228	818
Jake_Stiles	Null	7.14	92.86	7.69	7	91	7.41	92.59	8.0	4	50	6.82	93.18	7.32	3	41
Jake_Stiles	Single dark	6.45	93.55	6.89	85	1233	5.7	94.3	6.04	49	811	7.86	92.14	8.53	36	422
Jake_Stiles	Double dark	0.0	100.0	0.0	0	21	0.0	100.0	0.0	0	9	0.0	100.0	0.0	0	12
kimbifille	Totals	14.85	85.15	17.44	965	5534	11.74	88.26	13.3	385	2895	18.02	81.98	21.98	580	2639
kimbifille	Easy	24.13	75.87	31.81	688	2163	23.24	76.76	30.28	268	885	24.73	75.27	32.86	420	1278
kimbifille	Null	17.88	82.12	21.78	49	225	9.84	90.16	10.91	12	110	24.34	75.66	32.17	37	115
kimbifille	Single dark	9.91	90.09	11.0	172	1563	8.49	91.51	9.28	62	668	10.95	89.05	12.29	110	895
kimbifille	Double dark	3.42	96.58	3.54	56	1583	3.37	96.63	3.49	43	1232	3.57	96.43	3.7	13	351
Kyle	Totals	16.89	83.11	20.33	1175	5780	16.54	83.46	19.81	212	1070	16.98	83.02	20.45	963	4710
Kyle	Easy	22.05	77.95	28.29	955	3376	23.92	76.08	31.44	166	528	21.69	78.31	27.7	789	2848
Kyle	Null	12.62	87.38	14.44	40	277	10.37	89.63	11.57	14	121	14.29	85.71	16.67	26	156
Kyle	Single dark	8.11	91.89	8.82	180	2040	7.39	92.61	7.98	32	401	8.28	91.72	9.03	148	1639
Kyle	Double dark	0.0	100.0	0.0	0	87	0.0	100.0	0.0	0	20	0.0	100.0	0.0	0	67
Lanvin	Totals	15.09	84.91	17.78	717	4033	18.99	81.01	23.44	154	657	14.29	85.71	16.68	563	3376
Lanvin	Easy	19.25	80.75	23.84	563	2362	27.32	72.68	37.58	115	306	17.89	82.11	21.79	448	2056
Lanvin	Null	13.79	86.21	16.0	16	100	26.67	73.33	36.36	4	11	11.88	88.12	13.48	12	89
Lanvin	Single dark	8.1	91.9	8.81	136	1543	9.19	90.81	10.12	34	336	7.79	92.21	8.45	102	1207
Lanvin	Double dark	6.67	93.33	7.14	2	28	20.0	80.0	25.0	1	4	4.0	96.0	4.17	1	24
Lel0uch	Totals	15.72	84.28	18.65	966	5180	12.31	87.69	14.04	292	2080	17.86	82.14	21.74	674	3100
Lel0uch	Easy	23.09	76.91	30.02	646	2152	22.85	77.15	29.62	149	503	23.16	76.84	30.14	497	1649
Lel0uch	Null	23.71	76.29	31.08	23	74	12.5	87.5	14.29	1	7	24.72	75.28	32.84	22	67
Lel0uch	Single dark	9.62	90.38	10.65	287	2695	8.9	91.1	9.77	133	1361	10.35	89.65	11.54	154	1334
Lel0uch	Double dark	3.72	96.28	3.86	10	259	4.13	95.87	4.31	9	209	1.96	98.04	2.0	1	50
Libster	Totals	6.02	93.98	6.4	1297	20265	4.53	95.47	4.75	341	7186	6.81	93.19	7.31	956	13079
Libster	Easy	8.23	91.77	8.97	1090	12151	5.47	94.53	5.79	285	4925	10.02	89.98	11.14	805	7226
Libster	Null	22.45	77.55	28.95	11	38	12.5	87.5	14.29	1	7	24.39	75.61	32.26	10	31
Libster	Single dark	2.42	97.58	2.48	192	7733	2.39	97.61	2.44	54	2210	2.44	97.56	2.5	138	5523
Libster	Double dark	1.15	98.85	1.17	4	343	2.22	97.78	2.27	1	44	0.99	99.01	1.0	3	299
Livia	Totals	16.62	83.38	19.94	572	2869	15.54	84.46	18.4	250	1359	17.58	82.42	21.32	322	1510
Livia	Easy	22.09	77.91	28.36	437	1541	20.97	79.03	26.53	182	686	22.97	77.03	29.82	255	855
Livia	Null	9.56	90.44	10.57	24	227	9.77	90.23	10.83	13	120	9.32	90.68	10.28	11	107
Livia	Single dark	9.72	90.28	10.76	110	1022	9.64	90.36	10.67	54	506	9.79	90.21	10.85	56	516
Livia	Double dark	1.25	98.75	1.27	1	79	2.08	97.92	2.13	1	47	0.0	100.0	0.0	0	32
melwen	Totals	16.78	83.22	20.17	1147	5688	16.08	83.92	19.16	114	595	16.86	83.14	20.28	1033	5093
melwen	Easy	20.69	79.31	26.08	866	3320	17.94	82.06	21.87	103	471	21.12	78.88	26.78	763	2849
melwen	Null	23.6	76.4	30.89	38	123	0.0	100.0	0.0	0	4	24.2	75.8	31.93	38	119
melwen	Single dark	9.99	90.01	11.1	239	2154	8.4	91.6	9.17	11	120	10.08	89.92	11.21	228	2034
melwen	Double dark	4.21	95.79	4.4	4	91	0	0	0	0	0	4.21	95.79	4.4	4	91
micerang	Totals	23.37	76.63	30.49	999	3276	29.42	70.58	41.69	143	343	22.59	77.41	29.19	856	2933
micerang	Easy	28.26	71.74	39.39	848	2153	35.89	64.11	55.98	117	209	27.33	72.67	37.6	731	1944
micerang	Null	13.57	86.43	15.7	19	121	17.07	82.93	20.59	7	34	12.12	87.88	13.79	12	87
micerang	Single dark	12.17	87.83	13.85	132	953	16.67	83.33	20.0	19	95	11.64	88.36	13.17	113	858
micerang	Double dark	0.0	100.0	0.0	0	49	0.0	100.0	0.0	0	5	0.0	100.0	0.0	0	44
Nitrate2	Totals	21.1	78.9	26.74	426	1593	28.44	71.56	39.74	62	156	20.21	79.79	25.33	364	1437
Nitrate2	Easy	25.11	74.89	33.52	351	1047	33.9	66.1	51.28	40	78	24.3	75.7	32.09	311	969
Nitrate2	Null	24.0	76.0	31.58	12	38	26.67	73.33	36.36	4	11	22.86	77.14	29.63	8	27
Nitrate2	Single dark	11.15	88.85	12.55	63	502	21.18	78.82	26.87	18	67	9.38	90.62	10.34	45	435
Nitrate2	Double dark	0.0	100.0	0.0	0	6	0	0	0	0	0	0.0	100.0	0.0	0	6
NoMercy	Totals	10.17	89.83	11.32	385	3400	5.85	94.15	6.22	12	193	10.42	89.58	11.63	373	3207
NoMercy	Easy	14.4	85.6	16.82	337	2003	9.43	90.57	10.42	10	96	14.64	85.36	17.15	327	1907
NoMercy	Null	14.29	85.71	16.67	4	24	0.0	100.0	0.0	0	1	14.81	85.19	17.39	4	23
NoMercy	Single dark	3.25	96.75	3.36	40	1189	1.85	98.15	1.89	1	53	3.32	96.68	3.43	39	1136
NoMercy	Double dark	2.13	97.87	2.17	4	184	2.27	97.73	2.33	1	43	2.08	97.92	2.13	3	141
pianoblook	Totals	19.57	80.43	24.34	791	3250	22.43	77.57	28.91	194	671	18.8	81.2	23.15	597	2579
pianoblook	Easy	24.22	75.78	31.96	584	1827	26.39	73.61	35.85	147	410	23.57	76.43	30.84	437	1417
pianoblook	Null	22.48	77.52	29.0	58	200	17.65	82.35	21.43	21	98	26.62	73.38	36.27	37	102
pianoblook	Single dark	11.92	88.08	13.53	138	1020	15.12	84.88	17.81	26	146	11.36	88.64	12.81	112	874
pianoblook	Double dark	5.14	94.86	5.42	11	203	0.0	100.0	0.0	0	17	5.58	94.42	5.91	11	186
piper	Totals	24.62	75.38	32.66	615	1883	26.18	73.82	35.46	200	564	23.93	76.07	31.46	415	1319
piper	Easy	29.7	70.3	42.25	455	1077	30.86	69.14	44.63	158	354	29.12	70.88	41.08	297	723
piper	Null	29.14	70.86	41.13	51	124	20.65	79.35	26.03	19	73	38.55	61.45	62.75	32	51
piper	Single dark	15.95	84.05	18.98	100	527	15.65	84.35	18.55	23	124	16.04	83.96	19.11	77	403
piper	Double dark	5.49	94.51	5.81	9	155	0.0	100.0	0.0	0	13	5.96	94.04	6.34	9	142
RaKXeR	Totals	7.54	92.46	8.16	541	6633	5.61	94.39	5.94	80	1346	8.02	91.98	8.72	461	5287
RaKXeR	Easy	9.68	90.32	10.72	482	4495	5.55	94.45	5.87	74	1260	11.2	88.8	12.61	408	3235
RaKXeR	Null	22.22	77.78	28.57	2	7	33.33	66.67	50.0	1	2	16.67	83.33	20.0	1	5
RaKXeR	Single dark	2.7	97.3	2.78	57	2054	5.62	94.38	5.95	5	84	2.57	97.43	2.64	52	1970
RaKXeR	Double dark	0.0	100.0	0.0	0	77	0	0	0	0	0	0.0	100.0	0.0	0	77
Razvogor	Totals	7.04	92.96	7.58	195	2574	1.94	98.06	1.97	9	456	8.07	91.93	8.78	186	2118
Razvogor	Easy	10.32	89.68	11.51	171	1486	2.0	98.0	2.04	9	441	13.42	86.58	15.5	162	1045
Razvogor	Null	12.5	87.5	14.29	2	14	0	0	0	0	0	12.5	87.5	14.29	2	14
Razvogor	Single dark	2.02	97.98	2.06	22	1069	0.0	100.0	0.0	0	10	2.04	97.96	2.08	22	1059
Razvogor	Double dark	0.0	100.0	0.0	0	5	0.0	100.0	0.0	0	5	0	0	0	0	0
scharkbite	Totals	17.85	82.15	21.73	1296	5963	18.78	81.22	23.12	166	718	17.73	82.27	21.54	1130	5245
scharkbite	Easy	22.53	77.47	29.09	1035	3558	23.77	76.23	31.18	130	417	22.37	77.63	28.81	905	3141
scharkbite	Null	12.67	87.33	14.51	28	193	7.32	92.68	7.89	3	38	13.89	86.11	16.13	25	155
scharkbite	Single dark	10.56	89.44	11.81	227	1922	12.65	87.35	14.48	32	221	10.28	89.72	11.46	195	1701
scharkbite	Double dark	2.03	97.97	2.07	6	290	2.33	97.67	2.38	1	42	1.98	98.02	2.02	5	248
sephiroth	Totals	16.16	83.84	19.27	648	3363	16.83	83.17	20.24	34	168	16.12	83.88	19.22	614	3195
sephiroth	Easy	19.69	80.31	24.51	516	2105	17.01	82.99	20.49	25	122	19.85	80.15	24.76	491	1983
sephiroth	Null	12.86	87.14	14.75	9	61	33.33	66.67	50.0	1	2	11.94	88.06	13.56	8	59
sephiroth	Single dark	9.64	90.36	10.67	123	1153	17.02	82.98	20.51	8	39	9.36	90.64	10.32	115	1114
sephiroth	Double dark	0.0	100.0	0.0	0	44	0.0	100.0	0.0	0	5	0.0	100.0	0.0	0	39
sin_faith	Totals	14.68	85.32	17.2	396	2302	15.32	84.68	18.09	34	188	14.62	85.38	17.12	362	2114
sin_faith	Easy	17.78	82.22	21.62	349	1614	18.52	81.48	22.73	30	132	17.71	82.29	21.52	319	1482
sin_faith	Null	11.4	88.6	12.87	13	101	7.69	92.31	8.33	2	24	12.5	87.5	14.29	11	77
sin_faith	Single dark	6.1	93.9	6.5	34	523	7.41	92.59	8.0	2	25	6.04	93.96	6.43	32	498
sin_faith	Double dark	0.0	100.0	0.0	0	64	0.0	100.0	0.0	0	7	0.0	100.0	0.0	0	57
sjdrodge	Totals	25.14	74.86	33.58	1129	3362	23.84	76.16	31.31	67	214	25.23	74.77	33.74	1062	3148
sjdrodge	Easy	28.4	71.6	39.66	1066	2688	30.54	69.46	43.97	62	141	28.27	71.73	39.42	1004	2547
sjdrodge	Null	23.71	76.29	31.08	23	74	0.0	100.0	0.0	0	10	26.44	73.56	35.94	23	64
sjdrodge	Single dark	6.84	93.16	7.34	40	545	9.62	90.38	10.64	5	47	6.57	93.43	7.03	35	498
sjdrodge	Double dark	0.0	100.0	0.0	0	55	0.0	100.0	0.0	0	16	0.0	100.0	0.0	0	39
Sucubis	Totals	18.83	81.17	23.2	389	1677	25.24	74.76	33.77	26	77	18.49	81.51	22.69	363	1600
Sucubis	Easy	24.16	75.84	31.86	317	995	29.49	70.51	41.82	23	55	23.82	76.18	31.28	294	940
Sucubis	Null	29.17	70.83	41.18	7	17	0.0	100.0	0.0	0	1	30.43	69.57	43.75	7	16
Sucubis	Single dark	9.04	90.96	9.94	64	644	12.5	87.5	14.29	3	21	8.92	91.08	9.79	61	623
Sucubis	Double dark	4.55	95.45	4.76	1	21	0	0	0	0	0	4.55	95.45	4.76	1	21
swineherd	Totals	16.87	83.13	20.29	281	1385	20.0	80.0	25.0	2	8	16.85	83.15	20.26	279	1377
swineherd	Easy	21.02	78.98	26.62	230	864	50.0	50.0	100.0	1	1	20.97	79.03	26.54	229	863
swineherd	Null	18.37	81.63	22.5	9	40	0	0	0	0	0	18.37	81.63	22.5	9	40
swineherd	Single dark	8.05	91.95	8.75	42	480	12.5	87.5	14.29	1	7	7.98	92.02	8.67	41	473
swineherd	Double dark	0.0	100.0	0.0	0	1	0	0	0	0	0	0.0	100.0	0.0	0	1
TimeHoodie	Totals	18.46	81.54	22.65	743	3281	20.55	79.45	25.86	45	174	18.34	81.66	22.47	698	3107
TimeHoodie	Easy	23.71	76.29	31.09	590	1898	23.91	76.09	31.43	33	105	23.7	76.3	31.07	557	1793
TimeHoodie	Null	19.57	80.43	24.32	18	74	0	0	0	0	0	19.57	80.43	24.32	18	74
TimeHoodie	Single dark	9.77	90.23	10.83	135	1247	16.0	84.0	19.05	12	63	9.41	90.59	10.39	123	1184
TimeHoodie	Double dark	0.0	100.0	0.0	0	62	0.0	100.0	0.0	0	6	0.0	100.0	0.0	0	56
Valetta6789	Totals	18.24	81.76	22.3	1183	5304	18.0	82.0	21.95	646	2943	18.53	81.47	22.74	537	2361
Valetta6789	Easy	24.34	75.66	32.17	841	2614	27.4	72.6	37.75	442	1171	21.66	78.34	27.65	399	1443
Valetta6789	Null	19.78	80.22	24.66	36	146	20.63	79.37	26.0	13	50	19.33	80.67	23.96	23	96
Valetta6789	Single dark	11.82	88.18	13.4	296	2209	11.17	88.83	12.57	182	1448	13.03	86.97	14.98	114	761
Valetta6789	Double dark	2.9	97.1	2.99	10	335	3.18	96.82	3.28	9	274	1.61	98.39	1.64	1	61
Zamiel	Totals	10.5	89.5	11.74	1381	11768	7.65	92.35	8.28	202	2440	11.22	88.78	12.64	1179	9328
Zamiel	Easy	14.74	85.26	17.28	1173	6787	10.98	89.02	12.33	157	1273	15.56	84.44	18.43	1016	5514
Zamiel	Null	8.33	91.67	9.09	36	396	5.46	94.54	5.78	10	173	10.44	89.56	11.66	26	223
Zamiel	Single dark	4.06	95.94	4.23	166	3926	3.86	96.14	4.02	33	821	4.11	95.89	4.28	133	3105
Zamiel	Double dark	0.9	99.1	0.91	6	659	1.14	98.86	1.16	2	173	0.82	99.18	0.82	4	486
