Player	Max BDR	0 BDR %	1 BDR %	2 BDR %	3 BDR %	4 BDR %	5 BDR %	6 BDR %	7 BDR %	8 BDR %	9 BDR %	10 BDR %
ADrone	8	27.15	29.14	22.12	13.27	5.46	1.91	0.69	0.17	0.09	0.00	0.00
asaelr	7	26.98	32.19	21.16	11.35	5.10	2.08	0.96	0.17	0.00	0.00	0.00
Bot-Fiora	7	27.40	29.99	21.30	13.75	5.38	1.76	0.31	0.10	0.00	0.00	0.00
DMoney	7	27.97	32.53	20.48	12.47	4.56	1.57	0.37	0.05	0.00	0.00	0.00
Dr_Kakashi	7	32.76	30.58	20.29	10.60	3.62	1.50	0.50	0.16	0.00	0.00	0.00
eliclax	7	29.60	30.05	21.18	11.86	5.00	2.01	0.15	0.15	0.00	0.00	0.00
Fireheart	10	29.61	30.64	21.03	11.67	4.33	1.80	0.52	0.26	0.09	0.00	0.04
Floriman	9	30.70	31.50	21.14	10.28	4.29	1.59	0.38	0.08	0.00	0.04	0.00
florrat2	8	25.26	29.53	22.53	11.93	6.77	2.65	0.81	0.37	0.15	0.00	0.00
IAMJEFF	8	34.86	30.19	19.79	9.73	3.81	1.05	0.43	0.10	0.05	0.00	0.00
indego	10	28.58	30.30	23.09	12.17	3.72	1.54	0.45	0.11	0.00	0.00	0.04
kimbifille	8	34.15	30.93	20.04	9.48	3.46	1.26	0.48	0.15	0.06	0.00	0.00
Kyle	9	30.32	31.97	20.53	11.01	4.16	1.60	0.24	0.10	0.06	0.02	0.00
Lanvin	8	31.01	31.55	20.37	10.27	4.19	1.74	0.61	0.21	0.05	0.00	0.00
Lel0uch	10	29.77	30.76	21.58	11.54	4.16	1.46	0.55	0.10	0.05	0.00	0.03
Libster	8	30.87	30.59	20.58	10.66	4.69	2.02	0.46	0.09	0.05	0.00	0.00
MarkusKahlsen	8	31.23	32.76	19.81	9.40	4.22	1.94	0.46	0.14	0.03	0.00	0.00
melwen	10	27.32	31.53	22.16	11.71	4.88	1.68	0.50	0.14	0.06	0.00	0.02
micerang	10	29.94	30.57	21.52	11.27	4.11	1.87	0.47	0.22	0.00	0.00	0.03
nitawa	7	33.02	32.19	20.57	9.84	2.86	1.08	0.38	0.06	0.00	0.00	0.00
Nitrate	8	29.47	30.37	20.41	11.93	5.35	1.73	0.58	0.08	0.08	0.00	0.00
Pablo-	8	29.49	33.68	21.07	10.21	3.76	1.24	0.43	0.09	0.04	0.00	0.00
padi	9	21.25	32.91	21.77	14.85	5.89	2.18	0.77	0.26	0.00	0.13	0.00
pianoblook	8	33.07	29.96	20.99	10.23	3.68	1.47	0.39	0.15	0.06	0.00	0.00
piper	6	36.85	28.90	20.09	9.49	3.20	1.23	0.25	0.00	0.00	0.00	0.00
RaKXeR	7	24.16	30.29	23.12	12.88	5.85	2.86	0.49	0.35	0.00	0.00	0.00
scharkbite	8	25.89	29.21	23.06	13.21	5.47	1.91	0.86	0.29	0.09	0.00	0.00
sin_faith	8	26.62	31.18	24.22	11.47	4.85	1.27	0.29	0.00	0.10	0.00	0.00
sjdrodge	8	39.34	32.18	16.89	7.76	2.47	1.00	0.30	0.03	0.03	0.00	0.00
TimeHoodie	9	29.98	31.76	21.22	10.51	4.38	1.52	0.41	0.14	0.06	0.02	0.00
timotree	7	29.71	31.13	20.17	12.10	4.56	1.61	0.52	0.19	0.00	0.00	0.00
Valetta6789	7	28.73	31.63	22.15	10.80	4.11	1.86	0.55	0.16	0.00	0.00	0.00
Zamiel	8	26.41	29.02	23.02	12.44	5.79	2.25	0.80	0.22	0.05	0.00	0.00
