player	game_id	variant	bdr
ADrone	86590	Black (5 Suits)	8
ADrone	745047	Up or Down & Muddy Rainbow (6 Suits)	7
ADrone	746659	Rainbow (6 Suits)	7
ADrone	754154	Rainbow (6 Suits)	7
ADrone	86003	No Variant	6
ADrone	108036	Rainbow (6 Suits)	6
ADrone	264646	White-Ones & Brown (6 Suits)	6
ADrone	303681	Rainbow (6 Suits)	6
ADrone	376828	Rainbow (6 Suits)	6
ADrone	409041	Dual-Color Mix	6
ADrone	686316	Rainbow & Dark Pink (6 Suits)	6
ADrone	743959	No Variant	6
ADrone	83410	Rainbow (6 Suits)	5
ADrone	86023	No Variant	5
ADrone	88575	No Variant	5
ADrone	89526	No Variant	5
ADrone	90333	No Variant	5
ADrone	94940	Rainbow & White (5 Suits)	5
ADrone	157502	Pink & Brown (5 Suits)	5
ADrone	246206	Pink & Brown (5 Suits)	5
ADrone	275314	Up or Down (5 Suits)	5
ADrone	280254	No Variant	5
ADrone	291795	Null (5 Suits)	5
ADrone	331234	Up or Down & White (5 Suits)	5
ADrone	392620	No Variant	5
ADrone	451230	No Variant	5
ADrone	502316	Null (5 Suits)	5
ADrone	503695	Null (5 Suits)	5
ADrone	519454	Up or Down & Brown (5 Suits)	5
ADrone	608975	Clue Starved & Omni (6 Suits)	5
ADrone	631949	Omni & Muddy Rainbow (6 Suits)	5
ADrone	700160	Clue Starved (6 Suits)	5
ADrone	742961	No Variant	5
ADrone	760270	Black & Pink (6 Suits)	5
ADrone	763610	Muddy Rainbow (6 Suits)	5
ADrone	764862	Prism & Gray (6 Suits)	5
ADrone	775238	White & Dark Pink (6 Suits)	5
ADrone	77954	No Variant	4
ADrone	80787	Brown (6 Suits)	4
ADrone	81128	No Variant	4
ADrone	82597	Rainbow (5 Suits)	4
ADrone	85808	No Variant	4
ADrone	87843	Black & White (6 Suits)	4
ADrone	87846	Black & White (6 Suits)	4
ADrone	87999	No Variant	4
ADrone	88053	Black (6 Suits)	4
ADrone	90360	No Variant	4
ADrone	91415	No Variant	4
ADrone	96677	Dark Rainbow (5 Suits)	4
ADrone	97759	No Variant	4
ADrone	98585	No Variant	4
ADrone	104913	No Variant	4
ADrone	105938	No Variant	4
ADrone	114657	No Variant	4
ADrone	126529	Omni & Muddy Rainbow (6 Suits)	4
ADrone	130633	Light Pink (5 Suits)	4
ADrone	136611	Up or Down (5 Suits)	4
ADrone	192730	Omni-Ones (5 Suits)	4
ADrone	230674	Rainbow & Brown (5 Suits)	4
ADrone	248791	Gray Reversed (5 Suits)	4
ADrone	251205	No Variant	4
ADrone	251237	Extremely Ambiguous (6 Suits)	4
ADrone	290122	Prism (5 Suits)	4
ADrone	294362	Cocoa Rainbow (6 Suits)	4
ADrone	305697	Rainbow (6 Suits)	4
ADrone	314473	Omni (6 Suits)	4
ADrone	323872	No Variant	4
ADrone	324745	Up or Down (5 Suits)	4
ADrone	324772	Pink (6 Suits)	4
ADrone	388346	No Variant	4
ADrone	397805	Pink (5 Suits)	4
ADrone	401454	Null (5 Suits)	4
ADrone	404183	Black (6 Suits)	4
ADrone	405203	Black & White (6 Suits)	4
ADrone	409070	Dual-Color Mix	4
ADrone	465987	Pink (6 Suits)	4
ADrone	466391	Pink & Light Pink (5 Suits)	4
ADrone	469118	Rainbow & Omni (6 Suits)	4
ADrone	469150	Rainbow & Omni (6 Suits)	4
ADrone	479615	Prism Reversed (5 Suits)	4
ADrone	483988	Pink (6 Suits)	4
ADrone	501354	Pink (5 Suits)	4
ADrone	517819	Rainbow & White (6 Suits)	4
ADrone	519436	Up or Down & Brown (5 Suits)	4
ADrone	564328	Pink & Muddy Rainbow (6 Suits)	4
ADrone	585552	Black (6 Suits)	4
ADrone	595432	Pink & Brown (5 Suits)	4
ADrone	627605	White (6 Suits)	4
ADrone	660446	Omni (6 Suits)	4
ADrone	662121	No Variant	4
ADrone	663302	White-Ones & Rainbow (6 Suits)	4
ADrone	666440	Light-Pink-Fives & Cocoa Rainbow (6 Suits)	4
ADrone	667445	Brown & Light Pink (5 Suits)	4
ADrone	668742	Rainbow & Null (6 Suits)	4
ADrone	669853	Gray (6 Suits)	4
ADrone	682664	Rainbow & Brown (6 Suits)	4
ADrone	700086	Rainbow (6 Suits)	4
ADrone	738313	Rainbow & Prism (6 Suits)	4
ADrone	753646	Rainbow (5 Suits)	4
ADrone	755616	Black & Light Pink (6 Suits)	4
ADrone	764869	Prism & Gray (6 Suits)	4
ADrone	785974	Rainbow-Ones (6 Suits)	4
ADrone	77767	No Variant	3
ADrone	79691	No Variant	3
ADrone	79877	No Variant	3
ADrone	82753	No Variant	3
ADrone	84537	No Variant	3
ADrone	84602	Pink (5 Suits)	3
ADrone	85887	Black (6 Suits)	3
ADrone	86159	Rainbow (6 Suits)	3
ADrone	86201	No Variant	3
ADrone	87269	No Variant	3
ADrone	88139	Black (6 Suits)	3
ADrone	88500	Rainbow (5 Suits)	3
ADrone	88564	No Variant	3
ADrone	89213	No Variant	3
ADrone	89247	No Variant	3
ADrone	89457	Black (5 Suits)	3
ADrone	89477	Black (5 Suits)	3
ADrone	91479	No Variant	3
ADrone	92727	Black & White (6 Suits)	3
ADrone	93682	Rainbow & Pink (5 Suits)	3
ADrone	95196	Gray (6 Suits)	3
ADrone	96654	Dark Rainbow (5 Suits)	3
ADrone	101089	No Variant	3
ADrone	101917	No Variant	3
ADrone	103187	White (6 Suits)	3
ADrone	105176	No Variant	3
ADrone	106700	Rainbow (5 Suits)	3
ADrone	107801	6 Suits	3
ADrone	112220	Throw It in a Hole (5 Suits)	3
ADrone	113604	6 Suits	3
ADrone	115284	Rainbow (6 Suits)	3
ADrone	119055	Rainbow (5 Suits)	3
ADrone	121286	Black (5 Suits)	3
ADrone	136536	Up or Down (5 Suits)	3
ADrone	140412	Null (5 Suits)	3
ADrone	157431	Black (6 Suits)	3
ADrone	157538	Cow & Pig (5 Suits)	3
ADrone	157589	Cow & Pig (5 Suits)	3
ADrone	158021	Rainbow (6 Suits)	3
ADrone	158641	Up or Down (5 Suits)	3
ADrone	158670	Dual-Color (5 Suits)	3
