Player	Game id	Variant	BDR
Fireheart	634223	Omni & Muddy Rainbow (6 Suits)	10
Fireheart	72379	Ambiguous Mix	8
Fireheart	632196	White-Fives & Rainbow (6 Suits)	8
Fireheart	47161	6 Suits	7
Fireheart	50169	Muddy Rainbow (6 Suits)	7
Fireheart	72076	Pink (5 Suits)	7
Fireheart	74520	Extremely Ambiguous (6 Suits)	7
Fireheart	75081	Clue Starved (5 Suits)	7
Fireheart	308829	Ambiguous & Brown (5 Suits)	7
Fireheart	49205	Rainbow (6 Suits)	6
Fireheart	50061	White (6 Suits)	6
Fireheart	50171	Muddy Rainbow (6 Suits)	6
Fireheart	51124	Black (6 Suits)	6
Fireheart	52765	Rainbow & White (6 Suits)	6
Fireheart	53472	Dark Pink (6 Suits)	6
Fireheart	57771	Black & White (6 Suits)	6
Fireheart	63033	Gray Pink (6 Suits)	6
Fireheart	79078	Rainbow & White (5 Suits)	6
Fireheart	229120	Rainbow (6 Suits)	6
Fireheart	632021	Brown & Dark Omni (6 Suits)	6
Fireheart	641329	Brown-Ones & Dark Omni (6 Suits)	6
Fireheart	47406	No Variant	5
Fireheart	47561	No Variant	5
Fireheart	47744	No Variant	5
Fireheart	48612	Rainbow (5 Suits)	5
Fireheart	49029	Rainbow (6 Suits)	5
Fireheart	49421	6 Suits	5
Fireheart	49991	Rainbow (5 Suits)	5
Fireheart	50184	Pink-Fives & Rainbow (6 Suits)	5
Fireheart	50822	Black & Brown (6 Suits)	5
Fireheart	52079	Up or Down & Rainbow (6 Suits)	5
Fireheart	56001	No Variant	5
Fireheart	56803	White (6 Suits)	5
Fireheart	58136	Pink-Fives & Rainbow (5 Suits)	5
Fireheart	58915	Ambiguous & Rainbow (5 Suits)	5
Fireheart	59603	Black (5 Suits)	5
Fireheart	60429	Rainbow & Pink (6 Suits)	5
Fireheart	61642	No Variant	5
Fireheart	61851	Duck (5 Suits)	5
Fireheart	63154	Rainbow & White (6 Suits)	5
Fireheart	65747	Rainbow & Gray (6 Suits)	5
Fireheart	66648	Throw It in a Hole (6 Suits)	5
Fireheart	68582	Omni & Null (6 Suits)	5
Fireheart	70582	Throw It in a Hole (6 Suits)	5
Fireheart	71312	Dark Rainbow (6 Suits)	5
Fireheart	73522	Up or Down & Null (6 Suits)	5
Fireheart	73694	Black & White (6 Suits)	5
Fireheart	74080	Pink & Null (6 Suits)	5
Fireheart	74514	Extremely Ambiguous (6 Suits)	5
Fireheart	74940	Rainbow (5 Suits)	5
Fireheart	143644	Rainbow & Light Pink (5 Suits)	5
Fireheart	143735	Omni-Ones (5 Suits)	5
Fireheart	158336	Rainbow (6 Suits)	5
Fireheart	368094	Ambiguous & Brown (5 Suits)	5
Fireheart	407209	Pink-Ones & White (6 Suits)	5
Fireheart	409374	Rainbow (6 Suits)	5
Fireheart	414688	Up or Down & Rainbow (6 Suits)	5
Fireheart	414900	No Variant	5
Fireheart	446716	Color Mute (6 Suits)	5
Fireheart	631259	White & Light Pink (6 Suits)	5
Fireheart	631719	Omni & Muddy Rainbow (6 Suits)	5
Fireheart	640862	Brown & Prism (6 Suits)	5
Fireheart	641323	Brown-Ones & Dark Omni (6 Suits)	5
Fireheart	47160	6 Suits	4
Fireheart	47191	No Variant	4
Fireheart	47385	White (6 Suits)	4
Fireheart	47388	White (6 Suits)	4
Fireheart	47486	White (6 Suits)	4
Fireheart	47733	White (6 Suits)	4
Fireheart	47961	No Variant	4
Fireheart	48127	No Variant	4
Fireheart	48227	No Variant	4
Fireheart	48433	Omni (6 Suits)	4
Fireheart	48547	Brown (5 Suits)	4
Fireheart	48708	No Variant	4
Fireheart	48971	White (6 Suits)	4
Fireheart	49083	Black (5 Suits)	4
Fireheart	49373	Black (6 Suits)	4
Fireheart	49527	6 Suits	4
Fireheart	49744	No Variant	4
Fireheart	49845	Rainbow (5 Suits)	4
Fireheart	50063	White (6 Suits)	4
Fireheart	50635	Rainbow-Ones & Pink (6 Suits)	4
Fireheart	50841	Pink-Fives (6 Suits)	4
Fireheart	50983	Rainbow (6 Suits)	4
Fireheart	50984	No Variant	4
Fireheart	50987	No Variant	4
Fireheart	51548	Up or Down (6 Suits)	4
Fireheart	51940	Pink & Brown (5 Suits)	4
Fireheart	52394	Omni (5 Suits)	4
Fireheart	53464	Rainbow (6 Suits)	4
Fireheart	54167	Black & Omni (6 Suits)	4
Fireheart	54447	6 Suits	4
Fireheart	54497	No Variant	4
Fireheart	54648	Rainbow (5 Suits)	4
Fireheart	55027	White & Dark Brown (6 Suits)	4
Fireheart	55029	White & Dark Brown (6 Suits)	4
Fireheart	55385	Rainbow & White (6 Suits)	4
Fireheart	55419	Rainbow & White (6 Suits)	4
Fireheart	55990	No Variant	4
Fireheart	56799	Ambiguous & Rainbow (5 Suits)	4
Fireheart	56939	Rainbow & White (5 Suits)	4
Fireheart	57117	Rainbow (5 Suits)	4
Fireheart	57180	Pink & White (6 Suits)	4
Fireheart	57204	Up or Down (6 Suits)	4
Fireheart	57412	Light Pink (6 Suits)	4
Fireheart	57891	Dark Rainbow (6 Suits)	4
Fireheart	58188	Null & Dark Brown (6 Suits)	4
Fireheart	58939	Rainbow-Ones & Pink (5 Suits)	4
Fireheart	58950	Rainbow & Dark Pink (6 Suits)	4
Fireheart	59804	Up or Down (6 Suits)	4
Fireheart	60034	No Variant	4
Fireheart	60431	Rainbow & Pink (6 Suits)	4
Fireheart	60917	Black & Null (6 Suits)	4
Fireheart	62975	Up or Down & Rainbow (6 Suits)	4
Fireheart	63165	Rainbow & Dark Omni (6 Suits)	4
Fireheart	63432	Black & Brown (6 Suits)	4
Fireheart	65006	Brown & Omni (6 Suits)	4
Fireheart	65415	Black & Null (5 Suits)	4
Fireheart	65832	Up or Down & Omni (5 Suits)	4
Fireheart	66775	No Variant	4
Fireheart	66955	6 Suits	4
Fireheart	67485	Brown & Omni (5 Suits)	4
Fireheart	68082	White & Brown (6 Suits)	4
Fireheart	69314	Brown & Omni (6 Suits)	4
Fireheart	70539	Color Blind (5 Suits)	4
Fireheart	70573	Ambiguous & Dual-Color	4
Fireheart	71635	Dual-Color (6 Suits)	4
Fireheart	71739	Brown (6 Suits)	4
Fireheart	71781	Throw It in a Hole (6 Suits)	4
Fireheart	72509	Brown & Gray (5 Suits)	4
