Player	Game id	Variant	BDR
IAMJEFF	22309	Up or Down (6 Suits)	8
IAMJEFF	52563	Up or Down & Pink (6 Suits)	8
IAMJEFF	72379	Ambiguous Mix	8
IAMJEFF	41191	Rainbow (6 Suits)	7
IAMJEFF	41215	Black & Rainbow (6 Suits)	7
IAMJEFF	65009	Up or Down & White (6 Suits)	7
IAMJEFF	20674	No Variant	6
IAMJEFF	30407	Black & Rainbow (6 Suits)	6
IAMJEFF	42729	Black & Brown (6 Suits)	6
IAMJEFF	42850	Dark Brown (6 Suits)	6
IAMJEFF	43378	Dark Pink (6 Suits)	6
IAMJEFF	94217	Black & Pink (6 Suits)	6
IAMJEFF	99863	White-Ones (6 Suits)	6
IAMJEFF	385726	Pink & Prism (6 Suits)	6
IAMJEFF	587360	Dual-Color & Brown (6 Suits)	6
IAMJEFF	24937	No Variant	5
IAMJEFF	25927	White (6 Suits)	5
IAMJEFF	34878	Brown (6 Suits)	5
IAMJEFF	34946	Gray (6 Suits)	5
IAMJEFF	39386	Up or Down & White (6 Suits)	5
IAMJEFF	44791	Black (6 Suits)	5
IAMJEFF	54743	Rainbow-Ones (6 Suits)	5
IAMJEFF	55296	Up or Down & Rainbow (6 Suits)	5
IAMJEFF	55297	Up or Down & Rainbow (6 Suits)	5
IAMJEFF	55722	Throw It in a Hole (6 Suits)	5
IAMJEFF	59603	Black (5 Suits)	5
IAMJEFF	59815	Up or Down & Rainbow (6 Suits)	5
IAMJEFF	65285	Duck (6 Suits)	5
IAMJEFF	65346	Up or Down & Pink (6 Suits)	5
IAMJEFF	65348	Up or Down & Omni (6 Suits)	5
IAMJEFF	68582	Omni & Null (6 Suits)	5
IAMJEFF	70753	Black & Omni (5 Suits)	5
IAMJEFF	165289	Throw It in a Hole & Pink (6 Suits)	5
IAMJEFF	318736	Dark Rainbow (6 Suits)	5
IAMJEFF	332143	Rainbow & White (6 Suits)	5
IAMJEFF	341229	Clue Starved & Rainbow (6 Suits)	5
IAMJEFF	521102	Up or Down & Prism (5 Suits)	5
IAMJEFF	576339	Muddy Rainbow & Light Pink (6 Suits)	5
IAMJEFF	631719	Omni & Muddy Rainbow (6 Suits)	5
IAMJEFF	728399	Null-Ones & Dark Omni (6 Suits)	5
IAMJEFF	729599	Pink-Fives & Rainbow (6 Suits)	5
IAMJEFF	20783	No Variant	4
IAMJEFF	24037	No Variant	4
IAMJEFF	24039	No Variant	4
IAMJEFF	24041	6 Suits	4
IAMJEFF	24523	No Variant	4
IAMJEFF	29317	Duck (5 Suits)	4
IAMJEFF	30471	6 Suits	4
IAMJEFF	34178	Rainbow (6 Suits)	4
IAMJEFF	38472	Brown (6 Suits)	4
IAMJEFF	40156	Gray (5 Suits)	4
IAMJEFF	41211	Black & Rainbow (6 Suits)	4
IAMJEFF	41218	Rainbow & White (6 Suits)	4
IAMJEFF	44017	Rainbow & Gray (6 Suits)	4
IAMJEFF	44215	Black & Brown (6 Suits)	4
IAMJEFF	44772	Pink (6 Suits)	4
IAMJEFF	44949	Black (6 Suits)	4
IAMJEFF	50635	Rainbow-Ones & Pink (6 Suits)	4
IAMJEFF	50830	Cow & Pig (6 Suits)	4
IAMJEFF	52551	Pink & Gray (6 Suits)	4
IAMJEFF	52554	Up or Down & Pink (5 Suits)	4
IAMJEFF	57412	Light Pink (6 Suits)	4
IAMJEFF	58020	Pink & Brown (5 Suits)	4
IAMJEFF	58939	Rainbow-Ones & Pink (5 Suits)	4
IAMJEFF	59803	Up or Down (5 Suits)	4
IAMJEFF	59804	Up or Down (6 Suits)	4
IAMJEFF	65127	Brown (6 Suits)	4
IAMJEFF	65147	Up or Down (6 Suits)	4
IAMJEFF	65158	Pink (6 Suits)	4
IAMJEFF	65284	Duck (6 Suits)	4
IAMJEFF	65307	Duck (6 Suits)	4
IAMJEFF	65415	Black & Null (5 Suits)	4
IAMJEFF	66458	Number Mute (6 Suits)	4
IAMJEFF	67367	Black & Brown (6 Suits)	4
IAMJEFF	67485	Brown & Omni (5 Suits)	4
IAMJEFF	68812	Up or Down & Pink (6 Suits)	4
