Player	Game id	Variant	BDR
MarkusKahlsen	678152	Brown-Fives & Rainbow (6 Suits)	8
MarkusKahlsen	98948	Rainbow (6 Suits)	7
MarkusKahlsen	178153	6 Suits	7
MarkusKahlsen	594758	Rainbow-Ones & Cocoa Rainbow (6 Suits)	7
MarkusKahlsen	688929	Very Ambiguous (6 Suits)	7
MarkusKahlsen	734590	Pink & Gray (6 Suits)	7
MarkusKahlsen	89343	Rainbow (6 Suits)	6
MarkusKahlsen	90379	Rainbow (6 Suits)	6
MarkusKahlsen	191469	Rainbow (6 Suits)	6
MarkusKahlsen	196226	Rainbow (6 Suits)	6
MarkusKahlsen	267488	White (6 Suits)	6
MarkusKahlsen	371082	Brown (6 Suits)	6
MarkusKahlsen	444798	Throw It in a Hole (6 Suits)	6
MarkusKahlsen	455634	Black & Pink (6 Suits)	6
MarkusKahlsen	465713	Rainbow & Pink (6 Suits)	6
MarkusKahlsen	468249	Brown (6 Suits)	6
MarkusKahlsen	490292	Rainbow & Brown (6 Suits)	6
MarkusKahlsen	608985	Pink & Gray Pink (6 Suits)	6
MarkusKahlsen	629410	Clue Starved & Brown (6 Suits)	6
MarkusKahlsen	636504	Clue Starved & White (6 Suits)	6
MarkusKahlsen	655014	Rainbow-Ones & Cocoa Rainbow (6 Suits)	6
MarkusKahlsen	767481	Deceptive-Ones (6 Suits)	6
MarkusKahlsen	86733	No Variant	5
MarkusKahlsen	90408	Rainbow (6 Suits)	5
MarkusKahlsen	111481	No Variant	5
MarkusKahlsen	117326	Rainbow (6 Suits)	5
MarkusKahlsen	117668	Rainbow (6 Suits)	5
MarkusKahlsen	117733	Rainbow (6 Suits)	5
MarkusKahlsen	135754	6 Suits	5
MarkusKahlsen	165528	Rainbow (6 Suits)	5
MarkusKahlsen	178135	Rainbow (6 Suits)	5
MarkusKahlsen	182564	No Variant	5
MarkusKahlsen	190581	Pink (6 Suits)	5
MarkusKahlsen	192609	No Variant	5
MarkusKahlsen	205395	Muddy Rainbow (5 Suits)	5
MarkusKahlsen	207722	Rainbow (6 Suits)	5
MarkusKahlsen	210572	Rainbow & Brown (6 Suits)	5
MarkusKahlsen	213114	Rainbow (6 Suits)	5
MarkusKahlsen	254420	Rainbow (6 Suits)	5
MarkusKahlsen	255382	White-Ones & White (6 Suits)	5
MarkusKahlsen	256233	Black (6 Suits)	5
MarkusKahlsen	260577	Pink & Gray Pink (6 Suits)	5
MarkusKahlsen	262723	Rainbow (6 Suits)	5
MarkusKahlsen	265495	Black (6 Suits)	5
MarkusKahlsen	278606	Brown (6 Suits)	5
MarkusKahlsen	283698	Brown (6 Suits)	5
MarkusKahlsen	284708	Prism & Gray (6 Suits)	5
MarkusKahlsen	294237	Prism (5 Suits)	5
MarkusKahlsen	317253	Rainbow-Ones (6 Suits)	5
MarkusKahlsen	320339	Duck (5 Suits)	5
MarkusKahlsen	330504	Dark Prism (6 Suits)	5
MarkusKahlsen	336081	Rainbow (6 Suits)	5
MarkusKahlsen	360507	Rainbow (6 Suits)	5
MarkusKahlsen	407861	Prism Reversed (6 Suits)	5
MarkusKahlsen	442043	Pink & Omni (4 Suits)	5
MarkusKahlsen	445691	Brown & Null (5 Suits)	5
MarkusKahlsen	450812	Black & Rainbow (6 Suits)	5
MarkusKahlsen	450826	Black & Rainbow (6 Suits)	5
MarkusKahlsen	480461	Dark Pink (6 Suits)	5
MarkusKahlsen	481155	Black & Brown (6 Suits)	5
MarkusKahlsen	486461	Black & Light Pink (6 Suits)	5
MarkusKahlsen	492072	Null (5 Suits)	5
MarkusKahlsen	509266	Black & Rainbow (6 Suits)	5
MarkusKahlsen	513046	Dual-Color & Cocoa Rainbow (6 Suits)	5
MarkusKahlsen	559174	Black & Gray (6 Suits)	5
MarkusKahlsen	573800	Special Mix (6 Suits)	5
MarkusKahlsen	577726	Rainbow-Fives & Rainbow (6 Suits)	5
MarkusKahlsen	583503	Brown & Dark Prism (6 Suits)	5
MarkusKahlsen	605477	Gray Reversed (6 Suits)	5
MarkusKahlsen	607068	Gray Reversed (5 Suits)	5
MarkusKahlsen	625772	Omni-Ones & Rainbow (6 Suits)	5
MarkusKahlsen	643296	Ambiguous & Brown (5 Suits)	5
MarkusKahlsen	661474	Omni & Light Pink (5 Suits)	5
MarkusKahlsen	662472	Pink & Null (6 Suits)	5
MarkusKahlsen	677107	Pink & Gray (6 Suits)	5
MarkusKahlsen	680089	Synesthesia (6 Suits)	5
MarkusKahlsen	681697	Very Ambiguous (6 Suits)	5
MarkusKahlsen	688156	Rainbow & Light Pink (6 Suits)	5
MarkusKahlsen	690458	Very Ambiguous (6 Suits)	5
MarkusKahlsen	704291	Clue Starved & Omni (5 Suits)	5
MarkusKahlsen	706513	Pink-Ones & Gray (6 Suits)	5
MarkusKahlsen	709291	Clue Starved (6 Suits)	5
MarkusKahlsen	745063	Null & Dark Omni (6 Suits)	5
MarkusKahlsen	761521	White (6 Suits)	5
MarkusKahlsen	763610	Muddy Rainbow (6 Suits)	5
MarkusKahlsen	769245	Null-Ones & Cocoa Rainbow (6 Suits)	5
MarkusKahlsen	770434	Muddy-Rainbow-Ones & Dark Prism (6 Suits)	5
MarkusKahlsen	776168	Omni-Fives (5 Suits)	5
MarkusKahlsen	781254	Pink-Ones & Rainbow (6 Suits)	5
MarkusKahlsen	86731	No Variant	4
MarkusKahlsen	97818	No Variant	4
MarkusKahlsen	103909	White (6 Suits)	4
MarkusKahlsen	108627	No Variant	4
MarkusKahlsen	113828	No Variant	4
MarkusKahlsen	116167	No Variant	4
MarkusKahlsen	119622	Pink (5 Suits)	4
MarkusKahlsen	134530	Rainbow (6 Suits)	4
MarkusKahlsen	135606	6 Suits	4
MarkusKahlsen	150701	Pink & Brown (5 Suits)	4
MarkusKahlsen	153000	Black (6 Suits)	4
MarkusKahlsen	157003	No Variant	4
MarkusKahlsen	157030	6 Suits	4
MarkusKahlsen	161783	Rainbow (6 Suits)	4
MarkusKahlsen	168622	Black (6 Suits)	4
MarkusKahlsen	177028	Black (6 Suits)	4
MarkusKahlsen	193023	Rainbow (6 Suits)	4
MarkusKahlsen	194914	Pink (6 Suits)	4
MarkusKahlsen	200251	Pink (6 Suits)	4
MarkusKahlsen	200266	Light Pink (6 Suits)	4
MarkusKahlsen	205307	Clue Starved (5 Suits)	4
MarkusKahlsen	207585	Rainbow (6 Suits)	4
MarkusKahlsen	209694	No Variant	4
MarkusKahlsen	215400	No Variant	4
MarkusKahlsen	221902	Rainbow (6 Suits)	4
MarkusKahlsen	227914	No Variant	4
MarkusKahlsen	235087	Pink (6 Suits)	4
MarkusKahlsen	240499	Dark Pink (6 Suits)	4
MarkusKahlsen	247947	Gray Reversed (5 Suits)	4
MarkusKahlsen	248791	Gray Reversed (5 Suits)	4
MarkusKahlsen	254434	Pink & Gray Pink (6 Suits)	4
MarkusKahlsen	254516	Light Pink (6 Suits)	4
MarkusKahlsen	255263	Rainbow (6 Suits)	4
MarkusKahlsen	270933	White (6 Suits)	4
MarkusKahlsen	281841	Prism (6 Suits)	4
MarkusKahlsen	286354	Up or Down (6 Suits)	4
MarkusKahlsen	302332	Dark Prism (6 Suits)	4
MarkusKahlsen	304694	Clue Starved (6 Suits)	4
MarkusKahlsen	304703	Clue Starved (6 Suits)	4
MarkusKahlsen	306084	6 Suits	4
MarkusKahlsen	306142	Pink & Dark Prism (5 Suits)	4
MarkusKahlsen	311036	Up or Down (5 Suits)	4
MarkusKahlsen	330440	No Variant	4
MarkusKahlsen	333998	Null (6 Suits)	4
MarkusKahlsen	334683	Prism Reversed (5 Suits)	4
MarkusKahlsen	335558	Null-Ones (5 Suits)	4
MarkusKahlsen	340782	Gray Pink (6 Suits)	4
MarkusKahlsen	340938	Black (6 Suits)	4
MarkusKahlsen	356111	Rainbow & White (6 Suits)	4
MarkusKahlsen	364605	White & Prism (6 Suits)	4
MarkusKahlsen	373723	Muddy Rainbow (6 Suits)	4
MarkusKahlsen	378879	Omni (6 Suits)	4
MarkusKahlsen	390543	Brown & Prism (6 Suits)	4
MarkusKahlsen	404183	Black (6 Suits)	4
MarkusKahlsen	409067	Black & White (6 Suits)	4
MarkusKahlsen	412802	Rainbow-Ones & Pink (6 Suits)	4
MarkusKahlsen	438363	Rainbow & White (6 Suits)	4
MarkusKahlsen	440408	Brown-Fives & Omni (6 Suits)	4
MarkusKahlsen	440869	Light Pink & Cocoa Rainbow (6 Suits)	4
MarkusKahlsen	447937	Throw It in a Hole (6 Suits)	4
MarkusKahlsen	448655	Prism (6 Suits)	4
MarkusKahlsen	448667	Prism (6 Suits)	4
MarkusKahlsen	448989	Throw It in a Hole (6 Suits)	4
MarkusKahlsen	451228	Black & White (5 Suits)	4
MarkusKahlsen	454317	Black & White (6 Suits)	4
MarkusKahlsen	463783	Brown (6 Suits)	4
MarkusKahlsen	470513	Brown (6 Suits)	4
MarkusKahlsen	479209	Dual-Color & White (6 Suits)	4
MarkusKahlsen	490287	Rainbow & Brown (6 Suits)	4
MarkusKahlsen	492065	Null (5 Suits)	4
MarkusKahlsen	493027	Dark Omni (6 Suits)	4
MarkusKahlsen	497479	Up or Down & Null (6 Suits)	4
MarkusKahlsen	497526	Up or Down & Null (6 Suits)	4
MarkusKahlsen	498415	Null (5 Suits)	4
MarkusKahlsen	504223	Rainbow & Muddy Rainbow (6 Suits)	4
MarkusKahlsen	521243	Dark Rainbow (6 Suits)	4
MarkusKahlsen	549804	6 Suits	4
MarkusKahlsen	550912	Rainbow-Ones & White (6 Suits)	4
MarkusKahlsen	568311	White-Fives & Light Pink (5 Suits)	4
MarkusKahlsen	577202	Clue Starved & Rainbow (6 Suits)	4
MarkusKahlsen	578149	Omni & Light Pink (6 Suits)	4
MarkusKahlsen	579421	Black & Light Pink (5 Suits)	4
MarkusKahlsen	599407	Prism & Gray (6 Suits)	4
MarkusKahlsen	599432	Color Blind (5 Suits)	4
MarkusKahlsen	599907	Clue Starved & White (6 Suits)	4
MarkusKahlsen	602420	Pink & Dark Omni (6 Suits)	4
MarkusKahlsen	604390	Rainbow-Ones & Gray (6 Suits)	4
MarkusKahlsen	609191	Pink-Ones & Prism (6 Suits)	4
MarkusKahlsen	625736	Muddy Rainbow & Dark Rainbow (6 Suits)	4
MarkusKahlsen	626290	Prism (5 Suits)	4
MarkusKahlsen	632549	Prism & Gray Pink (6 Suits)	4
MarkusKahlsen	636503	Clue Starved & White (6 Suits)	4
MarkusKahlsen	638196	Clue Starved & Brown (6 Suits)	4
MarkusKahlsen	638904	Clue Starved & Prism (6 Suits)	4
MarkusKahlsen	639041	Rainbow & Dark Prism (6 Suits)	4
MarkusKahlsen	639361	Dark Null (6 Suits)	4
MarkusKahlsen	639714	Clue Starved & Light Pink (5 Suits)	4
MarkusKahlsen	639723	Clue Starved & Light Pink (5 Suits)	4
MarkusKahlsen	641289	Rainbow-Ones & Rainbow (6 Suits)	4
MarkusKahlsen	643818	Pink & Dark Brown (6 Suits)	4
MarkusKahlsen	646205	Throw It in a Hole & White (6 Suits)	4
MarkusKahlsen	646259	Prism (5 Suits)	4
MarkusKahlsen	649217	White (5 Suits)	4
MarkusKahlsen	649877	White & Omni (6 Suits)	4
MarkusKahlsen	663673	White & Dark Pink (6 Suits)	4
MarkusKahlsen	663682	Pink & Brown (5 Suits)	4
MarkusKahlsen	666440	Light-Pink-Fives & Cocoa Rainbow (6 Suits)	4
MarkusKahlsen	666749	Omni-Fives & Rainbow (5 Suits)	4
MarkusKahlsen	670054	White Reversed (6 Suits)	4
MarkusKahlsen	671177	Prism Reversed (6 Suits)	4
MarkusKahlsen	674311	Null & Prism (5 Suits)	4
MarkusKahlsen	675757	Up or Down & Brown (6 Suits)	4
MarkusKahlsen	677024	Synesthesia (6 Suits)	4
MarkusKahlsen	678483	Synesthesia (6 Suits)	4
MarkusKahlsen	680047	Dual-Color & Black (6 Suits)	4
MarkusKahlsen	682682	Null-Ones & Black (6 Suits)	4
MarkusKahlsen	687569	Pink & Light Pink (6 Suits)	4
MarkusKahlsen	689636	Very Ambiguous (6 Suits)	4
MarkusKahlsen	692046	Pink-Fives & Prism (6 Suits)	4
MarkusKahlsen	707093	Clue Starved & Omni (5 Suits)	4
MarkusKahlsen	711517	Omni-Ones & Omni (6 Suits)	4
MarkusKahlsen	723783	Pink-Ones & Black (6 Suits)	4
MarkusKahlsen	724556	Throw It in a Hole & White (6 Suits)	4
MarkusKahlsen	725196	Pink-Ones & Omni (6 Suits)	4
MarkusKahlsen	726557	White & Brown (6 Suits)	4
MarkusKahlsen	729075	Pink-Ones (6 Suits)	4
MarkusKahlsen	732284	Odds and Evens & Light Pink (6 Suits)	4
MarkusKahlsen	741346	White-Ones & Pink (6 Suits)	4
