Player	Game id	Variant	BDR
RaKXeR	4116	Dual-Color (6 Suits)	7
RaKXeR	13733	Black (6 Suits)	7
RaKXeR	255526	Rainbow (6 Suits)	7
RaKXeR	567989	Brown & Prism (6 Suits)	7
RaKXeR	662505	Clue Starved & Omni (6 Suits)	7
RaKXeR	3797	Dual-Color (6 Suits)	6
RaKXeR	4059	6 Suits	6
RaKXeR	6627	Rainbow (6 Suits)	6
RaKXeR	10498	Rainbow (6 Suits)	6
RaKXeR	14595	Rainbow (6 Suits)	6
RaKXeR	20148	Rainbow (6 Suits)	6
RaKXeR	668301	Rainbow (6 Suits)	6
RaKXeR	2910	No Variant	5
RaKXeR	3091	Dual-Color (6 Suits)	5
RaKXeR	3527	Very Ambiguous (6 Suits)	5
RaKXeR	3698	6 Suits	5
RaKXeR	3775	Rainbow (6 Suits)	5
RaKXeR	3803	Rainbow (6 Suits)	5
RaKXeR	4328	6 Suits	5
RaKXeR	4937	Rainbow (6 Suits)	5
RaKXeR	4968	Dual-Color (6 Suits)	5
RaKXeR	4982	No Variant	5
RaKXeR	5337	Rainbow (6 Suits)	5
RaKXeR	5684	Dual-Color & Rainbow (6 Suits)	5
RaKXeR	5770	Rainbow (6 Suits)	5
RaKXeR	6331	6 Suits	5
RaKXeR	6745	Rainbow (6 Suits)	5
RaKXeR	7366	Black (6 Suits)	5
RaKXeR	7812	Rainbow (6 Suits)	5
RaKXeR	9039	Dual-Color & Rainbow (6 Suits)	5
RaKXeR	10379	No Variant	5
RaKXeR	10594	Rainbow (6 Suits)	5
RaKXeR	10616	No Variant	5
RaKXeR	10712	Rainbow (6 Suits)	5
RaKXeR	10995	Rainbow (6 Suits)	5
RaKXeR	11041	No Variant	5
RaKXeR	12915	Rainbow (6 Suits)	5
RaKXeR	14649	Dark Rainbow (6 Suits)	5
RaKXeR	15830	Black (6 Suits)	5
RaKXeR	18427	Clue Starved (6 Suits)	5
RaKXeR	52079	Up or Down & Rainbow (6 Suits)	5
RaKXeR	52441	Rainbow (4 Suits)	5
RaKXeR	62175	No Variant	5
RaKXeR	73190	Extremely Ambiguous (6 Suits)	5
RaKXeR	83271	Rainbow (5 Suits)	5
RaKXeR	93794	Dual-Color Mix	5
RaKXeR	150467	Rainbow (6 Suits)	5
RaKXeR	180782	Black (6 Suits)	5
RaKXeR	246717	Rainbow (6 Suits)	5
RaKXeR	322936	Duck (5 Suits)	5
RaKXeR	337693	Prism (6 Suits)	5
RaKXeR	700160	Clue Starved (6 Suits)	5
RaKXeR	775238	White & Dark Pink (6 Suits)	5
RaKXeR	2959	No Variant	4
RaKXeR	3086	Rainbow (6 Suits)	4
RaKXeR	3090	Dual-Color & Rainbow (6 Suits)	4
RaKXeR	3150	No Variant	4
RaKXeR	3263	Rainbow (6 Suits)	4
RaKXeR	3493	6 Suits	4
RaKXeR	3638	Dual-Color (6 Suits)	4
RaKXeR	3773	Rainbow (6 Suits)	4
RaKXeR	3934	Color Blind (6 Suits)	4
RaKXeR	4113	Dual-Color (6 Suits)	4
RaKXeR	4267	No Variant	4
RaKXeR	4442	Rainbow (6 Suits)	4
RaKXeR	4719	Rainbow (6 Suits)	4
RaKXeR	4785	Rainbow (6 Suits)	4
RaKXeR	4965	Black (6 Suits)	4
RaKXeR	4966	No Variant	4
RaKXeR	5175	Rainbow (6 Suits)	4
