Player	Game id	Variant	BDR
Zamiel	7497	Rainbow (6 Suits)	8
Zamiel	10548	Rainbow (6 Suits)	8
Zamiel	17488	Up or Down (6 Suits)	8
Zamiel	52563	Up or Down & Pink (6 Suits)	8
Zamiel	3349	Black (6 Suits)	7
Zamiel	6839	Dual-Color (6 Suits)	7
Zamiel	12624	Rainbow (6 Suits)	7
Zamiel	12633	Rainbow (6 Suits)	7
Zamiel	12660	Black (6 Suits)	7
Zamiel	15015	Rainbow (6 Suits)	7
Zamiel	18107	Up or Down (6 Suits)	7
Zamiel	39187	Brown (6 Suits)	7
Zamiel	42447	Gray (6 Suits)	7
Zamiel	49590	Pink & Brown (6 Suits)	7
Zamiel	457693	Up or Down & Prism (6 Suits)	7
Zamiel	2944	Rainbow (6 Suits)	6
Zamiel	2974	6 Suits	6
Zamiel	3466	No Variant	6
Zamiel	3598	6 Suits	6
Zamiel	3891	Rainbow (6 Suits)	6
Zamiel	3894	6 Suits	6
Zamiel	5674	Rainbow (6 Suits)	6
Zamiel	5693	Rainbow (6 Suits)	6
Zamiel	7557	Rainbow (6 Suits)	6
Zamiel	7819	Rainbow (6 Suits)	6
Zamiel	8091	Rainbow (6 Suits)	6
Zamiel	8139	No Variant	6
Zamiel	9045	Rainbow (6 Suits)	6
Zamiel	10498	Rainbow (6 Suits)	6
Zamiel	10750	Rainbow (6 Suits)	6
Zamiel	11061	Rainbow (6 Suits)	6
Zamiel	12604	Rainbow (6 Suits)	6
Zamiel	13431	No Variant	6
Zamiel	16092	Ambiguous (6 Suits)	6
Zamiel	16630	Rainbow (6 Suits)	6
Zamiel	18414	No Variant	6
Zamiel	26018	Duck (6 Suits)	6
Zamiel	42351	Black & White (6 Suits)	6
Zamiel	42729	Black & Brown (6 Suits)	6
Zamiel	42850	Dark Brown (6 Suits)	6
Zamiel	44299	Black (6 Suits)	6
Zamiel	50148	No Variant	6
Zamiel	53361	No Variant	6
Zamiel	53472	Dark Pink (6 Suits)	6
Zamiel	88565	Rainbow (6 Suits)	6
Zamiel	301246	Clue Starved & Rainbow (6 Suits)	6
Zamiel	341969	Extremely Ambiguous & Muddy Rainbow (6 Suits)	6
Zamiel	446243	Cow & Pig (6 Suits)	6
Zamiel	2910	No Variant	5
Zamiel	2945	Black (6 Suits)	5
Zamiel	2970	6 Suits	5
Zamiel	3091	Dual-Color (6 Suits)	5
Zamiel	3131	Dual-Color (6 Suits)	5
Zamiel	3327	Rainbow (6 Suits)	5
Zamiel	3345	Dual-Color (6 Suits)	5
Zamiel	3446	Dual-Color & Rainbow (6 Suits)	5
Zamiel	3497	Ambiguous (6 Suits)	5
Zamiel	3527	Very Ambiguous (6 Suits)	5
Zamiel	3660	No Variant	5
Zamiel	3701	No Variant	5
Zamiel	3766	Color Blind (6 Suits)	5
Zamiel	3783	Ambiguous (6 Suits)	5
Zamiel	3838	Rainbow (6 Suits)	5
Zamiel	4067	Rainbow (6 Suits)	5
Zamiel	4140	Black (6 Suits)	5
Zamiel	4178	6 Suits	5
Zamiel	4371	Rainbow (6 Suits)	5
