Player	Game id	Variant	BDR
asaelr	57204	Up or Down (6 Suits)	8
asaelr	39187	Brown (6 Suits)	7
asaelr	43111	6 Suits	7
asaelr	47161	6 Suits	7
asaelr	74520	Extremely Ambiguous (6 Suits)	7
asaelr	76157	Dual-Color (6 Suits)	7
asaelr	656848	Rainbow & White (6 Suits)	7
asaelr	696768	Up or Down & Omni (6 Suits)	7
asaelr	37385	No Variant	6
asaelr	42351	Black & White (6 Suits)	6
asaelr	42729	Black & Brown (6 Suits)	6
asaelr	43378	Dark Pink (6 Suits)	6
asaelr	43721	6 Suits	6
asaelr	43825	Rainbow (6 Suits)	6
asaelr	44299	Black (6 Suits)	6
asaelr	47122	6 Suits	6
asaelr	48165	Brown (6 Suits)	6
asaelr	50148	No Variant	6
asaelr	52765	Rainbow & White (6 Suits)	6
asaelr	53472	Dark Pink (6 Suits)	6
asaelr	57921	Black & Brown (6 Suits)	6
asaelr	60819	Up or Down & Rainbow (6 Suits)	6
asaelr	63033	Gray Pink (6 Suits)	6
asaelr	72334	Rainbow (6 Suits)	6
asaelr	75085	Dual-Color (6 Suits)	6
asaelr	79078	Rainbow & White (5 Suits)	6
asaelr	144732	No Variant	6
asaelr	169198	No Variant	6
asaelr	196739	Pink-Fives & Dark Brown (6 Suits)	6
asaelr	231114	Rainbow (6 Suits)	6
asaelr	239129	Reversed (6 Suits)	6
asaelr	244134	Rainbow (6 Suits)	6
asaelr	258940	Black (6 Suits)	6
asaelr	288220	6 Suits	6
asaelr	304600	Prism (6 Suits)	6
asaelr	312685	Black (6 Suits)	6
asaelr	354323	Pink & Prism (6 Suits)	6
asaelr	497428	Null (5 Suits)	6
asaelr	551471	Black & Muddy Rainbow (6 Suits)	6
asaelr	617192	Rainbow-Ones & Pink (6 Suits)	6
asaelr	719426	White (6 Suits)	6
asaelr	795668	Rainbow & White (5 Suits)	6
asaelr	36110	No Variant	5
asaelr	38767	No Variant	5
asaelr	39184	Brown (6 Suits)	5
asaelr	39492	No Variant	5
asaelr	39546	Pink (6 Suits)	5
asaelr	42329	6 Suits	5
asaelr	42538	Black & White (6 Suits)	5
asaelr	43403	6 Suits	5
asaelr	44114	Black (6 Suits)	5
asaelr	46583	No Variant	5
asaelr	46600	Rainbow (6 Suits)	5
asaelr	47384	Up or Down (6 Suits)	5
asaelr	47458	White (6 Suits)	5
asaelr	47711	Rainbow (6 Suits)	5
asaelr	48302	Rainbow (6 Suits)	5
asaelr	49239	No Variant	5
asaelr	49421	6 Suits	5
asaelr	49438	4 Suits	5
asaelr	53812	Rainbow & Pink (6 Suits)	5
asaelr	53830	Pink (6 Suits)	5
asaelr	54156	Pink (6 Suits)	5
asaelr	56803	White (6 Suits)	5
asaelr	60129	Rainbow (6 Suits)	5
asaelr	61642	No Variant	5
asaelr	61787	Up or Down (6 Suits)	5
asaelr	63154	Rainbow & White (6 Suits)	5
asaelr	63765	Up or Down & Brown (5 Suits)	5
asaelr	65901	6 Suits	5
asaelr	68410	6 Suits	5
asaelr	71312	Dark Rainbow (6 Suits)	5
asaelr	74514	Extremely Ambiguous (6 Suits)	5
asaelr	75084	Dual-Color (6 Suits)	5
asaelr	75112	Brown (5 Suits)	5
asaelr	77347	Up or Down & Pink (5 Suits)	5
asaelr	102947	No Variant	5
asaelr	105845	6 Suits	5
asaelr	143644	Rainbow & Light Pink (5 Suits)	5
asaelr	168883	No Variant	5
asaelr	180045	Pink (6 Suits)	5
asaelr	192557	Brown & Dark Rainbow (6 Suits)	5
asaelr	209878	Dual-Color & Dark Pink (6 Suits)	5
asaelr	210572	Rainbow & Brown (6 Suits)	5
asaelr	230296	Brown (6 Suits)	5
asaelr	246718	Black & Pink (6 Suits)	5
asaelr	278718	Dual-Color (6 Suits)	5
asaelr	295982	Up or Down (6 Suits)	5
asaelr	309292	Ambiguous (6 Suits)	5
asaelr	312741	Gray (6 Suits)	5
asaelr	320280	Extremely Ambiguous (5 Suits)	5
asaelr	344096	Null-Ones & Prism (5 Suits)	5
asaelr	382874	No Variant	5
asaelr	394386	Rainbow & Pink (6 Suits)	5
asaelr	407209	Pink-Ones & White (6 Suits)	5
asaelr	409805	Dual-Color Mix	5
asaelr	436132	Rainbow & Muddy Rainbow (6 Suits)	5
asaelr	446643	Throw It in a Hole (6 Suits)	5
asaelr	505189	Rainbow & White (6 Suits)	5
asaelr	516777	White (6 Suits)	5
asaelr	536502	Ambiguous & Pink (5 Suits)	5
asaelr	560597	Deceptive-Ones & Rainbow (6 Suits)	5
asaelr	564290	No Variant	5
asaelr	574775	White (5 Suits)	5
asaelr	597147	White (6 Suits)	5
asaelr	598116	Up or Down (5 Suits)	5
asaelr	615598	Pink-Ones & Rainbow (6 Suits)	5
asaelr	617503	Black (6 Suits)	5
asaelr	625772	Omni-Ones & Rainbow (6 Suits)	5
asaelr	631106	Rainbow (6 Suits)	5
asaelr	635210	Pink-Ones & Omni (6 Suits)	5
asaelr	700925	White & Prism (6 Suits)	5
asaelr	769658	Pink (6 Suits)	5
asaelr	771806	Synesthesia (5 Suits)	5
asaelr	771842	Black & Rainbow (6 Suits)	5
asaelr	781078	Up or Down & Pink (6 Suits)	5
asaelr	783294	Rainbow & White (6 Suits)	5
asaelr	783324	Rainbow & White (6 Suits)	5
asaelr	788339	Rainbow-Ones (6 Suits)	5
asaelr	791443	Rainbow (6 Suits)	5
asaelr	35474	No Variant	4
asaelr	37370	No Variant	4
asaelr	38768	No Variant	4
asaelr	42325	6 Suits	4
asaelr	42448	Rainbow (5 Suits)	4
asaelr	42631	Rainbow & Pink (6 Suits)	4
asaelr	43058	Rainbow (6 Suits)	4
asaelr	43120	Black (6 Suits)	4
asaelr	43188	6 Suits	4
asaelr	43190	Rainbow (6 Suits)	4
asaelr	43204	No Variant	4
asaelr	43524	Rainbow (6 Suits)	4
asaelr	43707	6 Suits	4
asaelr	43745	No Variant	4
asaelr	43891	Black (6 Suits)	4
asaelr	44017	Rainbow & Gray (6 Suits)	4
asaelr	44215	Black & Brown (6 Suits)	4
asaelr	44258	White (6 Suits)	4
asaelr	44341	6 Suits	4
asaelr	44372	6 Suits	4
asaelr	44654	Dark Pink & Dark Brown (6 Suits)	4
asaelr	44655	Dark Pink & Dark Brown (6 Suits)	4
asaelr	44929	6 Suits	4
asaelr	45071	Black & Rainbow (6 Suits)	4
asaelr	46774	Totally Blind (6 Suits)	4
asaelr	47139	6 Suits	4
asaelr	47160	6 Suits	4
asaelr	48433	Omni (6 Suits)	4
asaelr	49262	No Variant	4
asaelr	49331	White (6 Suits)	4
asaelr	49432	6 Suits	4
asaelr	49688	No Variant	4
asaelr	49744	No Variant	4
asaelr	50983	Rainbow (6 Suits)	4
asaelr	51255	Rainbow (5 Suits)	4
asaelr	52872	6 Suits	4
asaelr	52999	White (6 Suits)	4
asaelr	53747	Brown (6 Suits)	4
asaelr	54447	6 Suits	4
asaelr	54833	Gray (6 Suits)	4
asaelr	55124	6 Suits	4
asaelr	55385	Rainbow & White (6 Suits)	4
asaelr	55419	Rainbow & White (6 Suits)	4
asaelr	57180	Pink & White (6 Suits)	4
asaelr	57846	White (6 Suits)	4
asaelr	57957	White (6 Suits)	4
asaelr	57964	White (5 Suits)	4
asaelr	58660	6 Suits	4
asaelr	58665	6 Suits	4
asaelr	59104	Up or Down (6 Suits)	4
asaelr	60386	Dual-Color Mix	4
asaelr	60977	No Variant	4
asaelr	61557	6 Suits	4
asaelr	62004	Rainbow & Gray (6 Suits)	4
asaelr	62872	Dual-Color Mix	4
asaelr	63165	Rainbow & Dark Omni (6 Suits)	4
asaelr	64230	Up or Down & Brown (6 Suits)	4
asaelr	64413	Rainbow (6 Suits)	4
asaelr	65006	Brown & Omni (6 Suits)	4
asaelr	65158	Pink (6 Suits)	4
asaelr	67567	Rainbow & Brown (6 Suits)	4
asaelr	68082	White & Brown (6 Suits)	4
asaelr	68789	Black (6 Suits)	4
asaelr	68938	Dual-Color (6 Suits)	4
asaelr	69523	Rainbow-Ones (6 Suits)	4
asaelr	71635	Dual-Color (6 Suits)	4
asaelr	71739	Brown (6 Suits)	4
asaelr	72406	Pink (6 Suits)	4
asaelr	72562	6 Suits	4
asaelr	72997	Dual-Color (6 Suits)	4
asaelr	73664	Dual-Color (6 Suits)	4
asaelr	74212	Black & Pink (6 Suits)	4
asaelr	74515	Extremely Ambiguous (6 Suits)	4
asaelr	74517	Extremely Ambiguous (6 Suits)	4
asaelr	75035	Rainbow (6 Suits)	4
asaelr	75036	6 Suits	4
asaelr	75087	Dual-Color (6 Suits)	4
asaelr	75187	Rainbow (6 Suits)	4
asaelr	76162	Dual-Color (6 Suits)	4
asaelr	77044	6 Suits	4
asaelr	77345	Up or Down & Pink (5 Suits)	4
asaelr	78202	6 Suits	4
asaelr	78238	No Variant	4
asaelr	81337	Rainbow (6 Suits)	4
asaelr	81342	Brown & Omni (6 Suits)	4
asaelr	83349	Dual-Color (6 Suits)	4
asaelr	84663	Up or Down & Rainbow (6 Suits)	4
asaelr	86223	No Variant	4
asaelr	89542	No Variant	4
asaelr	89559	No Variant	4
asaelr	89626	No Variant	4
asaelr	89847	Dark Rainbow (6 Suits)	4
asaelr	93480	No Variant	4
asaelr	96081	No Variant	4
asaelr	96472	No Variant	4
asaelr	132336	Rainbow (6 Suits)	4
asaelr	133036	Rainbow (6 Suits)	4
asaelr	134896	Rainbow & Gray (6 Suits)	4
asaelr	141190	6 Suits	4
asaelr	151707	Light-Pink-Fives & Muddy Rainbow (6 Suits)	4
