Player	Game id	Variant	BDR
micerang	634223	Omni & Muddy Rainbow (6 Suits)	10
micerang	73522	Up or Down & Null (6 Suits)	8
micerang	38217	Rainbow (6 Suits)	7
micerang	38271	Black & Rainbow (6 Suits)	7
micerang	41215	Black & Rainbow (6 Suits)	7
micerang	43111	6 Suits	7
micerang	50169	Muddy Rainbow (6 Suits)	7
micerang	73523	Up or Down & Null (6 Suits)	7
micerang	660518	Clue Starved & Omni (6 Suits)	7
micerang	680562	Light-Pink-Ones & Gray Pink (6 Suits)	7
micerang	34876	Brown (6 Suits)	6
micerang	44299	Black (6 Suits)	6
micerang	46320	Black (5 Suits)	6
micerang	50171	Muddy Rainbow (6 Suits)	6
micerang	53361	No Variant	6
micerang	57921	Black & Brown (6 Suits)	6
micerang	60813	Up or Down & Rainbow (6 Suits)	6
micerang	60819	Up or Down & Rainbow (6 Suits)	6
micerang	72334	Rainbow (6 Suits)	6
micerang	80194	Up or Down (6 Suits)	6
micerang	94217	Black & Pink (6 Suits)	6
micerang	100221	Ambiguous (6 Suits)	6
micerang	131599	Up or Down & Muddy Rainbow (6 Suits)	6
micerang	131603	Up or Down & Muddy Rainbow (6 Suits)	6
micerang	215981	Rainbow (6 Suits)	6
micerang	348525	Rainbow (6 Suits)	6
micerang	352398	Muddy Rainbow & Prism (6 Suits)	6
micerang	541702	Dual-Color & Light Pink (6 Suits)	6
micerang	650676	Prism (6 Suits)	6
micerang	659468	6 Suits	6
micerang	34434	6 Suits	5
micerang	34443	No Variant	5
micerang	34878	Brown (6 Suits)	5
micerang	38218	Rainbow (6 Suits)	5
micerang	38400	Up or Down (6 Suits)	5
micerang	38469	Brown (6 Suits)	5
micerang	38767	No Variant	5
micerang	41242	6 Suits	5
micerang	41583	Up or Down (6 Suits)	5
micerang	43403	6 Suits	5
micerang	43955	White & Brown (5 Suits)	5
micerang	44114	Black (6 Suits)	5
micerang	44410	Black & Pink (6 Suits)	5
micerang	44815	Rainbow (5 Suits)	5
micerang	47384	Up or Down (6 Suits)	5
micerang	47711	Rainbow (6 Suits)	5
micerang	47912	Up or Down (6 Suits)	5
micerang	48302	Rainbow (6 Suits)	5
micerang	49029	Rainbow (6 Suits)	5
micerang	49168	Up or Down (6 Suits)	5
micerang	49582	Black (6 Suits)	5
micerang	53606	Up or Down (6 Suits)	5
micerang	55341	Up or Down & Rainbow (6 Suits)	5
micerang	55947	Omni (6 Suits)	5
micerang	58915	Ambiguous & Rainbow (5 Suits)	5
micerang	60129	Rainbow (6 Suits)	5
micerang	61519	Light Pink (6 Suits)	5
micerang	62175	No Variant	5
micerang	64931	Black & Rainbow (6 Suits)	5
micerang	66648	Throw It in a Hole (6 Suits)	5
micerang	70753	Black & Omni (5 Suits)	5
micerang	72803	Dark Brown (6 Suits)	5
micerang	73694	Black & White (6 Suits)	5
micerang	73781	Rainbow-Ones & Pink (6 Suits)	5
micerang	78814	Rainbow (5 Suits)	5
micerang	79383	White (6 Suits)	5
micerang	93794	Dual-Color Mix	5
micerang	98331	Rainbow (6 Suits)	5
micerang	105213	Up or Down (6 Suits)	5
micerang	132731	No Variant	5
micerang	155016	Black & Muddy Rainbow (6 Suits)	5
micerang	273934	White (6 Suits)	5
micerang	285862	Rainbow (6 Suits)	5
micerang	394309	Rainbow (5 Suits)	5
micerang	509397	Rainbow & White (6 Suits)	5
micerang	511090	Rainbow & White (6 Suits)	5
micerang	531002	Muddy-Rainbow-Ones & Muddy Rainbow (6 Suits)	5
micerang	635210	Pink-Ones & Omni (6 Suits)	5
micerang	639233	6 Suits	5
micerang	640619	Light Pink & Gray (6 Suits)	5
micerang	640674	Rainbow-Fives & Gray Pink (6 Suits)	5
micerang	651883	Dual-Color (6 Suits)	5
micerang	655301	Synesthesia & Brown (6 Suits)	5
micerang	655969	Rainbow & White (6 Suits)	5
micerang	657806	Rainbow (6 Suits)	5
micerang	666168	Prism (6 Suits)	5
micerang	687485	Prism (5 Suits)	5
micerang	691961	Rainbow & Dark Omni (6 Suits)	5
micerang	700160	Clue Starved (6 Suits)	5
micerang	702142	No Variant	5
micerang	743786	Brown & Dark Prism (6 Suits)	5
micerang	757599	Brown & Dark Pink (6 Suits)	5
micerang	781078	Up or Down & Pink (6 Suits)	5
micerang	783814	Dual-Color & Rainbow (6 Suits)	5
micerang	30866	Brown (6 Suits)	4
micerang	30879	Brown (6 Suits)	4
micerang	31204	Pink (6 Suits)	4
micerang	31550	6 Suits	4
micerang	34408	No Variant	4
micerang	34839	No Variant	4
micerang	36157	Pink (5 Suits)	4
micerang	36402	Rainbow (6 Suits)	4
micerang	38472	Brown (6 Suits)	4
micerang	38754	Pink (6 Suits)	4
micerang	38768	No Variant	4
micerang	39761	Brown (6 Suits)	4
micerang	40115	Gray (6 Suits)	4
micerang	40282	No Variant	4
micerang	41102	6 Suits	4
