Player	Game id	Variant	BDR
nitawa	465707	Up or Down & Rainbow (6 Suits)	7
nitawa	520379	Brown (6 Suits)	7
nitawa	311325	Rainbow (6 Suits)	6
nitawa	312685	Black (6 Suits)	6
nitawa	341511	Clue Starved & Prism (6 Suits)	6
nitawa	373144	6 Suits	6
nitawa	581860	6 Suits	6
nitawa	719246	Pink & Gray (6 Suits)	6
nitawa	307261	Rainbow (6 Suits)	5
nitawa	314452	Up or Down (6 Suits)	5
nitawa	335342	No Variant	5
nitawa	340988	No Variant	5
nitawa	344096	Null-Ones & Prism (5 Suits)	5
nitawa	358993	Duck (5 Suits)	5
nitawa	360923	No Variant	5
nitawa	374045	Up or Down (5 Suits)	5
nitawa	403362	Null (6 Suits)	5
nitawa	405073	Dual-Color Mix	5
nitawa	408441	Dual-Color Mix	5
nitawa	412194	Dual-Color Mix	5
nitawa	435679	Pink & Light Pink (5 Suits)	5
nitawa	571947	Black & White (6 Suits)	5
nitawa	583529	Dark Prism (6 Suits)	5
nitawa	595171	Pink (6 Suits)	5
nitawa	620444	Black & Gray (6 Suits)	5
nitawa	668943	No Variant	5
nitawa	734341	Omni & Dark Pink (5 Suits)	5
nitawa	306150	No Variant	4
nitawa	308453	Prism (5 Suits)	4
nitawa	310493	White (6 Suits)	4
nitawa	314332	No Variant	4
nitawa	314423	Up or Down (6 Suits)	4
nitawa	315213	Up or Down (6 Suits)	4
nitawa	329900	No Variant	4
nitawa	330440	No Variant	4
nitawa	356997	Dark Rainbow (6 Suits)	4
nitawa	366360	Rainbow (5 Suits)	4
nitawa	368976	Black (6 Suits)	4
nitawa	370855	Pink (6 Suits)	4
nitawa	371945	Muddy Rainbow & Light Pink (5 Suits)	4
nitawa	373160	6 Suits	4
nitawa	373709	Duck (5 Suits)	4
nitawa	390303	Gray (5 Suits)	4
nitawa	425740	No Variant	4
nitawa	436717	Prism (6 Suits)	4
nitawa	443025	Throw It in a Hole (6 Suits)	4
nitawa	453038	White-Ones & Rainbow (6 Suits)	4
nitawa	454010	Throw It in a Hole (6 Suits)	4
nitawa	456411	Dark Prism (5 Suits)	4
nitawa	459101	Throw It in a Hole (6 Suits)	4
nitawa	460324	Throw It in a Hole (6 Suits)	4
nitawa	462282	White & Brown (6 Suits)	4
nitawa	481678	Number Mute (5 Suits)	4
nitawa	515107	Gray Pink (6 Suits)	4
nitawa	530804	Black & White (6 Suits)	4
nitawa	546615	Brown & Omni (5 Suits)	4
nitawa	556932	Pink (5 Suits)	4
nitawa	558454	No Variant	4
nitawa	578146	Black (5 Suits)	4
nitawa	583785	No Variant	4
nitawa	589913	No Variant	4
nitawa	598626	Rainbow (6 Suits)	4
nitawa	606378	Black & Rainbow (6 Suits)	4
nitawa	614557	Black & Rainbow (6 Suits)	4
nitawa	660932	Prism & Gray (6 Suits)	4
nitawa	669550	Prism Reversed (6 Suits)	4
nitawa	672926	Up or Down & Brown (6 Suits)	4
nitawa	672970	Up or Down & Brown (6 Suits)	4
nitawa	676357	Up or Down & Brown (6 Suits)	4
nitawa	691645	Pink & Gray (6 Suits)	4
nitawa	700665	Dark Prism (6 Suits)	4
nitawa	706643	Black & Cocoa Rainbow (6 Suits)	4
