Player	Game id	Variant	BDR
padi	224510	Light-Pink-Ones & Gray (5 Suits)	9
padi	136152	6 Suits	7
padi	322542	Duck (5 Suits)	7
padi	79078	Rainbow & White (5 Suits)	6
padi	84533	No Variant	6
padi	85401	6 Suits	6
padi	170533	Omni (5 Suits)	6
padi	323284	Duck (5 Suits)	6
padi	324753	Duck (5 Suits)	6
padi	78814	Rainbow (5 Suits)	5
padi	94368	6 Suits	5
padi	101751	Rainbow & White (6 Suits)	5
padi	105845	6 Suits	5
padi	122344	No Variant	5
padi	168668	Omni-Fives & Pink (6 Suits)	5
padi	172875	Pink & White (5 Suits)	5
padi	190581	Pink (6 Suits)	5
padi	205395	Muddy Rainbow (5 Suits)	5
padi	225684	Rainbow & Brown (6 Suits)	5
padi	237434	Omni-Fives (5 Suits)	5
padi	240625	Brown-Ones & Dark Rainbow (5 Suits)	5
padi	247831	Light Pink (6 Suits)	5
padi	324214	Duck (5 Suits)	5
padi	436132	Rainbow & Muddy Rainbow (6 Suits)	5
padi	437673	Rainbow (6 Suits)	5
padi	547633	Omni (5 Suits)	5
padi	78161	No Variant	4
padi	78238	No Variant	4
padi	78686	6 Suits	4
padi	83349	Dual-Color (6 Suits)	4
padi	83846	6 Suits	4
padi	84236	Rainbow (6 Suits)	4
padi	84238	White (6 Suits)	4
padi	84476	Rainbow (6 Suits)	4
padi	84544	No Variant	4
padi	85986	Brown (6 Suits)	4
padi	86117	No Variant	4
padi	87516	No Variant	4
padi	90867	No Variant	4
padi	91415	No Variant	4
padi	92298	6 Suits	4
padi	93480	No Variant	4
padi	95534	White & Omni (6 Suits)	4
padi	96472	No Variant	4
padi	97369	Rainbow (4 Suits)	4
padi	97405	Rainbow (4 Suits)	4
padi	112207	Rainbow (6 Suits)	4
padi	112281	Rainbow (6 Suits)	4
padi	130633	Light Pink (5 Suits)	4
padi	133733	Black (6 Suits)	4
padi	136759	Black (5 Suits)	4
padi	167317	Light-Pink-Ones (5 Suits)	4
padi	168698	Omni-Fives & Pink (6 Suits)	4
padi	200266	Light Pink (6 Suits)	4
padi	202706	Dual-Color Mix	4
padi	207814	Alternating Clues (5 Suits)	4
padi	207925	No Variant	4
padi	209606	Dual-Color & Muddy Rainbow (4 Suits)	4
padi	210694	Dual-Color & Omni (6 Suits)	4
