Player	Game id	Variant	BDR
scharkbite	9449	Rainbow (6 Suits)	8
scharkbite	10012	Rainbow (6 Suits)	8
scharkbite	15676	Dual-Color & Rainbow (6 Suits)	8
scharkbite	171353	Pink-Ones & Omni (6 Suits)	8
scharkbite	758572	Clue Starved & Brown (6 Suits)	8
scharkbite	8928	Dual-Color (6 Suits)	7
scharkbite	10089	Rainbow (6 Suits)	7
scharkbite	12000	Rainbow (6 Suits)	7
scharkbite	12624	Rainbow (6 Suits)	7
scharkbite	12633	Rainbow (6 Suits)	7
scharkbite	35160	Rainbow (6 Suits)	7
scharkbite	41215	Black & Rainbow (6 Suits)	7
scharkbite	42447	Gray (6 Suits)	7
scharkbite	49590	Pink & Brown (6 Suits)	7
scharkbite	50169	Muddy Rainbow (6 Suits)	7
scharkbite	76157	Dual-Color (6 Suits)	7
scharkbite	250365	White-Fives & Light Pink (6 Suits)	7
scharkbite	255526	Rainbow (6 Suits)	7
scharkbite	273070	White-Fives & Rainbow (6 Suits)	7
scharkbite	278048	Gray Pink (6 Suits)	7
scharkbite	322542	Duck (5 Suits)	7
scharkbite	8002	6 Suits	6
scharkbite	8139	No Variant	6
scharkbite	8182	Rainbow (6 Suits)	6
scharkbite	8201	Rainbow (6 Suits)	6
scharkbite	8204	Rainbow (6 Suits)	6
scharkbite	8217	Rainbow (6 Suits)	6
scharkbite	9045	Rainbow (6 Suits)	6
scharkbite	10498	Rainbow (6 Suits)	6
scharkbite	10750	Rainbow (6 Suits)	6
scharkbite	11481	Very Ambiguous (6 Suits)	6
scharkbite	11579	6 Suits	6
scharkbite	14595	Rainbow (6 Suits)	6
scharkbite	14838	No Variant	6
scharkbite	15669	Dual-Color & Rainbow (6 Suits)	6
scharkbite	16092	Ambiguous (6 Suits)	6
scharkbite	16759	6 Suits	6
scharkbite	34023	Gray (6 Suits)	6
scharkbite	34180	Black & Rainbow (6 Suits)	6
scharkbite	34876	Brown (6 Suits)	6
scharkbite	37775	Up or Down (6 Suits)	6
scharkbite	42850	Dark Brown (6 Suits)	6
scharkbite	44299	Black (6 Suits)	6
scharkbite	45712	Rainbow-Ones & Pink (6 Suits)	6
scharkbite	50061	White (6 Suits)	6
scharkbite	50171	Muddy Rainbow (6 Suits)	6
scharkbite	51124	Black (6 Suits)	6
scharkbite	53472	Dark Pink (6 Suits)	6
scharkbite	57921	Black & Brown (6 Suits)	6
scharkbite	75831	Rainbow (6 Suits)	6
scharkbite	76828	Brown (6 Suits)	6
scharkbite	99863	White-Ones (6 Suits)	6
scharkbite	100221	Ambiguous (6 Suits)	6
scharkbite	103269	White (6 Suits)	6
scharkbite	308097	Black & Pink (6 Suits)	6
scharkbite	323284	Duck (5 Suits)	6
scharkbite	324753	Duck (5 Suits)	6
scharkbite	327448	Muddy Rainbow (5 Suits)	6
scharkbite	409041	Dual-Color Mix	6
scharkbite	470812	Pink & Gray Pink (6 Suits)	6
scharkbite	497428	Null (5 Suits)	6
scharkbite	500467	Dual-Color & Omni (6 Suits)	6
scharkbite	538163	Pink & Prism (6 Suits)	6
scharkbite	551471	Black & Muddy Rainbow (6 Suits)	6
scharkbite	719246	Pink & Gray (6 Suits)	6
scharkbite	721735	Clue Starved & Muddy Rainbow (6 Suits)	6
scharkbite	737281	Omni & Muddy Rainbow (6 Suits)	6
scharkbite	757587	Brown & Dark Pink (6 Suits)	6
scharkbite	8198	Rainbow (6 Suits)	5
scharkbite	8205	Rainbow (6 Suits)	5
scharkbite	8333	6 Suits	5
scharkbite	8545	Rainbow (6 Suits)	5
scharkbite	8708	Rainbow (6 Suits)	5
scharkbite	8774	Black (6 Suits)	5
scharkbite	10616	No Variant	5
scharkbite	10712	Rainbow (6 Suits)	5
scharkbite	10776	Ambiguous (6 Suits)	5
scharkbite	10843	Rainbow (6 Suits)	5
scharkbite	11011	Rainbow (6 Suits)	5
scharkbite	11493	Rainbow (6 Suits)	5
scharkbite	11582	6 Suits	5
scharkbite	11997	Rainbow (6 Suits)	5
scharkbite	12135	Color Blind (6 Suits)	5
scharkbite	12389	Dual-Color (6 Suits)	5
scharkbite	12728	Rainbow (6 Suits)	5
scharkbite	14649	Dark Rainbow (6 Suits)	5
scharkbite	18333	Rainbow (6 Suits)	5
scharkbite	18350	No Variant	5
scharkbite	21736	White (6 Suits)	5
scharkbite	26101	Duck (5 Suits)	5
scharkbite	29812	Rainbow (6 Suits)	5
scharkbite	29829	Rainbow (6 Suits)	5
scharkbite	34434	6 Suits	5
scharkbite	34878	Brown (6 Suits)	5
scharkbite	34946	Gray (6 Suits)	5
scharkbite	44791	Black (6 Suits)	5
scharkbite	47458	White (6 Suits)	5
scharkbite	48302	Rainbow (6 Suits)	5
scharkbite	49779	Null (6 Suits)	5
scharkbite	50184	Pink-Fives & Rainbow (6 Suits)	5
scharkbite	50822	Black & Brown (6 Suits)	5
scharkbite	54156	Pink (6 Suits)	5
scharkbite	54743	Rainbow-Ones (6 Suits)	5
scharkbite	55722	Throw It in a Hole (6 Suits)	5
scharkbite	59603	Black (5 Suits)	5
scharkbite	62108	Alternating Clues (6 Suits)	5
scharkbite	62178	No Variant	5
scharkbite	64843	Clue Starved (6 Suits)	5
scharkbite	65346	Up or Down & Pink (6 Suits)	5
scharkbite	70582	Throw It in a Hole (6 Suits)	5
scharkbite	70753	Black & Omni (5 Suits)	5
scharkbite	78395	Pink (6 Suits)	5
scharkbite	78457	6 Suits	5
scharkbite	79443	White (6 Suits)	5
scharkbite	80123	Brown (5 Suits)	5
scharkbite	93794	Dual-Color Mix	5
scharkbite	117358	Ambiguous Mix	5
scharkbite	132731	No Variant	5
scharkbite	165289	Throw It in a Hole & Pink (6 Suits)	5
