Game id	Player count	Number of clues
155819	2	20
317996	2	19
242548	2	19
49892	2	18
151663	2	18
49061	2	17
249740	2	17
124485	2	17
50135	2	17
542604	2	17
251947	2	16
304376	2	16
313003	2	16
311872	2	16
277693	2	16
61105	2	16
58834	2	16
46227	2	16
186175	2	16
73528	2	16
60876	2	16
445978	2	16
51662	2	15
65716	2	15
151797	2	15
155747	2	15
162980	2	15
288107	2	15
300458	2	15
274861	2	15
170361	2	15
115523	2	15
96804	2	15
84196	2	15
26304	2	15
163040	2	15
94242	2	15
72022	2	15
65548	2	15
60155	2	15
53971	2	15
50137	2	15
531571	2	15
552986	2	15
445443	2	15
93443	2	14
109896	2	14
151389	2	14
187669	2	14
208100	2	14
208281	2	14
290266	2	14
300304	2	14
318002	2	14
313728	2	14
313641	2	14
309572	2	14
303967	2	14
274681	2	14
153055	2	14
111018	2	14
65898	2	14
65711	2	14
56769	2	14
49648	2	14
49409	2	14
206851	2	14
171765	2	14
151686	2	14
140026	2	14
139875	2	14
94278	2	14
83686	2	14
56871	2	14
551104	2	14
51205	2	13
53535	2	13
56698	2	13
132790	2	13
142802	2	13
151840	2	13
242562	2	13
277102	2	13
313171	2	13
311031	2	13
282365	2	13
266552	2	13
291373	2	13
180812	2	13
171723	2	13
151811	2	13
72568	2	13
65332	2	13
60325	2	13
58830	2	13
163035	2	13
140284	2	13
66546	2	13
65615	2	13
65579	2	13
49658	2	13
309020	2	13
350481	2	13
565944	2	13
576673	2	13
578083	2	13
586012	2	13
436337	2	13
329198	2	13
104126	2	12
184994	2	12
252668	2	12
282400	2	12
297234	2	12
305255	2	12
308364	2	12
308915	2	12
316778	2	12
294337	2	12
291801	2	12
231577	2	12
49416	2	12
96852	2	12
51653	2	12
47599	2	12
586009	2	12
586805	2	12
570133	2	12
172407	2	11
209132	2	11
254738	2	11
316129	2	11
313999	2	11
311021	2	11
306792	2	11
303065	2	11
291818	2	11
287988	2	11
204458	2	11
161866	2	11
155656	2	11
137698	2	11
218581	2	11
207873	2	11
207047	2	11
184892	2	11
169251	2	11
155792	2	11
154117	2	11
105474	2	11
105423	2	11
94249	2	11
74752	2	11
72017	2	11
66551	2	11
65537	2	11
60291	2	11
530412	2	11
580858	2	11
570502	2	11
567247	2	11
70094	2	10
120288	2	10
207139	2	10
273793	2	10
316140	2	10
278957	2	10
209107	2	10
161751	2	10
153025	2	10
111030	2	10
218550	2	10
155783	2	10
97667	2	10
65490	2	10
344335	2	10
570136	2	10
175902	2	9
210527	2	9
277706	2	9
283613	2	9
180769	2	9
152516	2	9
96849	2	9
84182	2	9
52120	2	9
52111	2	9
52110	2	9
175896	2	9
154025	2	9
151676	2	9
96880	2	9
319034	2	9
150801	2	8
254526	2	8
318027	2	8
317991	2	8
210503	2	8
151829	2	8
52112	2	8
54402	2	8
52545	2	8
52543	2	8
535327	2	8
586001	2	8
163055	2	7
180783	2	7
159020	2	7
65894	2	7
52105	2	7
59990	2	7
47703	2	7
155773	2	6
283576	2	6
281435	2	6
279024	2	6
151820	2	6
49917	2	6
26324	2	6
151768	2	6
151621	2	6
132988	2	5
132990	2	4
