Game id	Player count	Number of clues
565391	3	15
559547	3	13
551018	3	13
551003	3	13
562970	3	13
61641	3	12
588440	3	12
578524	3	12
583702	3	12
559550	3	12
565171	3	12
74080	3	11
63309	3	11
58963	3	11
559632	3	11
562790	3	11
565427	3	11
565614	3	11
565659	3	11
561539	3	11
559612	3	11
565152	3	11
334235	3	10
79719	3	10
82751	3	10
59140	3	10
257103	3	10
337725	3	10
55308	3	10
465823	3	10
559585	3	10
565313	3	10
552350	3	10
551317	3	10
577589	3	10
577569	3	10
553340	3	10
62808	3	9
222245	3	9
70026	3	9
58130	3	9
61856	3	9
54448	3	9
79806	3	9
478204	3	9
542651	3	9
552398	3	9
552377	3	9
557268	3	9
548860	3	9
61190	3	8
96037	3	8
76955	3	8
74501	3	8
71069	3	8
70330	3	8
68082	3	8
66851	3	8
287908	3	8
155880	3	8
61369	3	8
58589	3	8
56467	3	8
406567	3	8
409723	3	8
444165	3	8
417796	3	8
407188	3	8
56211	3	8
542663	3	8
579621	3	8
577378	3	8
57470	3	7
114340	3	7
223146	3	7
269092	3	7
70334	3	7
296668	3	7
287923	3	7
155870	3	7
60278	3	7
60828	3	7
86718	3	7
60436	3	7
444114	3	7
163275	3	6
76822	3	6
300242	3	6
62093	3	6
54451	3	6
465802	3	6
413771	3	5
80112	3	5
441011	3	5
512191	3	5
66065	3	4
507894	3	4
