Column	Team 1	Team 2
Seed	p3v177shc-2021-06-07-1	p3v177shc-2021-06-07-1
Teams	Libster, florrat2, sjdrodge	Valetta6789, kimbifille, micerang
Game id	547931	552350
Turns	51	57
Play	25	26
Discard	11	12
Clue	15	19
Seed	p3v177shc-2021-06-07-2	p3v177shc-2021-06-07-2
Teams	Libster, sjdrodge, florrat2	Valetta6789, kimbifille, micerang
Game id	549255	552364
Turns	51	53
Play	25	25
Discard	11	12
Clue	15	16
Seed	p3v177shc-2021-06-07-3	p3v177shc-2021-06-07-3
Teams	florrat2, Libster, sjdrodge	kimbifille, Valetta6789, micerang
Game id	553587	552377
Turns	51	57
Play	25	27
Discard	11	10
Clue	15	20
Seed	p3v177shc-2021-06-07-4	p3v177shc-2021-06-07-4
Teams	Libster, florrat2, sjdrodge	Valetta6789, kimbifille, micerang
Game id	553732	552398
Turns	48	53
Play	27	26
Discard	5	10
Clue	16	17
