Player	Terminated	Strikeout	Timeout	Normal
ADrone	33.1	22.31	1.2	43.25
asaelr	40.68	14.35	1.65	43.29
Dr_Kakashi	59.95	13.75	0.67	25.64
Fireheart	56.75	12.7	0.83	29.72
Floriman	35.94	19.46	1.71	42.84
florrat2	32.08	20.71	0.0	47.12
IAMJEFF	61.84	12.39	0.16	25.58
indego	47.9	17.93	4.56	29.55
kimbifille	53.29	14.78	1.79	30.13
Kyle	36.21	21.72	2.17	39.9
Lanvin	34.74	21.95	4.64	38.64
Lel0uch	44.96	14.62	2.23	38.16
Libster	37.71	19.17	0.1	42.97
MarkusKahlsen	24.76	17.93	2.57	54.74
melwen	29.32	19.87	2.8	47.93
Nitrate	16.31	24.6	2.24	56.85
Nitrate2	27.15	21.39	2.41	49.05
NoMercy	37.11	21.84	1.17	39.78
pianoblook	34.19	23.96	1.58	40.25
piper	34.86	19.0	0.75	45.35
RaKXeR	31.3	27.7	0.41	40.59
scharkbite	21.89	27.64	0.92	49.52
sephiroth	36.22	18.21	4.15	41.41
sin_faith	31.03	25.42	5.68	37.84
sjdrodge	39.19	11.06	0.93	48.78
Sucubis	32.9	18.82	1.22	47.06
swineherd	35.83	19.57	2.22	42.38
TimeHoodie	23.58	25.27	4.02	47.11
timotree	17.87	24.06	1.68	56.37
Valetta6789	45.92	13.95	0.43	39.67
VerySloppyTwo	43.96	17.32	4.15	34.22
Zamiel	45.59	20.28	2.54	31.56
