Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
sjdrodge	75.0	35	37.14	37.14	25.71	0.0
avanderwalde	42.86	20	50.0	0.0	50.0	0.0
TimeHoodie	40.0	35	57.14	0.0	42.86	0.0
kimbifille	39.76	116	56.03	10.34	33.62	0.0
Floriman	39.02	57	59.65	5.26	28.07	7.02
piper	33.33	112	50.89	8.93	40.18	0.0
plus	31.43	46	52.17	2.17	36.96	8.7
pianoblook	26.39	1001	64.14	13.29	21.98	0.6
Kyle	25.81	78	52.56	10.26	37.18	0.0
scharkbite	22.73	54	81.48	0.0	18.52	0.0
fishcat	22.65	287	67.94	5.23	25.78	1.05
MarkusKahlsen	21.74	28	53.57	0.0	42.86	3.57
Jake_Stiles	21.05	23	100.0	0.0	0.0	0.0
DMoney	19.23	31	64.52	0.0	35.48	0.0
melwen	18.75	38	55.26	0.0	44.74	0.0
TheDaniMan	17.65	20	70.0	20.0	5.0	5.0
Huxley	16.07	130	56.92	2.31	40.77	0.0
Zamiel	4.65	45	35.56	0.0	64.44	0.0
