Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
TheDaniMan	38.89	25	76.0	0.0	24.0	0.0
whensepoop	28.24	218	96.33	0.0	3.67	0.0
derekcheah	26.09	58	89.66	1.72	8.62	0.0
Littleinvad	24.44	224	91.96	0.45	7.59	0.0
nirva4821	21.05	23	100.0	0.0	0.0	0.0
antitelharsic	20.98	1009	88.7	3.67	7.63	0.0
katian	12.0	28	10.71	89.29	0.0	0.0
joelwool	11.11	20	90.0	0.0	10.0	0.0
possum	11.11	50	74.0	0.0	26.0	0.0
IsabeltheCat	10.34	32	21.88	0.0	78.12	0.0
chinichile	8.33	39	100.0	0.0	0.0	0.0
indego	6.98	46	41.3	54.35	4.35	0.0
Lanvin	6.9	31	77.42	0.0	22.58	0.0
sephiroth	6.45	33	72.73	0.0	27.27	0.0
cockdestroyer	0.0	20	70.0	0.0	30.0	0.0
