Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
squidgetx	28.33	77	87.01	2.6	10.39	0.0
sephiroth	26.67	38	57.89	5.26	36.84	0.0
emilyzhao	25.0	85	82.35	2.35	15.29	0.0
jack67889	25.0	50	72.0	0.0	26.0	2.0
Nitrate2	24.14	36	61.11	0.0	38.89	0.0
TheDaniMan	23.81	26	38.46	0.0	61.54	0.0
Pablo-	22.73	27	70.37	0.0	25.93	3.7
melwen	21.43	34	64.71	8.82	26.47	0.0
Nitrate	21.21	40	62.5	0.0	37.5	0.0
Stinkydude63	17.39	27	66.67	7.41	25.93	0.0
nitawa	17.07	96	66.67	5.21	28.12	0.0
derekcheah	16.67	21	19.05	0.0	80.95	0.0
methmatics	15.62	37	67.57	5.41	21.62	5.41
boba	15.18	129	58.91	6.98	34.11	0.0
TimeHoodie	15.0	23	69.57	4.35	21.74	4.35
aquarelle	14.29	64	73.44	0.0	26.56	0.0
Sucubis	13.46	59	47.46	0.0	52.54	0.0
antitelharsic	13.33	51	31.37	0.0	68.63	0.0
catula	12.7	142	58.45	1.41	40.14	0.0
penisman	12.5	27	81.48	0.0	18.52	0.0
squirrel1988	12.5	27	25.93	0.0	74.07	0.0
XMIL	12.12	37	48.65	0.0	51.35	0.0
HelanaAshryvr	11.11	40	65.0	0.0	35.0	0.0
Lel0uch	10.81	41	53.66	0.0	46.34	0.0
cockdestroyer	10.64	52	57.69	0.0	38.46	3.85
sin_faith	9.09	36	66.67	0.0	33.33	0.0
will.i.am	8.33	26	23.08	0.0	76.92	0.0
Aluap	6.9	31	25.81	0.0	74.19	0.0
Lanvin	3.23	32	68.75	0.0	31.25	0.0
