Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Sucubis	50.0	21	61.9	0.0	38.1	0.0
Kakashi	48.65	55	89.09	0.0	10.91	0.0
wortel	41.03	55	76.36	0.0	18.18	5.45
Dr_Kakashi	39.29	39	84.62	0.0	15.38	0.0
efaust	31.82	58	70.69	0.0	29.31	0.0
grayfox	30.43	30	66.67	0.0	26.67	6.67
NoMercy	30.43	90	81.11	0.0	18.89	0.0
Yeesh	30.43	30	83.33	0.0	16.67	0.0
Cory	27.71	106	74.53	0.0	19.81	5.66
Razgovor	24.3	133	84.96	0.0	14.29	0.75
scharkbite	23.64	272	72.06	0.0	22.06	5.88
Libster	22.84	285	76.84	0.0	23.16	0.0
sjdrodge	22.73	162	85.8	0.0	11.73	2.47
Hunter	22.31	148	74.32	0.0	25.68	0.0
RaKXeR	21.74	84	85.71	0.0	14.29	0.0
florrat2	20.97	75	70.67	0.0	20.0	9.33
asaelr	20.69	35	60.0	0.0	40.0	0.0
Zamiel	19.29	235	86.38	0.0	10.64	2.98
Andrew_UK	18.48	218	64.22	0.0	24.77	11.01
Andrey Khesin	15.25	136	56.62	0.0	29.41	13.97
garbo late game	13.89	41	80.49	0.0	19.51	0.0
micerang	13.64	50	80.0	0.0	20.0	0.0
indego	10.64	52	32.69	0.0	67.31	0.0
IAMJEFF	10.0	33	75.76	0.0	24.24	0.0
qqqq	9.8	56	57.14	0.0	25.0	17.86
doome	9.09	48	75.0	0.0	25.0	0.0
doome_burner	9.09	36	83.33	0.0	16.67	0.0
Feer	4.0	26	57.69	0.0	42.31	0.0
