Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
racheltstrong79	200.0	3	100.0	0.0	0.0	0.0
Vindica	150.0	5	100.0	0.0	0.0	0.0
Bot-Fiora	100.0	2	50.0	0.0	50.0	0.0
Cynas	100.0	4	100.0	0.0	0.0	0.0
indego	100.0	4	100.0	0.0	0.0	0.0
InflatableKayak	100.0	2	100.0	0.0	0.0	0.0
Kyle	100.0	2	100.0	0.0	0.0	0.0
Lel0uch	100.0	2	100.0	0.0	0.0	0.0
lolthisnotderk	100.0	2	50.0	0.0	50.0	0.0
ricardodd	100.0	2	100.0	0.0	0.0	0.0
Vensahn	100.0	2	100.0	0.0	0.0	0.0
johnghunt	57.14	11	100.0	0.0	0.0	0.0
NobleMule	57.14	11	100.0	0.0	0.0	0.0
Capoeira45	52.5	61	100.0	0.0	0.0	0.0
4head	50.0	12	91.67	0.0	8.33	0.0
Cration	50.0	3	100.0	0.0	0.0	0.0
crystal.wilks	50.0	6	100.0	0.0	0.0	0.0
frosty104	50.0	3	66.67	33.33	0.0	0.0
HelanaAshryvr	50.0	3	66.67	0.0	33.33	0.0
iconoclast	50.0	3	100.0	0.0	0.0	0.0
kevincaseytdk1	50.0	3	66.67	0.0	33.33	0.0
poofart123	50.0	6	100.0	0.0	0.0	0.0
rachel_t_strong	50.0	3	100.0	0.0	0.0	0.0
racheltstrong	50.0	6	100.0	0.0	0.0	0.0
rz	37.5	11	81.82	0.0	18.18	0.0
griff77	35.29	23	65.22	0.0	34.78	0.0
bob65536	33.33	4	0.0	0.0	100.0	0.0
Doge	33.33	8	75.0	0.0	25.0	0.0
louietyj	33.33	4	100.0	0.0	0.0	0.0
ChristopheAF	25.0	5	80.0	0.0	20.0	0.0
matt_szyndel	25.0	5	100.0	0.0	0.0	0.0
Pantheia	23.17	840	85.36	1.9	12.62	0.12
randomuser	23.08	128	81.25	0.0	18.75	0.0
SpaceAnemone	22.34	356	76.97	0.0	23.03	0.0
Nitrate	20.77	221	72.85	1.36	25.34	0.45
Crux	20.75	675	78.67	7.85	13.04	0.44
Radial	16.67	7	100.0	0.0	0.0	0.0
Lanvin	14.29	16	81.25	0.0	18.75	0.0
Aluap	0.0	1	0.0	0.0	100.0	0.0
aquarelle	0.0	9	88.89	0.0	11.11	0.0
asunakir98	0.0	2	100.0	0.0	0.0	0.0
banjoleb	0.0	2	100.0	0.0	0.0	0.0
bjnh	0.0	4	50.0	0.0	50.0	0.0
branufingrl	0.0	2	100.0	0.0	0.0	0.0
BraydonM	0.0	3	100.0	0.0	0.0	0.0
Chizz	0.0	1	100.0	0.0	0.0	0.0
colton	0.0	2	0.0	0.0	100.0	0.0
corys	0	1	100.0	0.0	0.0	0.0
crixy_osheal	0.0	1	100.0	0.0	0.0	0.0
crsdrw	0.0	4	100.0	0.0	0.0	0.0
Damian000	0.0	2	100.0	0.0	0.0	0.0
DarthGandalf	0.0	2	100.0	0.0	0.0	0.0
Denchulitas	0.0	5	100.0	0.0	0.0	0.0
dobi	0.0	5	40.0	0.0	60.0	0.0
ducky	0.0	1	100.0	0.0	0.0	0.0
eljavi	0	1	100.0	0.0	0.0	0.0
esakach	0.0	1	100.0	0.0	0.0	0.0
Fireheart	0.0	2	100.0	0.0	0.0	0.0
Floriman	0.0	1	0.0	0.0	100.0	0.0
function	0.0	2	100.0	0.0	0.0	0.0
hailey	0.0	3	100.0	0.0	0.0	0.0
hakha3	0.0	1	0.0	0.0	100.0	0.0
HariKrishnan	0.0	2	0.0	0.0	100.0	0.0
harrisonk	0.0	3	100.0	0.0	0.0	0.0
IsabeltheCat	0.0	1	0.0	0.0	100.0	0.0
Jake_Stiles	0.0	2	100.0	0.0	0.0	0.0
jeff10	0.0	1	100.0	0.0	0.0	0.0
joaep2	0.0	2	100.0	0.0	0.0	0.0
JOHNholt	0.0	1	100.0	0.0	0.0	0.0
jorge	0.0	2	100.0	0.0	0.0	0.0
kimbifille	0.0	1	100.0	0.0	0.0	0.0
kinkajusrevenge	0.0	4	100.0	0.0	0.0	0.0
ksfortson	0	1	100.0	0.0	0.0	0.0
laurencemhudson	0.0	5	100.0	0.0	0.0	0.0
LautiManzano	0.0	4	100.0	0.0	0.0	0.0
lmh	0.0	1	100.0	0.0	0.0	0.0
lotem	0.0	1	100.0	0.0	0.0	0.0
melwen	0.0	2	100.0	0.0	0.0	0.0
newduke	0.0	3	100.0	0.0	0.0	0.0
nkkarpov	0.0	2	0.0	0.0	100.0	0.0
nordli	0.0	2	100.0	0.0	0.0	0.0
orucsoraihc	0.0	1	0.0	0.0	100.0	0.0
pianoblook	0	1	100.0	0.0	0.0	0.0
rahsosprout	0.0	3	66.67	0.0	33.33	0.0
raramra	0.0	2	100.0	0.0	0.0	0.0
shaunyprawn1	0.0	3	100.0	0.0	0.0	0.0
Spieler42	0.0	2	0.0	0.0	100.0	0.0
stardust	0	1	100.0	0.0	0.0	0.0
StKildaFan	0.0	1	100.0	0.0	0.0	0.0
sysfal	0.0	6	100.0	0.0	0.0	0.0
sysfal2	0.0	1	100.0	0.0	0.0	0.0
TimeHoodie	0.0	1	100.0	0.0	0.0	0.0
torp	0.0	1	100.0	0.0	0.0	0.0
vickyld	0.0	2	100.0	0.0	0.0	0.0
vjk	0.0	2	100.0	0.0	0.0	0.0
Wittvector	0.0	2	100.0	0.0	0.0	0.0
XMIL	0.0	4	100.0	0.0	0.0	0.0
xor	0	1	100.0	0.0	0.0	0.0
