Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
vEnhance	37.5	22	100.0	0.0	0.0	0.0
Kyle	34.38	43	60.47	6.98	32.56	0.0
asaelr	33.33	48	52.08	0.0	47.92	0.0
TheDaniMan	29.21	115	66.96	0.0	31.3	1.74
rachyrules	29.17	31	54.84	12.9	32.26	0.0
jack67889	27.27	28	46.43	3.57	50.0	0.0
Fey	26.67	57	68.42	0.0	31.58	0.0
Zakisan	26.32	24	87.5	0.0	12.5	0.0
piper	25.93	68	50.0	0.0	50.0	0.0
TimeHoodie	25.81	39	64.1	12.82	23.08	0.0
Puzzle	23.81	26	73.08	0.0	26.92	0.0
Ahming	23.53	21	80.95	0.0	19.05	0.0
rs1	23.4	58	67.24	29.31	3.45	0.0
swineherd	22.81	70	50.0	0.0	50.0	0.0
Nitrate	21.88	78	62.82	1.28	34.62	1.28
Slonimsky	21.18	103	92.23	0.0	7.77	0.0
Nitrate2	20.63	76	64.47	1.32	32.89	1.32
melwen	20.49	147	59.86	1.36	38.78	0.0
cardshark45	20.48	100	92.0	0.0	8.0	0.0
timotree	20.0	36	63.89	2.78	33.33	0.0
sephiroth	19.57	110	70.91	0.0	27.27	1.82
orucsoraihc	19.44	43	55.81	39.53	4.65	0.0
Carunty	19.23	31	48.39	0.0	51.61	0.0
XMIL	18.42	45	64.44	0.0	35.56	0.0
DMoney	18.18	39	51.28	0.0	48.72	0.0
Floriman	18.18	26	50.0	0.0	50.0	0.0
derekcheah	17.89	145	48.97	0.0	51.03	0.0
cockdestroyer	17.74	73	58.9	0.0	41.1	0.0
Zamiel	17.24	34	58.82	5.88	35.29	0.0
Pablo-	17.07	144	59.72	3.47	36.81	0.0
joelwool	16.53	141	69.5	0.0	30.5	0.0
plus	16.22	43	74.42	0.0	25.58	0.0
Sipsey	15.79	22	100.0	0.0	0.0	0.0
doctorabi	15.0	23	69.57	0.0	30.43	0.0
pianoblook	14.46	95	46.32	0.0	53.68	0.0
robense	14.29	24	83.33	0.0	16.67	0.0
MarkusKahlsen	13.64	75	62.67	1.33	36.0	0.0
Lel0uch	13.16	43	18.6	0.0	76.74	4.65
Dr_Kakashi	9.62	57	26.32	0.0	73.68	0.0
will.i.am	9.38	140	47.14	0.0	51.43	1.43
scharkbite	9.33	82	60.98	0.0	39.02	0.0
rz	9.09	24	45.83	8.33	45.83	0.0
newduke	8.47	64	54.69	6.25	39.06	0.0
ebin_noob	8.0	27	74.07	14.81	11.11	0.0
jeff10	3.12	33	57.58	12.12	30.3	0.0
