Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Lanvin	25.93	68	79.41	0.0	20.59	0.0
MangoPie	21.43	34	70.59	14.71	14.71	0.0
griff77	20.69	140	50.0	11.43	36.43	2.14
possum	20.69	35	68.57	8.57	22.86	0.0
torp	20.69	35	57.14	5.71	37.14	0.0
ksfortson	17.31	61	54.1	27.87	16.39	1.64
rahsosprout	15.79	22	77.27	22.73	0.0	0.0
indego	12.82	44	43.18	2.27	54.55	0.0
newduke	12.5	63	52.38	19.05	28.57	0.0
louietyj	11.11	20	45.0	35.0	20.0	0.0
melwen	8.0	27	66.67	0.0	33.33	0.0
4head	7.69	56	51.79	3.57	44.64	0.0
nkkarpov	6.9	31	70.97	0.0	19.35	9.68
