Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
bjnh	27.78	23	43.48	0.0	17.39	0.0
Onen	20.83	29	55.17	0.0	31.03	0.0
Bot-Fiora	20.0	30	13.33	0.0	13.33	0.0
Pimak	19.05	25	64.0	0.0	20.0	0.0
Damian000	18.52	32	46.88	0.0	28.12	0.0
rahsosprout	16.67	42	50.0	0.0	21.43	0.0
torp	15.79	22	40.91	0.0	0.0	0.0
indego	15.38	30	46.67	0.0	43.33	0.0
ADrone	15.0	23	52.17	0.0	30.43	0.0
robense	14.71	39	33.33	0.0	28.21	0.0
MangoPie	14.29	32	62.5	6.25	12.5	0.0
ChristopheAF	13.89	41	26.83	0.0	29.27	0.0
Spieler42	13.64	75	36.0	0.0	25.33	0.0
griff77	13.51	42	30.95	0.0	16.67	0.0
IsabeltheCat	13.51	42	42.86	0.0	16.67	0.0
eljavi	13.46	59	32.2	0.0	25.42	0.0
4head	13.0	113	31.86	0.88	16.81	0.0
Lanvin	12.28	64	67.19	0.0	29.69	0.0
liquidNitrogen	11.48	233	2.15	0.0	0.0	0.0
HariKrishnan	11.36	49	26.53	0.0	10.2	0.0
nv	11.29	69	62.32	0.0	27.54	0.0
Kernel	11.11	20	55.0	0.0	30.0	0.0
wump	11.11	20	45.0	0.0	30.0	0.0
DarthGandalf	10.2	54	33.33	0.0	42.59	0.0
banjoleb	10.0	22	9.09	0.0	22.73	0.0
knaphill	9.68	68	27.94	0.0	35.29	0.0
Denchulitas	9.52	46	34.78	0.0	45.65	0.0
kevincaseytdk1	8.57	38	21.05	0.0	63.16	0.0
Wittvector	8.0	27	62.96	0.0	25.93	0.0
davidwillwinn	5.0	42	0.0	0.0	4.76	0.0
macanek	4.55	23	34.78	0.0	13.04	0.0
newduke	3.85	27	62.96	7.41	22.22	0.0
trentonf	0.0	22	0.0	0.0	0.0	0.0
