Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Carunty	43.75	23	78.26	0.0	8.7	0.0
ricardodd	43.75	46	63.04	0.0	17.39	0.0
doctorabi	37.93	40	60.0	2.5	25.0	0.0
macanek	36.96	63	33.33	0.0	4.76	0.0
Fey	34.62	70	64.29	2.86	25.71	0.0
swineherd	32.0	33	75.76	6.06	18.18	0.0
Div	31.58	25	88.0	0.0	12.0	0.0
kevincaseytdk1	31.58	50	52.0	14.0	30.0	0.0
Lel0uch	30.99	317	64.98	1.89	24.29	1.89
boba	30.43	30	40.0	13.33	30.0	0.0
Pimak	30.3	43	65.12	0.0	18.6	0.0
Pablo-	30.0	39	69.23	7.69	10.26	5.13
Onen	25.93	68	57.35	1.47	29.41	0.0
melwen	25.25	124	83.06	0.0	15.32	0.0
knaphill	25.0	45	53.33	20.0	17.78	0.0
Nitrate2	25.0	35	77.14	0.0	22.86	0.0
Nitrate	24.39	51	60.78	1.96	27.45	0.0
Kernel	22.86	43	65.12	0.0	16.28	0.0
rz	22.64	130	79.23	1.54	10.77	3.85
aquarelle	22.22	55	54.55	3.64	20.0	0.0
4head	21.62	45	57.78	0.0	28.89	0.0
frosty104	21.21	120	66.67	4.17	22.5	0.83
Bot-Fiora	20.83	29	48.28	0.0	17.24	0.0
asaelr	20.69	35	62.86	2.86	28.57	0.0
rachyrules	18.18	26	57.69	3.85	26.92	3.85
sin_faith	17.14	82	69.51	0.0	21.95	0.0
Hoodie	17.09	137	74.45	0.73	19.71	2.19
colton	17.07	48	64.58	0.0	20.83	4.17
TimeHoodie	16.96	131	75.57	0.76	19.85	0.76
IsabeltheCat	15.79	22	40.91	0.0	59.09	0.0
PMP	15.79	22	77.27	0.0	9.09	0.0
StKildaFan	15.79	22	68.18	0.0	4.55	4.55
wump	15.79	44	77.27	0.0	20.45	0.0
Sucubis	15.38	30	63.33	0.0	23.33	0.0
HelanaAshryvr	14.65	313	53.04	9.58	19.17	0.0
Kyle	14.06	73	83.56	0.0	16.44	0.0
CaitlinSmith	13.89	41	26.83	0.0	29.27	0.0
hakha3	13.64	100	77.0	0.0	18.0	4.0
MarkusKahlsen	13.64	100	64.0	9.0	23.0	0.0
rahsosprout	13.64	25	36.0	0.0	52.0	0.0
TheDaniMan	13.04	26	50.0	0.0	50.0	0.0
robense	12.77	53	62.26	5.66	26.42	1.89
dobi	12.24	55	72.73	0.0	21.82	0.0
Spieler42	12.0	28	17.86	0.0	35.71	0.0
Lanvin	11.55	512	65.04	5.66	23.05	0.78
jeff10	11.54	87	59.77	10.34	26.44	0.0
MangoPie	11.48	204	75.0	6.86	14.22	1.96
newduke	11.43	117	69.23	7.69	17.95	0.85
Wittvector	10.71	155	60.0	3.87	25.16	7.1
Floriman	9.68	68	75.0	0.0	19.12	0.0
jack67889	9.09	84	77.38	1.19	17.86	0.0
sephiroth	9.09	168	82.74	0.0	14.88	1.19
bjnh	8.06	67	73.13	0.0	16.42	0.0
VerySloppyTwo	5.95	178	79.21	3.93	15.73	0.0
indego	5.58	246	70.33	4.88	17.89	1.63
squirrel1988	4.62	68	55.88	5.88	36.76	0.0
