Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
2BootsAreBeet	200.0	12	100.0	0.0	0.0	0.0
BlueNovember	100.0	4	100.0	0.0	0.0	0.0
Bot-Fiora	100.0	2	100.0	0.0	0.0	0.0
HelanaAshryvr	100.0	2	100.0	0.0	0.0	0.0
jeff10	100.0	2	100.0	0.0	0.0	0.0
joelwool	100.0	2	50.0	0.0	50.0	0.0
Puzzle	100.0	2	100.0	0.0	0.0	0.0
will.i.am	100.0	2	50.0	0.0	50.0	0.0
Lamguin	61.29	150	93.33	0.0	6.67	0.0
lamguinparttwo	60.0	8	100.0	0.0	0.0	0.0
jet082	59.46	59	98.31	0.0	1.69	0.0
mokesmoe	53.12	98	98.98	0.0	1.02	0.0
crossproduct	50.48	158	94.94	0.0	5.06	0.0
xcpenguin	44.44	78	92.31	0.0	7.69	0.0
Nitrate	40.0	7	100.0	0.0	0.0	0.0
ejwu	25.0	5	80.0	0.0	20.0	0.0
melwen	25.0	5	100.0	0.0	0.0	0.0
Boozewizard	20.0	6	100.0	0.0	0.0	0.0
scharkbite	20.0	6	83.33	0.0	16.67	0.0
timotree	18.18	13	84.62	0.0	15.38	0.0
AaronDobbe	0.0	1	100.0	0.0	0.0	0.0
ADrone	0	1	100.0	0.0	0.0	0.0
Animex52	0.0	2	50.0	0.0	50.0	0.0
antitelharsic	0.0	1	0.0	0.0	100.0	0.0
arnino	0.0	1	100.0	0.0	0.0	0.0
asaelr	0.0	1	100.0	0.0	0.0	0.0
Bonja97	0.0	2	50.0	0.0	50.0	0.0
butterywombat	0	2	100.0	0.0	0.0	0.0
Cold	0.0	5	100.0	0.0	0.0	0.0
dealiah	0.0	4	100.0	0.0	0.0	0.0
Dr_Kakashi	0.0	2	50.0	0.0	50.0	0.0
griff77	0.0	1	100.0	0.0	0.0	0.0
hk_112	0.0	2	100.0	0.0	0.0	0.0
honobu	0.0	3	100.0	0.0	0.0	0.0
LaFayetteX	0.0	2	100.0	0.0	0.0	0.0
MarkusKahlsen	0.0	1	100.0	0.0	0.0	0.0
metta	0.0	1	100.0	0.0	0.0	0.0
newduke	0.0	3	100.0	0.0	0.0	0.0
Nitrate2	0.0	3	100.0	0.0	0.0	0.0
NoMercy	0	2	100.0	0.0	0.0	0.0
nukelauncher	0.0	1	100.0	0.0	0.0	0.0
RespectCaviar	0.0	1	100.0	0.0	0.0	0.0
schemetrical	0.0	1	100.0	0.0	0.0	0.0
sin_faith	0	1	100.0	0.0	0.0	0.0
Smandon	0.0	4	50.0	0.0	50.0	0.0
swineherd	0	2	100.0	0.0	0.0	0.0
XMIL	0	1	100.0	0.0	0.0	0.0
