Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
MarcLovesDogs	300.0	4	100.0	0.0	0.0	0.0
ducky	200.0	3	100.0	0.0	0.0	0.0
ksfortson	200.0	3	100.0	0.0	0.0	0.0
robense	200.0	3	100.0	0.0	0.0	0.0
IsabeltheCat	133.33	7	100.0	0.0	0.0	0.0
4head	100.0	10	90.0	0.0	10.0	0.0
ChristopheAF	100.0	2	100.0	0.0	0.0	0.0
duckless	100.0	2	100.0	0.0	0.0	0.0
frosty104	100.0	4	100.0	0.0	0.0	0.0
MathNoob	100.0	6	100.0	0.0	0.0	0.0
StKildaFan	100.0	2	100.0	0.0	0.0	0.0
timotree	100.0	4	100.0	0.0	0.0	0.0
wump	100.0	10	100.0	0.0	0.0	0.0
wvh	100.0	2	100.0	0.0	0.0	0.0
XMIL	100.0	2	100.0	0.0	0.0	0.0
griff77	85.71	13	100.0	0.0	0.0	0.0
Denchulitas	71.43	24	70.83	0.0	29.17	0.0
bjnh	66.67	5	40.0	0.0	60.0	0.0
caГ±a	66.67	5	100.0	0.0	0.0	0.0
Onen	66.67	5	40.0	0.0	60.0	0.0
torp	66.67	10	100.0	0.0	0.0	0.0
MangoPie	60.0	8	100.0	0.0	0.0	0.0
nkkarpov	57.14	11	72.73	0.0	27.27	0.0
3luff	50.0	3	100.0	0.0	0.0	0.0
diael	50.0	6	100.0	0.0	0.0	0.0
louietyj	50.0	3	100.0	0.0	0.0	0.0
possum	50.0	15	100.0	0.0	0.0	0.0
rz	50.0	3	100.0	0.0	0.0	0.0
Arcee	42.86	10	80.0	0.0	20.0	0.0
narabio	42.86	10	70.0	0.0	30.0	0.0
Daryl	40.0	7	85.71	0.0	14.29	0.0
Fey	40.0	7	100.0	0.0	0.0	0.0
oliana	40.0	7	100.0	0.0	0.0	0.0
HariKrishnan	37.5	22	90.91	0.0	9.09	0.0
ReaverSe	37.5	11	100.0	0.0	0.0	0.0
knaphill	35.71	19	100.0	0.0	0.0	0.0
DarthGandalf	35.29	23	60.87	0.0	39.13	0.0
Nitrate	33.33	4	100.0	0.0	0.0	0.0
steenbean	33.33	4	100.0	0.0	0.0	0.0
SweetMeloJuice	33.33	4	100.0	0.0	0.0	0.0
banjoleb	30.0	13	76.92	0.0	23.08	0.0
sephiroth	28.57	9	100.0	0.0	0.0	0.0
Spieler42	28.57	9	88.89	0.0	11.11	0.0
Lanvin	27.27	14	100.0	0.0	0.0	0.0
lolthisnotderk	25.0	10	100.0	0.0	0.0	0.0
tezeteta	23.08	16	100.0	0.0	0.0	0.0
Bot-Fiora	20.0	6	100.0	0.0	0.0	0.0
Donna	20.0	6	100.0	0.0	0.0	0.0
Meowie	20.0	6	83.33	0.0	16.67	0.0
