Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
possum	45.71	51	37.25	0.0	9.8	0.0
Damian000	35.29	23	26.09	0.0	21.74	0.0
griff77	33.33	24	75.0	0.0	4.17	0.0
CrazyMerlyn	28.26	59	44.07	0.0	0.0	0.0
IsabeltheCat	18.18	26	46.15	0.0	7.69	0.0
Arcee	17.65	20	30.0	0.0	0.0	0.0
nkkarpov	17.65	20	40.0	0.0	5.0	0.0
BraydonM	15.79	22	68.18	0.0	9.09	0.0
knaphill	14.58	55	52.73	0.0	18.18	0.0
Spieler42	13.89	41	24.39	0.0	29.27	0.0
CaitlinSmith	10.2	54	33.33	0.0	42.59	0.0
StKildaFan	5.41	39	25.64	0.0	41.03	17.95
newduke	3.33	31	45.16	0.0	48.39	0.0
