Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Damian000	71.43	24	70.83	0.0	29.17	0.0
jujalieta	53.85	20	40.0	0.0	60.0	0.0
banjoleb	42.86	20	100.0	0.0	0.0	0.0
Hoodie	42.86	20	75.0	0.0	25.0	0.0
newduke	35.0	27	66.67	0.0	33.33	0.0
LautiManzano	33.33	68	79.41	0.0	20.59	0.0
HariKrishnan	31.25	21	85.71	0.0	14.29	0.0
VerySloppyTwo	30.0	78	73.08	0.0	24.36	2.56
MangoPie	26.92	33	69.7	0.0	24.24	6.06
nkkarpov	24.14	36	55.56	0.0	44.44	0.0
sephiroth	23.98	212	64.15	0.0	32.55	3.3
jian01	23.53	42	88.1	0.0	11.9	0.0
knaphill	22.86	43	51.16	0.0	48.84	0.0
Onen	22.73	27	81.48	0.0	18.52	0.0
eljavi	21.88	39	87.18	0.0	12.82	0.0
rahsosprout	21.74	28	85.71	0.0	14.29	0.0
eliclax	21.21	40	55.0	0.0	45.0	0.0
possum	18.75	95	64.21	0.0	34.74	1.05
Spieler42	16.0	58	75.86	0.0	24.14	0.0
ksfortson	15.0	23	82.61	0.0	17.39	0.0
bjnh	14.81	31	90.32	0.0	9.68	0.0
4head	13.89	82	87.8	0.0	12.2	0.0
MarkusKahlsen	13.64	25	68.0	0.0	32.0	0.0
griff77	12.5	81	82.72	0.0	17.28	0.0
Wittvector	10.34	32	56.25	0.0	43.75	0.0
CaitlinSmith	9.52	46	47.83	0.0	52.17	0.0
Lanvin	9.09	96	67.71	0.0	32.29	0.0
BraydonM	7.14	30	66.67	0.0	33.33	0.0
Daryl	0.0	24	87.5	0.0	12.5	0.0
IsabeltheCat	0.0	20	40.0	0.0	60.0	0.0
