Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
postmans	300.0	4	50.0	0.0	50.0	0.0
macanek	200.0	6	66.67	0.0	33.33	0.0
skyblueexo	200.0	3	100.0	0.0	0.0	0.0
torp	200.0	3	100.0	0.0	0.0	0.0
4head	100.0	2	100.0	0.0	0.0	0.0
CaitlinSmith	100.0	4	50.0	0.0	50.0	0.0
Efece	100.0	2	100.0	0.0	0.0	0.0
eliclax	100.0	2	100.0	0.0	0.0	0.0
Romain672	100.0	2	100.0	0.0	0.0	0.0
Veexliat	100.0	2	100.0	0.0	0.0	0.0
voss	100.0	2	100.0	0.0	0.0	0.0
rahsosprout	83.33	11	81.82	0.0	18.18	0.0
asaelr	71.43	12	66.67	0.0	33.33	0.0
Carunty	63.64	18	94.44	0.0	5.56	0.0
TheDaniMan	57.14	11	81.82	0.0	18.18	0.0
aladdin3	50.0	3	100.0	0.0	0.0	0.0
Bonja97	50.0	3	100.0	0.0	0.0	0.0
Daryl	50.0	3	100.0	0.0	0.0	0.0
doctorabi	50.0	9	44.44	0.0	55.56	0.0
frosty104	50.0	9	77.78	0.0	22.22	0.0
KillStreak	50.0	15	100.0	0.0	0.0	0.0
kondain	50.0	3	100.0	0.0	0.0	0.0
ksfortson	50.0	3	33.33	0.0	66.67	0.0
methmatics	50.0	3	100.0	0.0	0.0	0.0
orucsoraihc	50.0	9	55.56	0.0	44.44	0.0
padi	50.0	3	66.67	0.0	33.33	0.0
Pepepe	50.0	3	100.0	0.0	0.0	0.0
possum	50.0	3	33.33	0.0	66.67	0.0
qqqq	50.0	3	66.67	0.0	33.33	0.0
Shiri	50.0	15	100.0	0.0	0.0	0.0
timotree	50.0	3	66.67	0.0	33.33	0.0
zeinab001	50.0	3	66.67	0.0	33.33	0.0
Sucubis	46.67	22	59.09	0.0	40.91	0.0
katian	44.44	13	84.62	0.0	15.38	0.0
rachyrules	42.86	10	80.0	10.0	10.0	0.0
jack67889	40.0	7	100.0	0.0	0.0	0.0
VerySloppyTwo	40.0	14	35.71	0.0	64.29	0.0
robense	34.21	51	76.47	0.0	23.53	0.0
cockdestroyer	33.33	4	100.0	0.0	0.0	0.0
derekcheah	33.33	4	100.0	0.0	0.0	0.0
Floriman	33.33	16	81.25	0.0	18.75	0.0
GemmyBean	33.33	4	75.0	0.0	25.0	0.0
Othnia	33.33	4	100.0	0.0	0.0	0.0
squidgetx	33.33	4	50.0	0.0	50.0	0.0
wump	33.33	8	50.0	0.0	50.0	0.0
ChristopheAF	31.58	25	88.0	0.0	12.0	0.0
Nitrate2	30.77	17	82.35	0.0	17.65	0.0
rz	30.77	17	82.35	0.0	17.65	0.0
catula	28.57	9	100.0	0.0	0.0	0.0
Lanvin	26.09	29	62.07	0.0	37.93	0.0
Dr_Kakashi	25.0	10	80.0	0.0	20.0	0.0
HelanaAshryvr	25.0	5	80.0	0.0	20.0	0.0
Jake_Stiles	25.0	5	60.0	0.0	40.0	0.0
JDepp	25.0	5	100.0	0.0	0.0	0.0
MangoPie	25.0	10	30.0	0.0	70.0	0.0
nitawa	25.0	5	20.0	0.0	80.0	0.0
Pimak	25.0	5	60.0	0.0	40.0	0.0
Valetta6789	25.0	5	60.0	0.0	40.0	0.0
Zamiel	25.0	5	60.0	0.0	40.0	0.0
sin_faith	23.81	26	92.31	0.0	7.69	0.0
Fey	23.08	16	31.25	0.0	68.75	0.0
Lel0uch	21.62	45	57.78	0.0	42.22	0.0
TimeHoodie	20.83	58	77.59	3.45	18.97	0.0
emilyzhao	20.0	6	16.67	0.0	83.33	0.0
kevincaseytdk1	20.0	6	66.67	0.0	33.33	0.0
Pablo-	20.0	24	62.5	0.0	37.5	0.0
swineherd	20.0	18	55.56	0.0	44.44	0.0
Zakisan	20.0	12	91.67	0.0	8.33	0.0
DMoney	18.18	13	30.77	0.0	69.23	0.0
Onen	18.18	13	53.85	0.0	46.15	0.0
MarkusKahlsen	17.39	27	59.26	0.0	40.74	0.0
Faggotini	16.67	7	100.0	0.0	0.0	0.0
Kyle	16.67	28	100.0	0.0	0.0	0.0
rotem	15.38	15	100.0	0.0	0.0	0.0
kimbifille	14.29	8	75.0	0.0	25.0	0.0
ebin_noob	12.5	72	77.78	0.0	22.22	0.0
Calamity	12.2	46	100.0	0.0	0.0	0.0
lotem	11.66	182	92.31	1.1	6.59	0.0
Hapotata	11.54	29	100.0	0.0	0.0	0.0
sephiroth	11.54	29	37.93	6.9	55.17	0.0
Yuga Suggah	11.11	10	100.0	0.0	0.0	0.0
MrT	9.3	47	100.0	0.0	0.0	0.0
Wittvector	9.09	24	50.0	0.0	50.0	0.0
Jesusita	8.97	85	100.0	0.0	0.0	0.0
melwen	8.82	37	62.16	0.0	37.84	0.0
MrT1234	8.7	25	100.0	0.0	0.0	0.0
newduke	8.33	39	76.92	5.13	17.95	0.0
will.i.am	8.33	13	53.85	0.0	46.15	0.0
gdog	7.81	138	97.1	0.0	2.9	0.0
scharkbite	7.69	14	100.0	0.0	0.0	0.0
ejwu	7.14	15	73.33	0.0	26.67	0.0
RoyIsland	7.14	60	100.0	0.0	0.0	0.0
indego	6.67	16	68.75	0.0	31.25	0.0
MrT123	6.67	32	100.0	0.0	0.0	0.0
jeff10	5.88	18	50.0	0.0	50.0	0.0
inde	5.56	19	57.89	0.0	42.11	0.0
2139	0.0	2	100.0	0.0	0.0	0.0
ADrone	0.0	5	80.0	0.0	20.0	0.0
Ahming	0.0	2	100.0	0.0	0.0	0.0
alphabeta	0	1	100.0	0.0	0.0	0.0
angel-a	0.0	4	0.0	0.0	100.0	0.0
anna567	0.0	1	100.0	0.0	0.0	0.0
arnino	0.0	12	91.67	0.0	8.33	0.0
avanderwalde	0.0	4	100.0	0.0	0.0	0.0
Avishay	0.0	5	100.0	0.0	0.0	0.0
bennyF	0.0	3	100.0	0.0	0.0	0.0
BillaVGC	0.0	1	100.0	0.0	0.0	0.0
bjnh	0.0	4	0.0	0.0	100.0	0.0
Buds	0.0	1	100.0	0.0	0.0	0.0
ChristopeAF	0.0	1	0.0	0.0	100.0	0.0
colton	0.0	4	75.0	0.0	25.0	0.0
Darth_Calculus	0.0	4	100.0	0.0	0.0	0.0
Denchulitas	0.0	1	100.0	0.0	0.0	0.0
dontmacme	0.0	4	25.0	0.0	75.0	0.0
DrJones	0.0	1	100.0	0.0	0.0	0.0
duckmammal	0.0	2	100.0	0.0	0.0	0.0
egerdm	0	1	100.0	0.0	0.0	0.0
electon	0.0	2	100.0	0.0	0.0	0.0
eljavi	0	1	100.0	0.0	0.0	0.0
eljobe	0.0	1	100.0	0.0	0.0	0.0
esakach	0.0	1	100.0	0.0	0.0	0.0
Espen	0	1	100.0	0.0	0.0	0.0
FullPunish	0.0	1	100.0	0.0	0.0	0.0
hakha3	0.0	2	100.0	0.0	0.0	0.0
ilmrak	0.0	1	100.0	0.0	0.0	0.0
kalisa	0.0	1	0.0	0.0	100.0	0.0
keatnisher	0.0	1	100.0	0.0	0.0	0.0
Kernel	0.0	2	0.0	0.0	100.0	0.0
knaphill	0.0	2	0.0	0.0	100.0	0.0
kodomazer	0	2	100.0	0.0	0.0	0.0
kopen	0.0	1	0.0	0.0	100.0	0.0
LaFayetteX	0.0	9	100.0	0.0	0.0	0.0
letical	0.0	2	100.0	0.0	0.0	0.0
Libster	0.0	3	66.67	0.0	33.33	0.0
Livia	0.0	3	100.0	0.0	0.0	0.0
lotem2	0.0	2	100.0	0.0	0.0	0.0
lrovner	0.0	1	100.0	0.0	0.0	0.0
MarcLovesDogs	0.0	1	100.0	0.0	0.0	0.0
MasN	0.0	4	100.0	0.0	0.0	0.0
Maverick	0.0	4	100.0	0.0	0.0	0.0
maxnorris13	0.0	2	100.0	0.0	0.0	0.0
micerang	0.0	5	80.0	0.0	20.0	0.0
mikefrenil	0.0	1	0.0	0.0	100.0	0.0
Nerd79797	0.0	2	100.0	0.0	0.0	0.0
OnceUponAQuine	0.0	1	100.0	0.0	0.0	0.0
pianoblook	0.0	2	100.0	0.0	0.0	0.0
piper	0.0	1	100.0	0.0	0.0	0.0
plus	0.0	11	72.73	0.0	27.27	0.0
RaKXeR	0.0	2	50.0	0.0	50.0	0.0
Random	0.0	7	100.0	0.0	0.0	0.0
Razvogor	0.0	5	80.0	0.0	20.0	0.0
ricardodd	0	1	100.0	0.0	0.0	0.0
Ricca29	0.0	1	100.0	0.0	0.0	0.0
sajizzle	0.0	1	0.0	0.0	100.0	0.0
SanPaloma	0.0	1	100.0	0.0	0.0	0.0
savoryoatmeal	0.0	1	0.0	0.0	100.0	0.0
sefiak	0.0	2	100.0	0.0	0.0	0.0
shanos	0.0	5	100.0	0.0	0.0	0.0
shohamh	0.0	5	100.0	0.0	0.0	0.0
sin_nofaith	0.0	1	0.0	0.0	100.0	0.0
soxinfox	0.0	1	100.0	0.0	0.0	0.0
Spieler42	0.0	1	100.0	0.0	0.0	0.0
Spip_B	0.0	1	100.0	0.0	0.0	0.0
StKildaFan	0.0	7	57.14	0.0	42.86	0.0
Takis	0.0	4	50.0	0.0	50.0	0.0
TheWaisel	0.0	11	100.0	0.0	0.0	0.0
Tiramisu1th	0.0	2	0.0	0.0	100.0	0.0
witcher	0.0	17	88.24	0.0	11.76	0.0
wortel	0.0	2	100.0	0.0	0.0	0.0
XMIL	0.0	2	100.0	0.0	0.0	0.0
