Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
wolfeyes	50.0	3	66.67	0.0	33.33	0.0
beri	49.15	88	100.0	0.0	0.0	0.0
FerKeth	40.0	7	100.0	0.0	0.0	0.0
Fey	40.0	7	100.0	0.0	0.0	0.0
melwen	33.33	4	100.0	0.0	0.0	0.0
CaptainVallois	29.73	48	97.92	0.0	2.08	0.0
HelanaAshryvr	16.74	1262	46.83	4.83	44.69	3.65
Valetta6789	16.67	7	57.14	0.0	42.86	0.0
Lanvin	15.13	175	53.71	0.57	44.0	1.71
Sugarbaby	14.49	79	65.82	1.27	32.91	0.0
aquarelle	12.5	9	100.0	0.0	0.0	0.0
boba	10.81	164	26.83	0.0	65.24	7.93
yesSugar	10.0	88	53.41	0.0	34.09	12.5
squirrel1988	9.89	400	32.75	6.0	53.75	7.5
aquarelle-	0.0	1	100.0	0.0	0.0	0.0
bjnh	0.0	5	100.0	0.0	0.0	0.0
Divinusable	0.0	2	100.0	0.0	0.0	0.0
Eixdeuce	0.0	3	0.0	0.0	100.0	0.0
frosty104	0.0	2	100.0	0.0	0.0	0.0
GemmyBean	0.0	2	100.0	0.0	0.0	0.0
hakha3	0.0	2	100.0	0.0	0.0	0.0
indego	0.0	1	0.0	0.0	100.0	0.0
Lel0uch	0.0	9	100.0	0.0	0.0	0.0
Nitrate	0.0	3	100.0	0.0	0.0	0.0
Onen	0.0	1	100.0	0.0	0.0	0.0
ricardodd	0.0	3	100.0	0.0	0.0	0.0
Romain672	0.0	1	100.0	0.0	0.0	0.0
rz	0.0	1	100.0	0.0	0.0	0.0
StKildaFan	0.0	5	100.0	0.0	0.0	0.0
VerySloppyTwo	0.0	14	100.0	0.0	0.0	0.0
Wittvector	0.0	2	100.0	0.0	0.0	0.0
