Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
DarkenedOrigins	233.33	10	100.0	0.0	0.0	0.0
DarthGandalf	200.0	3	100.0	0.0	0.0	0.0
efaust	200.0	3	100.0	0.0	0.0	0.0
ichaelm	200.0	3	100.0	0.0	0.0	0.0
mestrepoke	200.0	3	100.0	0.0	0.0	0.0
MasN	180.0	14	100.0	0.0	0.0	0.0
aladdin3	100.0	4	100.0	0.0	0.0	0.0
asdfew	100.0	2	100.0	0.0	0.0	0.0
baads	100.0	2	100.0	0.0	0.0	0.0
crossproduct	100.0	2	100.0	0.0	0.0	0.0
eevee	100.0	4	75.0	0.0	0.0	25.0
emilyzhao	100.0	4	100.0	0.0	0.0	0.0
Espen	100.0	2	100.0	0.0	0.0	0.0
hardik	100.0	2	100.0	0.0	0.0	0.0
JackFrost	100.0	2	50.0	0.0	50.0	0.0
JoBean	100.0	2	100.0	0.0	0.0	0.0
Maiorskills	100.0	2	100.0	0.0	0.0	0.0
maxnorris13	100.0	2	100.0	0.0	0.0	0.0
Mishka	100.0	2	100.0	0.0	0.0	0.0
oliana	100.0	2	100.0	0.0	0.0	0.0
ozymandias	100.0	4	100.0	0.0	0.0	0.0
schildknaapje	100.0	2	100.0	0.0	0.0	0.0
sjdrodge	100.0	10	100.0	0.0	0.0	0.0
skyblueexo	100.0	8	100.0	0.0	0.0	0.0
Smandon	100.0	2	100.0	0.0	0.0	0.0
SushiGirl	100.0	8	100.0	0.0	0.0	0.0
tb1004913	100.0	2	100.0	0.0	0.0	0.0
honzas	82.35	31	100.0	0.0	0.0	0.0
Etherealz	80.0	9	100.0	0.0	0.0	0.0
Plum	80.0	9	100.0	0.0	0.0	0.0
beri	68.0	126	100.0	0.0	0.0	0.0
banjoleb	66.67	5	100.0	0.0	0.0	0.0
moeski	66.67	5	100.0	0.0	0.0	0.0
parrotdoxair	66.67	5	100.0	0.0	0.0	0.0
eliclax	60.0	8	87.5	0.0	12.5	0.0
wortel	60.0	8	75.0	0.0	25.0	0.0
Floriman	56.76	58	75.86	0.0	24.14	0.0
ricardodd	56.0	39	61.54	0.0	38.46	0.0
MarkusKahlsen	55.34	160	79.38	0.0	18.75	1.88
Andrew_UK	50.0	6	100.0	0.0	0.0	0.0
bob65536	50.0	6	100.0	0.0	0.0	0.0
callistooooo	50.0	3	100.0	0.0	0.0	0.0
Daryl	50.0	6	83.33	0.0	16.67	0.0
diael	50.0	3	100.0	0.0	0.0	0.0
Divinusable	50.0	3	100.0	0.0	0.0	0.0
