Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
frosty104	76.92	23	73.91	0.0	17.39	8.7
ADrone	39.02	57	59.65	5.26	28.07	7.02
sjdrodge	38.89	25	56.0	0.0	44.0	0.0
Pablo-	38.0	69	52.17	7.25	40.58	0.0
Fey	37.93	40	65.0	0.0	35.0	0.0
doctorabi	37.5	33	45.45	6.06	48.48	0.0
jeff10	37.5	33	84.85	0.0	15.15	0.0
Nitrate2	36.0	34	47.06	11.76	41.18	0.0
piper	35.82	91	53.85	9.89	36.26	0.0
MasN	35.29	23	73.91	0.0	26.09	0.0
TheDaniMan	34.0	67	49.25	2.99	43.28	4.48
postmans	33.33	48	75.0	0.0	20.83	4.17
Shos	33.33	28	78.57	0.0	21.43	0.0
timotree	33.33	20	70.0	0.0	30.0	0.0
Valetta6789	33.23	425	63.53	3.06	32.71	0.71
micerang	32.03	169	68.64	0.59	30.77	0.0
MangoPie	32.0	33	81.82	9.09	9.09	0.0
asaelr	31.25	462	50.43	6.49	42.64	0.43
Nitrate	31.11	59	57.63	6.78	35.59	0.0
hanabornoob	30.0	26	73.08	0.0	26.92	0.0
Romain672	27.27	56	62.5	0.0	37.5	0.0
Sucubis	26.56	81	69.14	0.0	27.16	3.7
TimeHoodie	26.47	215	54.88	3.72	40.93	0.47
scharkbite	26.19	530	53.96	8.3	36.04	1.7
Hoodie	26.16	217	54.38	3.69	41.47	0.46
rz	26.09	29	79.31	0.0	20.69	0.0
Jake_Stiles	26.0	63	36.51	0.0	61.9	1.59
MarkusKahlsen	25.0	50	74.0	0.0	26.0	0.0
kodomazer	24.0	62	77.42	3.23	19.35	0.0
robense	23.53	21	80.95	0.0	14.29	4.76
Zakisan	23.53	21	57.14	0.0	42.86	0.0
kimbifille	23.3	434	44.24	4.61	36.64	14.52
wortel	23.26	53	79.25	0.0	18.87	1.89
melwen	23.08	80	45.0	7.5	45.0	2.5
Fireheart	22.96	407	61.43	1.72	36.36	0.49
letical	22.22	22	72.73	0.0	27.27	0.0
Dr_Kakashi	21.78	671	55.14	2.68	31.3	10.88
Wittvector	21.62	45	51.11	0.0	44.44	4.44
plus	21.52	96	51.04	5.21	36.46	7.29
swineherd	20.83	58	55.17	8.62	36.21	0.0
Libster	20.55	88	46.59	0.0	53.41	0.0
padi	20.24	101	64.36	1.98	25.74	7.92
IAMJEFF	20.11	209	66.03	0.0	33.49	0.48
dobi	20.0	24	62.5	0.0	37.5	0.0
indego	20.0	108	63.89	0.0	36.11	0.0
jack67889	20.0	54	55.56	5.56	38.89	0.0
sephiroth	20.0	192	65.62	3.12	28.65	2.6
Kyle	19.71	656	56.25	2.9	36.89	3.96
sin_faith	19.54	104	59.62	10.58	25.0	4.81
honzas	18.48	109	72.48	0.0	27.52	0.0
Lel0uch	18.33	71	52.11	0.0	43.66	4.23
Bonja97	18.18	26	50.0	0.0	50.0	0.0
Livia	18.08	431	55.22	10.44	33.87	0.46
pianoblook	17.76	179	50.28	7.82	38.55	3.35
hakha3	17.24	34	58.82	5.88	35.29	0.0
Zamiel	16.49	219	60.73	2.28	36.53	0.46
kopen	16.25	93	69.89	0.0	27.96	2.15
DMoney	15.92	233	45.49	3.86	40.34	10.3
RaKXeR	14.75	70	41.43	1.43	57.14	0.0
florrat2	14.29	24	41.67	12.5	45.83	0.0
lotem	14.29	112	82.14	3.57	12.5	1.79
derekcheah	12.5	63	68.25	0.0	31.75	0.0
newduke	12.0	28	57.14	14.29	28.57	0.0
Lanvin	11.69	86	62.79	0.0	37.21	0.0
VerySloppyTwo	11.54	29	79.31	0.0	20.69	0.0
will.i.am	11.54	58	46.55	12.07	37.93	3.45
ChristopheAF	11.29	69	78.26	2.9	18.84	0.0
duckmammal	11.11	80	68.75	0.0	31.25	0.0
Razvogor	10.53	21	76.19	0.0	23.81	0.0
awe	9.43	58	56.9	1.72	41.38	0.0
XMIL	4.76	22	59.09	0.0	40.91	0.0
HelanaAshryvr	0.0	20	50.0	0.0	50.0	0.0
