Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
beri	50.0	21	100.0	0.0	0.0	0.0
StKildaFan	31.58	25	60.0	0.0	40.0	0.0
Sucubis	30.0	26	76.92	0.0	23.08	0.0
rz	28.89	58	82.76	0.0	17.24	0.0
bob65536	27.78	23	86.96	0.0	13.04	0.0
Doge	27.78	23	73.91	0.0	26.09	0.0
hakha3	26.47	43	51.16	0.0	48.84	0.0
macanek	25.93	34	85.29	0.0	14.71	0.0
ricardodd	25.0	145	75.17	2.07	22.76	0.0
jack67889	24.24	41	56.1	0.0	41.46	2.44
MangoPie	23.91	57	63.16	10.53	26.32	0.0
Hoodie	23.08	48	41.67	12.5	45.83	0.0
timotree	22.86	86	44.19	38.37	16.28	1.16
IsabeltheCat	22.22	22	68.18	0.0	31.82	0.0
eljavi	21.88	39	87.18	0.0	12.82	0.0
doctorabi	21.82	67	59.7	4.48	35.82	0.0
Fey	21.28	57	80.7	0.0	17.54	1.75
frosty104	20.41	59	66.1	1.69	32.2	0.0
aquarelle	20.35	343	61.81	6.41	30.9	0.87
boba	20.32	302	65.89	6.29	26.82	0.99
TimeHoodie	20.0	42	45.24	4.76	50.0	0.0
Onen	18.18	78	67.95	0.0	32.05	0.0
colton	17.74	73	79.45	0.0	20.55	0.0
Romain672	17.69	173	78.03	8.67	13.29	0.0
dobi	17.56	154	40.26	18.83	40.91	0.0
squirrel1988	17.56	569	48.15	4.92	45.17	1.76
Lel0uch	17.54	449	69.04	1.34	29.18	0.45
Durandal	16.74	1262	46.83	4.83	44.69	3.65
MarkusKahlsen	16.67	21	66.67	0.0	33.33	0.0
nkkarpov	16.67	21	76.19	0.0	23.81	0.0
Wittvector	16.39	71	66.2	4.23	29.58	0.0
Lanvin	15.77	646	57.43	3.56	38.85	0.15
melwen	15.69	236	45.34	2.54	51.69	0.42
jeff10	15.22	53	81.13	1.89	16.98	0.0
rahsosprout	15.0	23	60.87	0.0	39.13	0.0
ChristopheAF	14.65	313	64.22	9.58	26.2	0.0
FerKeth	14.39	151	85.43	0.0	14.57	0.0
bjnh	14.17	137	63.5	0.0	36.5	0.0
VerySloppyTwo	11.9	47	74.47	6.38	19.15	0.0
antitelharsic	10.71	31	64.52	0.0	35.48	0.0
indego	10.53	168	45.24	17.26	37.5	0.0
katian	9.68	34	82.35	0.0	17.65	0.0
4head	9.09	24	58.33	0.0	41.67	0.0
kimbifille	8.7	25	72.0	0.0	28.0	0.0
newduke	6.93	108	76.85	7.41	15.74	0.0
Animex52	5.88	36	69.44	0.0	30.56	0.0
sin_faith	5.13	41	58.54	17.07	24.39	0.0
griff77	5.0	21	52.38	0.0	47.62	0.0
sephiroth	3.64	57	75.44	1.75	22.81	0.0
Floriman	0.0	20	50.0	0.0	50.0	0.0
Kyle	0.0	22	54.55	0.0	45.45	0.0
Nitrate	0.0	22	86.36	0.0	13.64	0.0
