Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
invarse	53.85	20	70.0	0.0	30.0	0.0
Hunter	52.0	38	78.95	0.0	21.05	0.0
Feer	32.43	49	42.86	2.04	55.1	0.0
csq	31.25	21	76.19	0.0	23.81	0.0
melwen	29.41	22	81.82	0.0	18.18	0.0
frosty104	28.57	36	77.78	0.0	22.22	0.0
qqqq	28.05	105	58.1	0.0	41.9	0.0
kimbifille	26.67	418	72.73	1.44	19.14	6.7
wortel	26.42	67	62.69	2.99	34.33	0.0
sin_faith	26.09	58	70.69	0.0	29.31	0.0
Ahming	25.71	44	75.0	0.0	25.0	0.0
piper	25.3	104	52.88	2.88	44.23	0.0
scharkbite	25.11	593	64.92	5.56	28.67	0.84
HuHu	25.0	20	65.0	0.0	35.0	0.0
NoMercy	24.62	81	55.56	12.35	32.1	0.0
Cory	24.39	51	74.51	0.0	25.49	0.0
duckmammal	24.39	51	72.55	0.0	27.45	0.0
Sucubis	24.38	199	60.8	3.02	35.18	1.01
micerang	24.07	299	46.82	4.68	48.16	0.33
asaelr	22.77	647	52.7	6.49	39.41	1.39
wjomlex	22.73	27	85.19	0.0	14.81	0.0
Romain672	21.74	112	66.96	10.71	21.43	0.89
Kyle	21.6	349	63.9	10.32	25.79	0.0
pianoblook	20.99	98	66.33	0.0	31.63	2.04
Dr_Kakashi	20.82	1480	72.03	7.3	13.65	7.03
Kakashi	20.8	1481	72.05	7.29	13.64	7.02
Lel0uch	20.0	84	60.71	0.0	38.1	1.19
Floriman	19.89	223	62.33	0.0	37.22	0.45
GГ¶ttertГ¶ter	19.23	31	67.74	0.0	32.26	0.0
Jake_Stiles	18.96	251	61.35	4.38	34.26	0.0
Livia	18.77	386	55.18	13.47	25.13	6.22
kemurphy	17.65	20	60.0	0.0	40.0	0.0
kooolant	17.65	40	70.0	7.5	22.5	0.0
efaust	17.54	67	55.22	2.99	41.79	0.0
sjdrodge	17.33	88	70.45	2.27	27.27	0.0
kopen	16.46	191	55.5	8.9	35.6	0.0
katian	15.79	22	86.36	0.0	13.64	0.0
316721	15.0	23	100.0	0.0	0.0	0.0
timotree	15.0	23	91.3	0.0	8.7	0.0
TimeHoodie	14.63	47	44.68	0.0	53.19	2.13
kodomazer	14.0	57	78.95	0.0	21.05	0.0
Hoodie	13.95	49	42.86	0.0	55.1	2.04
Valetta6789	13.91	1368	40.42	6.58	50.07	2.92
Fireheart	12.87	2701	32.17	13.44	27.77	26.62
Zamiel	12.29	594	51.52	10.61	33.16	4.71
avanderwalde	11.11	20	50.0	0.0	25.0	25.0
Fey	10.53	21	80.95	0.0	19.05	0.0
Asddsa76	10.0	33	75.76	0.0	24.24	0.0
Maiorskills	10.0	33	54.55	0.0	45.45	0.0
Razvogor	9.32	129	19.38	1.55	79.07	0.0
DMoney	9.09	36	50.0	11.11	38.89	0.0
Andrew_UK	8.0	27	55.56	0.0	44.44	0.0
Libster	7.55	356	59.27	2.53	35.96	2.25
honzas	7.27	59	98.31	0.0	1.69	0.0
sankala	7.14	30	6.67	33.33	60.0	0.0
RaKXeR	5.13	164	82.93	0.0	17.07	0.0
sankala fan	4.35	24	4.17	41.67	54.17	0.0
florrat2	4.15	276	60.14	1.81	37.32	0.72
IAMJEFFFAN	2.78	74	91.89	0.0	8.11	0.0
