Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
invarse	55.0	31	77.42	0.0	22.58	0.0
Twinge	52.63	29	100.0	0.0	0.0	0.0
Razgovor	50.0	30	100.0	0.0	0.0	0.0
zztraider	45.71	51	100.0	0.0	0.0	0.0
Andrew_UK	43.24	53	92.45	0.0	3.77	3.77
rocket	40.0	49	100.0	0.0	0.0	0.0
Chronometrics	39.62	74	94.59	0.0	5.41	0.0
cak199164	38.1	29	96.55	0.0	3.45	0.0
speedfrog	37.5	22	100.0	0.0	0.0	0.0
Swifter	33.33	76	89.47	0.0	10.53	0.0
Hyphen-ated	30.77	34	97.06	0.0	2.94	0.0
Hyakinthus	30.3	43	81.4	0.0	18.6	0.0
BlameItOnRaz:D	30.0	26	69.23	0.0	30.77	0.0
rat	29.17	155	69.03	0.0	14.19	16.77
florrat2	26.72	147	68.03	0.0	14.29	17.69
qqqq	26.0	63	65.08	0.0	9.52	25.4
Bob Dole	22.22	22	95.45	0.0	0.0	4.55
RaKXeR	21.5	130	88.46	0.0	8.46	3.08
scharkbite	20.0	132	68.18	0.0	6.06	25.76
Andrey Khesin	19.51	49	83.67	0.0	16.33	0.0
Mike	19.51	49	93.88	0.0	6.12	0.0
Tiberyus	19.05	25	100.0	0.0	0.0	0.0
Libster	18.87	189	64.02	0.0	15.34	20.63
910dan	18.37	58	51.72	0.0	18.97	29.31
Zamiel	16.48	304	61.18	0.0	16.45	22.37
sankala	15.6	126	69.84	0.0	18.25	11.9
jeep	14.94	100	76.0	0.0	11.0	13.0
Cory	13.04	104	57.69	0.0	10.58	31.73
Yeesh	10.0	22	77.27	0.0	22.73	0.0
alercah	9.09	24	58.33	0.0	0.0	41.67
NoMercy	9.09	36	55.56	0.0	8.33	36.11
NotRaKXeR	5.0	42	100.0	0.0	0.0	0.0
