Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
spbsuitmo	46.67	22	0.0	0.0	0.0	0.0
macanekspeedrun	38.1	58	0.0	0.0	0.0	0.0
boba	36.84	26	11.54	0.0	11.54	0.0
lolthisnotderk	34.62	35	57.14	0.0	20.0	5.71
macanek	34.0	67	13.43	0.0	0.0	0.0
BraydonM	33.33	36	80.56	5.56	5.56	0.0
MarcLovesDogs	31.25	21	52.38	0.0	33.33	0.0
jamesleng	27.78	23	21.74	0.0	0.0	0.0
possum	26.67	38	60.53	0.0	21.05	0.0
frosty104	25.0	25	48.0	0.0	36.0	8.0
kevincaseytdk1	24.32	46	47.83	0.0	30.43	4.35
sephiroth	24.0	31	58.06	0.0	32.26	0.0
orucsoraihc	22.73	54	68.52	0.0	16.67	1.85
dwu	22.45	60	41.67	0.0	3.33	0.0
HelanaAshryvr	22.22	22	54.55	0.0	31.82	0.0
wump	22.22	55	50.91	0.0	38.18	0.0
nkkarpov	21.57	62	58.06	0.0	25.81	0.0
dwu3	21.43	51	45.1	0.0	0.0	0.0
Wittvector	21.15	63	52.38	0.0	38.1	0.0
ricardodd	20.83	29	79.31	0.0	13.79	0.0
torp	20.0	36	58.33	0.0	8.33	0.0
eljavi	19.44	43	30.23	0.0	20.93	0.0
robense	19.35	37	40.54	0.0	48.65	0.0
StKildaFan	19.23	31	38.71	0.0	48.39	0.0
antitelharsic	18.52	32	15.62	0.0	3.12	0.0
DarthGandalf	18.18	26	46.15	0.0	7.69	0.0
Nitrate	17.65	20	60.0	0.0	35.0	0.0
nwajfromoz	17.14	41	70.73	0.0	24.39	0.0
griff77	16.95	69	43.48	0.0	42.03	2.9
bjnh	16.67	63	55.56	0.0	36.51	0.0
indego	16.67	56	64.29	0.0	17.86	0.0
jack67889	16.67	21	61.9	0.0	28.57	0.0
louietyj	16.0	29	27.59	0.0	31.03	6.9
methmatics	16.0	116	37.07	0.0	1.72	0.0
Lanvin	15.84	117	57.26	0.85	32.48	0.85
ChristopheAF	15.79	22	40.91	0.0	59.09	0.0
Spieler42	15.0	23	34.78	0.0	47.83	0.0
TimeHoodie	14.81	31	74.19	6.45	12.9	3.23
annoyingpi	14.71	39	43.59	0.0	5.13	0.0
kinkajusrevenge	14.71	39	69.23	0.0	5.13	2.56
Dwu123	14.29	32	34.38	0.0	0.0	0.0
Hoodie	14.29	32	75.0	6.25	12.5	3.12
Pablo-	14.29	24	75.0	0.0	12.5	0.0
CaitlinSmith	13.51	42	42.86	0.0	16.67	0.0
knaphill	13.16	43	27.91	0.0	58.14	0.0
room456	11.48	68	45.59	0.0	4.41	0.0
JYOKOTA	11.11	60	56.67	0.0	1.67	0.0
voss	10.71	31	16.13	0.0	29.03	0.0
acegikmoqsuwy	10.53	21	0.0	0.0	0.0	0.0
colton	10.53	21	28.57	0.0	47.62	0.0
joelwool	10.53	21	4.76	0.0	52.38	0.0
timotree	10.53	21	19.05	0.0	76.19	0.0
Aluap	10.34	32	18.75	0.0	50.0	0.0
rahsosprout	10.0	44	47.73	0.0	40.91	0.0
Onen	9.68	34	32.35	0.0	44.12	2.94
jeff10	9.52	46	34.78	4.35	39.13	0.0
qqqq	9.52	23	47.83	0.0	30.43	0.0
ksfortson	9.43	58	50.0	0.0	36.21	0.0
4head	8.73	137	64.23	0.0	17.52	0.0
melwen	8.11	40	60.0	0.0	22.5	0.0
newduke	6.25	153	73.2	0.0	15.69	0.0
Lel0uch	5.26	20	40.0	0.0	50.0	0.0
Animex52	4.76	22	9.09	0.0	31.82	0.0
dobi	2.56	40	27.5	0.0	67.5	0.0
Denchulitas	0.0	20	25.0	0.0	60.0	0.0
plus	0.0	25	36.0	0.0	60.0	0.0
will.i.am	0.0	26	57.69	0.0	38.46	0.0
