Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
wump	51.72	44	100.0	0.0	0.0	0.0
rz	47.06	50	96.0	0.0	4.0	0.0
Ptheven	31.03	38	68.42	15.79	15.79	0.0
Floriman	26.0	63	36.51	0.0	61.9	1.59
scharkbite	21.86	223	66.82	7.17	26.01	0.0
micerang	21.08	270	65.56	2.96	28.89	2.59
ADrone	21.05	23	100.0	0.0	0.0	0.0
Valetta6789	20.34	142	58.45	2.82	33.1	5.63
asaelr	19.83	145	68.28	0.0	31.72	0.0
Kyle	18.78	253	67.19	7.51	25.3	0.0
IAMJEFF	18.41	238	63.45	4.62	31.93	0.0
honzas	17.5	47	59.57	0.0	40.43	0.0
NoMercy	16.67	28	50.0	3.57	46.43	0.0
timotree	16.67	21	52.38	9.52	38.1	0.0
solarstar92	16.62	1768	65.61	0.57	33.82	0.0
Romain672	16.22	86	70.93	1.16	27.91	0.0
Ahming	16.0	29	82.76	0.0	13.79	3.45
kopen	16.0	29	41.38	17.24	41.38	0.0
sankala fan	15.79	22	59.09	9.09	31.82	0.0
Livia	15.07	84	53.57	3.57	42.86	0.0
Libster	14.63	94	60.64	9.57	28.72	1.06
Dr_Kakashi	12.79	97	57.73	11.34	29.9	1.03
Sucubis	12.77	53	52.83	7.55	39.62	0.0
Razvogor	12.5	27	74.07	0.0	25.93	0.0
Zamiel	11.87	377	45.36	9.81	42.44	2.39
invarse	11.76	57	57.89	0.0	42.11	0.0
awe	10.71	31	64.52	0.0	35.48	0.0
Fireheart	9.63	205	43.41	8.29	43.9	4.39
DMoney	4.72	111	65.77	3.6	29.73	0.9
Cory	4.35	48	50.0	0.0	50.0	0.0
padi	0.0	20	55.0	0.0	45.0	0.0
