Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Kaznad	40.32	87	12.64	0.0	2.3	0.0
Spruelo	34.48	39	10.26	0.0	0.0	0.0
Alix_Eisenhardt	31.03	38	18.42	0.0	0.0	0.0
Fey	29.41	22	68.18	0.0	27.27	0.0
Olipod	25.0	20	25.0	0.0	0.0	0.0
Pimak	23.81	26	80.77	0.0	0.0	0.0
Padouga	23.21	69	20.29	0.0	1.45	0.0
ChristopheAF	22.86	43	65.12	0.0	16.28	0.0
Wittvector	20.0	30	70.0	0.0	23.33	0.0
MangoPie	19.23	31	87.1	0.0	12.9	0.0
Lanvin	16.67	84	65.48	0.0	19.05	0.0
CaitlinSmith	11.11	20	55.0	0.0	30.0	0.0
indego	5.71	37	59.46	0.0	16.22	0.0
4head	0.0	20	50.0	0.0	40.0	0.0
