Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
rz	44.74	55	80.0	0.0	20.0	0.0
Smandon	38.89	25	48.0	0.0	52.0	0.0
frosty104	37.04	37	62.16	0.0	37.84	0.0
wump	35.71	38	52.63	0.0	47.37	0.0
Bonja97	34.38	43	60.47	6.98	32.56	0.0
hakha3	33.33	56	35.71	12.5	51.79	0.0
piper	33.33	52	40.38	1.92	57.69	0.0
postmans	32.56	57	82.46	0.0	15.79	1.75
Shos	30.56	47	85.11	0.0	14.89	0.0
DoubleDown11	28.57	72	83.33	0.0	16.67	0.0
Pablo-	27.59	111	71.17	1.8	27.03	0.0
hanabornoob	27.27	28	75.0	3.57	21.43	0.0
NoMercy	27.03	47	51.06	6.38	40.43	2.13
Valetta6789	27.0	334	59.58	4.79	33.53	2.1
aladdin3	26.92	33	90.91	0.0	9.09	0.0
doctorabi	26.92	66	45.45	6.06	43.94	4.55
anser	26.32	24	58.33	0.0	41.67	0.0
kodomazer	26.32	48	72.92	4.17	22.92	0.0
ejwu	25.93	34	52.94	0.0	47.06	0.0
ADrone	25.81	78	52.56	10.26	37.18	0.0
sjdrodge	25.0	35	65.71	8.57	25.71	0.0
Ptheven	24.24	41	80.49	9.76	9.76	0.0
Fey	24.19	77	71.43	0.0	28.57	0.0
kevincaseytdk1	24.14	36	61.11	0.0	38.89	0.0
Sucubis	24.0	186	70.97	0.0	28.49	0.54
micerang	23.89	586	66.72	3.07	29.18	1.02
timotree	23.02	171	51.46	5.85	42.11	0.58
invarse	22.67	92	76.09	2.17	21.74	0.0
Libster	22.61	141	67.38	1.42	30.5	0.71
asaelr	22.19	446	62.78	2.69	33.63	0.9
MasN	22.03	72	77.78	0.0	22.22	0.0
IAMJEFF	21.35	341	64.81	10.56	24.63	0.0
plus	20.91	266	66.54	3.01	26.69	3.76
derekcheah	20.9	81	59.26	0.0	38.27	2.47
Lilliana	20.83	29	68.97	10.34	20.69	0.0
Maiorskills	20.83	29	79.31	0.0	20.69	0.0
jack67889	20.69	70	61.43	1.43	34.29	2.86
Romain672	19.85	157	79.62	0.64	19.75	0.0
Floriman	19.78	648	56.48	2.93	36.57	4.01
sephiroth	19.64	201	57.21	2.99	36.32	3.48
Fireheart	19.35	771	56.03	9.21	31.65	3.11
swineherd	19.1	106	76.42	1.89	21.7	0.0
MarkusKahlsen	18.99	94	51.06	3.19	45.74	0.0
avanderwalde	18.92	88	27.27	12.5	60.23	0.0
Lanvin	18.84	82	59.76	2.44	37.8	0.0
Jake_Stiles	18.78	253	67.19	7.51	25.3	0.0
Carunty	18.52	32	71.88	0.0	28.12	0.0
Zakisan	18.52	64	43.75	4.69	50.0	1.56
kimbifille	17.95	322	53.42	6.21	33.23	7.14
Hoodie	17.27	516	57.36	1.94	40.5	0.19
TimeHoodie	17.2	511	57.14	1.96	40.7	0.2
scharkbite	17.11	794	60.71	4.03	33.5	1.76
Pimak	16.67	21	61.9	0.0	38.1	0.0
Dr_Kakashi	16.6	583	66.04	6.86	22.3	4.8
padi	16.55	169	58.58	7.69	32.54	1.18
TheDaniMan	16.42	156	53.85	1.92	43.59	0.64
kooolant	16.13	72	69.44	5.56	25.0	0.0
Lel0uch	16.0	116	54.31	0.0	43.1	2.59
Nitrate	16.0	87	71.26	1.15	27.59	0.0
Livia	15.87	292	63.01	4.45	32.53	0.0
wortel	15.62	37	54.05	5.41	40.54	0.0
melwen	15.58	408	54.17	5.88	38.24	1.72
kopen	15.13	137	67.88	0.0	32.12	0.0
jeff10	15.07	84	53.57	14.29	32.14	0.0
Ahming	15.0	23	73.91	4.35	21.74	0.0
ricardodd	15.0	23	73.91	4.35	21.74	0.0
robense	14.63	47	48.94	0.0	51.06	0.0
Div	14.29	24	100.0	0.0	0.0	0.0
ChristopheAF	14.08	81	83.95	0.0	16.05	0.0
indego	14.08	81	53.09	6.17	40.74	0.0
awe	14.04	65	69.23	1.54	29.23	0.0
DMoney	13.64	400	46.25	0.5	49.75	3.5
XMIL	13.64	50	70.0	0.0	30.0	0.0
Wittvector	13.24	77	54.55	0.0	36.36	9.09
Nitrate2	13.21	60	68.33	1.67	30.0	0.0
honzas	13.1	95	54.74	1.05	44.21	0.0
Zamiel	12.86	816	45.59	13.24	40.07	1.1
dobi	12.5	72	41.67	2.78	55.56	0.0
joelwool	12.5	27	81.48	3.7	14.81	0.0
MangoPie	12.2	46	69.57	21.74	8.7	0.0
RaKXeR	12.07	65	72.31	0.0	24.62	3.08
sin_faith	11.63	192	65.62	1.56	31.25	1.56
qbphoenix	11.43	39	56.41	0.0	43.59	0.0
Feer	11.11	20	55.0	0.0	45.0	0.0
rachyrules	11.11	20	40.0	0.0	60.0	0.0
Onen	10.26	43	41.86	13.95	34.88	9.3
pianoblook	10.14	228	49.12	0.44	43.42	7.02
Pepepe	10.0	22	63.64	0.0	36.36	0.0
letical	9.52	23	47.83	0.0	52.17	0.0
Razvogor	8.51	102	64.71	0.0	35.29	0.0
will.i.am	8.24	197	43.65	5.08	49.24	2.03
rkass	8.0	27	7.41	0.0	92.59	0.0
lotem	7.84	110	76.36	7.27	14.55	1.82
duckmammal	6.82	94	76.6	3.19	20.21	0.0
florrat2	6.82	47	55.32	2.13	42.55	0.0
newduke	6.67	144	52.78	0.0	47.22	0.0
Yuga Suggah	6.52	49	73.47	0.0	26.53	0.0
cockdestroyer	5.0	21	47.62	0.0	52.38	0.0
kd	5.0	21	47.62	0.0	52.38	0.0
Cory	4.62	68	50.0	2.94	47.06	0.0
LaFayetteX	4.17	25	68.0	8.0	24.0	0.0
HelanaAshryvr	3.7	28	50.0	0.0	50.0	0.0
