Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
rahsosprout	38.78	68	82.35	0.0	17.65	0.0
banjoleb	35.29	23	82.61	0.0	17.39	0.0
Valetta6789	32.71	142	45.77	0.0	52.82	1.41
Daryl	30.0	39	94.87	0.0	5.13	0.0
wump	29.87	100	62.0	2.0	36.0	0.0
macanek	29.63	105	80.0	0.0	20.0	0.0
Div	28.57	27	59.26	0.0	40.74	0.0
kevincaseytdk1	27.87	156	55.13	5.13	39.1	0.64
sean1815	27.78	23	100.0	0.0	0.0	0.0
ricardodd	27.18	131	71.76	11.45	16.79	0.0
Syrah	27.08	61	68.85	0.0	31.15	0.0
Bot-Fiora	25.93	68	79.41	0.0	20.59	0.0
torp	25.64	49	87.76	0.0	12.24	0.0
corys	25.0	20	90.0	0.0	10.0	0.0
nkkarpov	24.53	66	78.79	3.03	18.18	0.0
MarkusKahlsen	24.12	211	54.5	2.37	41.71	1.42
Fey	23.75	99	77.78	1.01	21.21	0.0
Doge	23.68	47	78.72	0.0	19.15	2.13
hakha3	23.57	194	50.52	3.61	44.33	1.55
kinkajusrevenge	23.53	21	80.95	0.0	19.05	0.0
knaphill	23.53	63	73.02	0.0	26.98	0.0
narabio	23.53	21	100.0	0.0	0.0	0.0
Spieler42	23.33	37	81.08	0.0	18.92	0.0
zeinab001	22.73	27	77.78	0.0	18.52	3.7
kopen	22.58	38	39.47	0.0	60.53	0.0
Nitrate2	22.22	44	50.0	0.0	50.0	0.0
MarcLovesDogs	21.43	34	76.47	0.0	23.53	0.0
swineherd	21.31	74	58.11	2.7	39.19	0.0
antitelharsic	21.21	40	70.0	2.5	27.5	0.0
cockdestroyer	20.45	53	60.38	7.55	32.08	0.0
dobi	20.0	222	48.2	1.35	49.55	0.9
ksfortson	20.0	48	70.83	0.0	29.17	0.0
Pimak	19.75	97	69.07	0.0	30.93	0.0
rachyrules	19.57	55	50.91	1.82	45.45	1.82
TimeHoodie	19.53	257	65.37	5.84	28.02	0.78
eliclax	19.44	43	60.47	0.0	39.53	0.0
jack67889	19.4	240	66.25	2.5	30.42	0.83
TheDaniMan	19.35	37	67.57	13.51	18.92	0.0
Kyle	18.84	82	59.76	2.44	37.8	0.0
aquarelle	18.45	122	72.13	1.64	26.23	0.0
Hoodie	18.42	270	63.7	5.56	29.26	1.48
kimbifille	18.18	26	88.46	0.0	11.54	0.0
plus	18.18	26	53.85	0.0	46.15	0.0
MangoPie	17.65	380	58.42	3.68	37.37	0.53
IsabeltheCat	17.58	107	62.62	0.93	35.51	0.93
robense	17.53	114	63.16	3.51	33.33	0.0
frosty104	17.16	157	65.61	0.64	33.12	0.64
bjnh	16.89	256	64.45	0.0	35.55	0.0
asaelr	16.84	111	54.05	0.9	45.05	0.0
VerySloppyTwo	16.74	509	63.65	1.18	35.17	0.0
rz	16.67	245	66.94	1.63	30.61	0.82
sin_faith	16.5	120	70.0	1.67	26.67	1.67
Kernel	16.39	71	77.46	0.0	22.54	0.0
squirrel1988	16.38	334	57.19	1.2	41.62	0.0
doctorabi	16.33	57	52.63	0.0	40.35	7.02
HelanaAshryvr	16.03	608	57.24	3.78	38.82	0.16
Durandal	15.65	170	52.35	0.59	45.29	1.76
Sucubis	15.52	67	52.24	0.0	47.76	0.0
colton	15.31	113	64.6	1.77	31.86	1.77
XMIL	15.15	38	34.21	0.0	65.79	0.0
Lel0uch	14.93	408	48.77	2.21	49.02	0.0
jeff10	14.84	147	58.5	4.08	34.69	2.72
katian	14.58	55	65.45	0.0	34.55	0.0
skyblueexo	14.29	40	90.0	0.0	10.0	0.0
4head	13.91	172	65.7	0.0	34.3	0.0
Zamiel	13.79	33	57.58	0.0	39.39	3.03
Nitrate	13.75	91	56.04	1.1	42.86	0.0
scharkbite	13.64	50	58.0	4.0	34.0	4.0
qqqq	13.46	59	42.37	1.69	55.93	0.0
griff77	12.82	88	60.23	2.27	37.5	0.0
CaitlinSmith	12.73	62	69.35	0.0	30.65	0.0
timotree	12.73	62	53.23	1.61	40.32	4.84
melwen	12.5	504	49.4	2.18	47.62	0.79
orucsoraihc	12.5	63	68.25	0.0	30.16	1.59
Pablo-	12.5	117	63.25	6.84	29.91	0.0
Floriman	12.16	83	61.45	0.0	38.55	0.0
bob65536	11.76	57	77.19	19.3	3.51	0.0
nitawa	11.67	67	40.3	2.99	56.72	0.0
Onen	11.36	147	57.14	0.0	40.14	2.72
ChristopheAF	11.26	484	68.8	5.99	24.38	0.83
Wittvector	10.61	344	56.98	6.1	34.3	2.62
sephiroth	10.47	327	64.83	0.31	34.56	0.31
Denchulitas	10.26	86	66.28	0.0	33.72	0.0
indego	10.16	607	57.66	3.29	38.88	0.16
StKildaFan	10.0	55	58.18	0.0	41.82	0.0
catula	9.52	69	62.32	0.0	37.68	0.0
voss	9.52	46	56.52	0.0	43.48	0.0
nwajfromoz	9.38	35	71.43	0.0	28.57	0.0
duckless	8.7	50	70.0	0.0	30.0	0.0
eljavi	8.7	50	82.0	0.0	18.0	0.0
possum	8.51	51	72.55	0.0	27.45	0.0
boba	8.16	53	49.06	9.43	41.51	0.0
Aluap	7.14	30	76.67	0.0	23.33	0.0
PMP	7.14	45	57.78	11.11	31.11	0.0
newduke	4.62	204	63.73	7.35	28.43	0.49
lolthisnotderk	4.55	23	73.91	0.0	26.09	0.0
Animex52	4.0	26	65.38	0.0	34.62	0.0
duckington	2.86	36	47.22	13.89	38.89	0.0
Plum	2.0	51	70.59	3.92	25.49	0.0
