Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
ADrone	85.71	26	26.92	42.31	0.0	0.0
Razgowut	69.23	22	86.36	0.0	4.55	0.0
wortel	43.33	43	74.42	0.0	6.98	0.0
snkylittleazn	42.86	20	45.0	0.0	0.0	0.0
bradz	41.67	51	7.84	0.0	0.0	5.88
Nitrate	34.78	31	16.13	0.0	25.81	0.0
Sucubis	34.48	78	48.72	0.0	24.36	6.41
Feer	32.0	33	66.67	0.0	12.12	0.0
Dr_Kakashi	30.0	130	64.62	3.08	16.92	0.0
Kakashi	28.57	144	63.89	2.78	15.28	0.0
asaelr	28.33	154	38.96	5.84	27.92	1.95
Bob Dole	26.09	29	0.0	0.0	0.0	3.45
Romain672	25.68	93	67.74	0.0	6.45	0.0
BlameItOnRaz:D	23.21	69	13.04	0.0	0.0	1.45
micerang	22.9	263	44.87	4.18	14.45	0.0
Asddsa76	22.84	285	28.77	0.0	5.61	0.0
Hunter	22.33	126	52.38	0.0	19.84	0.0
BlameItOnRaz	22.03	72	15.28	0.0	1.39	1.39
kopen	21.88	39	46.15	0.0	25.64	0.0
Livia	21.74	84	50.0	0.0	20.24	0.0
sjdrodge	21.66	410	37.8	3.17	3.9	7.56
Floriman	21.51	113	36.28	0.0	41.59	0.0
honzas	21.05	23	17.39	0.0	43.48	0.0
Swifter	20.96	202	13.37	0.0	0.0	18.81
jeep	19.51	49	4.08	0.0	0.0	20.41
Andrew_UK	19.46	307	22.15	0.0	4.23	2.93
Yeesh	19.12	81	29.63	3.7	11.11	0.0
Andrey Khesin	19.0	119	50.42	0.0	20.17	1.68
qqqq	18.9	151	11.92	0.0	2.65	23.84
Instantiation	18.87	189	19.05	0.0	0.0	20.63
potatochips	18.18	26	0.0	0.0	0.0	0.0
Mike	17.65	120	15.0	0.0	2.5	4.17
Fireheart	17.51	208	42.79	2.4	32.21	3.85
910dan	17.28	190	18.42	0.0	3.16	38.42
theworstplayer	17.24	34	52.94	0.0	0.0	32.35
Cory	16.81	396	29.29	0.51	2.78	9.6
SeldeGuГ©rande	16.67	21	19.05	0.0	0.0	47.62
Will	16.67	21	19.05	0.0	9.52	0.0
Valetta6789	15.92	437	17.39	0.92	5.49	0.0
Hyakinthus	15.28	166	9.64	0.0	1.81	18.07
Zy	15.0	23	4.35	0.0	0.0	0.0
invarse	14.63	47	21.28	0.0	10.64	0.0
DMoney	13.24	77	58.44	0.0	22.08	0.0
Kyle	13.11	345	27.54	0.58	12.46	0.29
doome	13.04	26	15.38	0.0	0.0	0.0
duckmammal	13.04	26	38.46	0.0	30.77	0.0
scharkbite	12.39	381	18.37	0.26	3.15	17.06
efaust	11.63	48	58.33	0.0	10.42	0.0
Tiberyus	11.63	48	0.0	0.0	0.0	6.25
MasN	11.54	145	3.45	0.0	11.03	0.0
Jake_Stiles	11.41	205	27.8	4.39	13.17	0.49
doome_burner	9.52	23	17.39	0.0	0.0	0.0
postmans	9.46	428	7.24	0.0	0.0	3.97
Doge	9.09	24	16.67	0.0	16.67	33.33
Ptheven	8.82	37	56.76	13.51	13.51	0.0
color vs rank	8.51	51	43.14	0.0	0.0	0.0
IAMJEFF	6.96	384	16.15	2.34	14.32	2.08
Zamiel	6.58	4227	11.12	0.33	1.77	4.9
GamerSKTrashCan	6.45	33	6.06	0.0	0.0	3.03
NoMercy	6.27	2287	6.56	0.31	0.66	2.62
NotRaKXeR	6.18	1117	0.36	0.0	0.0	0.0
garbo late game	6.06	105	31.43	0.0	4.76	49.52
kodomazer	6.06	35	17.14	0.0	0.0	0.0
Razgovor	5.8	1659	13.74	0.0	1.15	0.12
NotCory	5.71	37	0.0	0.0	0.0	0.0
Ahming	5.62	282	10.28	0.0	5.67	0.35
RaKXeR	5.02	5736	4.22	0.02	0.77	0.45
sankala	4.98	2151	2.0	0.0	0.79	0.84
padi	4.66	202	3.47	0.0	0.5	9.9
florrat2	4.59	16550	2.53	0.06	0.48	0.85
sin_faith	3.57	29	24.14	0.0	24.14	0.0
awe	3.45	30	13.33	0.0	33.33	0.0
Darth_Calculus	3.33	31	96.77	0.0	0.0	0.0
Razvogor	3.14	1446	9.13	0.0	2.49	0.35
WeNeedToKnow	1.72	118	0.85	0.0	0.0	0.0
sankala fan	1.45	1473	1.02	0.0	1.15	0.0
frogman	1.41	72	0.0	0.0	0.0	0.0
frog-kun	0.65	776	0.0	0.0	0.0	0.0
IAMJEFFFAN	0.0	91	0.0	0.0	0.0	0.0
