Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
TheDaniMan	53.33	23	60.87	0.0	39.13	0.0
wortel	47.06	25	80.0	0.0	20.0	0.0
honzas	42.86	60	91.67	1.67	6.67	0.0
Razvogor	38.89	25	48.0	0.0	52.0	0.0
florrat2	33.33	32	31.25	28.12	40.62	0.0
kopen	32.26	82	69.51	0.0	30.49	0.0
open	31.75	83	68.67	0.0	31.33	0.0
plus	31.25	21	71.43	0.0	28.57	0.0
NoMercy	29.41	22	63.64	0.0	36.36	0.0
micerang	27.0	127	77.17	0.79	20.47	1.57
Maiorskills	26.09	29	89.66	0.0	10.34	0.0
sjdrodge	25.81	39	64.1	0.0	35.9	0.0
Valetta6789	25.07	419	59.67	1.91	37.71	0.72
sephiroth	25.0	35	60.0	0.0	40.0	0.0
kodomazer	22.73	27	74.07	0.0	25.93	0.0
awe	22.22	55	74.55	0.0	25.45	0.0
padi	22.22	77	63.64	14.29	22.08	0.0
kimbifille	22.08	94	54.26	0.0	40.43	5.32
Jake_Stiles	21.84	106	60.38	2.83	36.79	0.0
Libster	21.74	84	69.05	0.0	30.95	0.0
asaelr	20.74	326	53.07	2.15	44.17	0.61
Fireheart	19.96	643	53.81	9.49	34.37	2.33
Floriman	19.59	464	54.74	9.7	35.13	0.43
scharkbite	19.14	361	55.12	10.8	31.3	2.77
Tolmaion	18.9	151	55.63	0.0	43.71	0.66
IAMJEFF	18.77	386	55.18	13.47	25.13	6.22
Romain672	18.75	114	51.75	10.53	36.84	0.88
Dr_Kakashi	18.56	690	62.03	11.16	23.04	3.77
invarse	18.0	577	53.9	8.67	35.18	2.25
Kyle	16.72	356	64.61	3.65	31.74	0.0
DMoney	14.78	132	60.61	3.79	35.61	0.0
Sucubis	14.41	135	65.19	5.93	28.89	0.0
Zamiel	13.47	219	43.84	3.2	43.84	9.13
sin_faith	13.04	52	34.62	30.77	28.85	5.77
RaKXeR	12.68	80	92.5	0.0	7.5	0.0
duckmammal	10.34	32	78.12	0.0	21.88	0.0
kondain	3.23	32	46.88	0.0	53.12	0.0
