Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Fey	45.45	64	57.81	0.0	42.19	0.0
rachyrules	44.44	26	53.85	0.0	46.15	0.0
torp	43.75	23	91.3	0.0	8.7	0.0
wump	41.94	44	47.73	13.64	34.09	4.55
Syrah	41.18	24	70.83	0.0	29.17	0.0
possum	40.0	21	80.95	0.0	19.05	0.0
griff77	37.5	44	61.36	0.0	38.64	0.0
Pimak	35.71	38	76.32	0.0	23.68	0.0
dobi	32.81	85	50.59	2.35	47.06	0.0
Floriman	32.0	33	81.82	9.09	9.09	0.0
jack67889	30.43	30	63.33	0.0	36.67	0.0
ricardodd	30.0	39	35.9	0.0	64.1	0.0
Nitrate	29.63	35	60.0	0.0	31.43	8.57
MarkusKahlsen	26.32	48	68.75	0.0	31.25	0.0
nkkarpov	26.32	24	100.0	0.0	0.0	0.0
sin_faith	26.09	29	68.97	10.34	17.24	3.45
Lel0uch	25.86	146	43.84	2.74	53.42	0.0
rz	25.0	100	56.0	7.0	32.0	5.0
HelanaAshryvr	23.26	53	67.92	11.32	20.75	0.0
Denchulitas	22.73	27	62.96	0.0	29.63	7.41
bjnh	22.22	44	54.55	0.0	45.45	0.0
hakha3	22.22	66	68.18	0.0	30.3	1.52
robense	21.74	28	64.29	3.57	32.14	0.0
Bot-Fiora	21.43	34	70.59	14.71	14.71	0.0
jeff10	21.43	34	55.88	14.71	26.47	2.94
sephiroth	19.72	85	58.82	0.0	41.18	0.0
Kernel	19.23	31	87.1	0.0	12.9	0.0
asaelr	18.52	32	37.5	12.5	50.0	0.0
Lanvin	18.45	398	57.79	3.77	37.94	0.5
Wittvector	18.34	200	46.0	5.5	46.5	2.0
VerySloppyTwo	17.39	108	59.26	2.78	37.96	0.0
melwen	16.95	138	52.17	3.62	44.2	0.0
eljavi	16.67	28	85.71	0.0	14.29	0.0
TimeHoodie	16.67	77	53.25	3.9	41.56	1.3
squirrel1988	16.28	50	52.0	2.0	46.0	0.0
frosty104	16.13	36	72.22	0.0	27.78	0.0
kevincaseytdk1	14.0	57	47.37	1.75	38.6	12.28
Onen	13.64	50	60.0	0.0	38.0	2.0
indego	12.44	253	55.34	7.51	32.02	5.14
Kyle	12.2	46	69.57	21.74	8.7	0.0
ChristopheAF	12.18	221	74.66	7.24	16.29	1.81
4head	12.12	74	67.57	1.35	31.08	0.0
kopen	10.53	21	42.86	0.0	57.14	0.0
colton	9.68	34	50.0	11.76	20.59	17.65
CaitlinSmith	8.33	26	76.92	7.69	15.38	0.0
knaphill	7.89	41	68.29	9.76	21.95	0.0
newduke	7.08	121	60.33	17.36	22.31	0.0
DarthGandalf	5.26	20	50.0	0.0	40.0	10.0
