Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
squidgetx	108.33	25	76.0	0.0	24.0	0.0
emilyzhao	77.78	32	75.0	0.0	25.0	0.0
Carunty	50.0	24	66.67	0.0	33.33	0.0
Fey	47.52	149	77.85	0.0	20.13	2.01
postmans	47.37	28	78.57	0.0	21.43	0.0
plus	46.51	126	70.63	0.0	29.37	0.0
StKildaFan	45.45	64	43.75	0.0	56.25	0.0
rz	44.74	55	74.55	0.0	25.45	0.0
piper	44.44	39	84.62	0.0	15.38	0.0
Sucubis	42.11	27	59.26	0.0	37.04	3.7
rachyrules	37.17	155	59.35	0.0	40.65	0.0
hakha3	35.48	42	54.76	4.76	40.48	0.0
derekcheah	33.33	64	73.44	3.12	23.44	0.0
doctorabi	33.33	40	47.5	15.0	32.5	5.0
melwen	32.69	207	47.34	16.43	36.23	0.0
scharkbite	32.5	53	62.26	0.0	37.74	0.0
Pablo-	31.15	160	63.75	0.62	35.62	0.0
TheDaniMan	30.0	156	60.9	0.0	38.46	0.64
Lel0uch	29.56	412	22.33	7.77	62.86	7.04
ejwu	29.41	22	63.64	9.09	27.27	0.0
Nitrate	29.33	97	73.2	1.03	25.77	0.0
Zakisan	29.33	97	64.95	2.06	32.99	0.0
bjnh	27.78	23	73.91	0.0	26.09	0.0
Nitrate2	27.78	92	75.0	1.09	23.91	0.0
TimeHoodie	27.72	129	51.16	1.55	44.96	2.33
Floriman	25.0	50	74.0	0.0	26.0	0.0
MangoPie	24.44	56	66.07	0.0	33.93	0.0
lotem	24.0	62	95.16	0.0	4.84	0.0
swineherd	24.0	155	62.58	4.52	32.9	0.0
will.i.am	23.93	145	42.76	6.21	51.03	0.0
asaelr	23.53	63	60.32	0.0	39.68	0.0
jeff10	22.92	59	54.24	5.08	37.29	3.39
jack67889	22.64	130	66.15	3.85	30.0	0.0
Lanvin	22.61	244	53.28	2.05	43.44	1.23
HelanaAshryvr	22.22	22	68.18	0.0	31.82	0.0
kevincaseytdk1	22.22	44	54.55	0.0	45.45	0.0
VerySloppyTwo	21.95	100	69.0	2.0	29.0	0.0
ADrone	21.74	28	53.57	0.0	42.86	3.57
dobi	21.43	68	32.35	0.0	63.24	4.41
frosty104	21.05	46	41.3	4.35	54.35	0.0
Dr_Kakashi	20.83	29	65.52	3.45	31.03	0.0
honzas	20.0	24	79.17	0.0	20.83	0.0
sin_faith	20.0	54	72.22	0.0	27.78	0.0
padi	19.35	37	67.57	0.0	32.43	0.0
robense	18.69	127	54.33	3.94	41.73	0.0
Wittvector	18.55	147	69.39	2.72	24.49	3.4
sephiroth	18.35	316	67.72	1.9	30.06	0.32
Kyle	18.07	98	48.98	3.06	47.96	0.0
timotree	15.19	91	49.45	2.2	48.35	0.0
ChristopheAF	14.77	101	64.36	8.91	26.73	0.0
joelwool	14.29	72	70.83	1.39	27.78	0.0
DMoney	14.04	65	50.77	3.08	46.15	0.0
inde	13.9	213	30.99	2.82	61.03	5.16
newduke	13.89	41	56.1	14.63	29.27	0.0
Bonja97	13.64	75	62.67	1.33	36.0	0.0
indego	13.44	211	30.33	2.84	61.61	5.21
XMIL	13.33	51	68.63	0.0	31.37	0.0
LaFayetteX	10.53	21	33.33	9.52	57.14	0.0
Denchulitas	9.52	23	65.22	0.0	34.78	0.0
pianoblook	8.82	74	51.35	1.35	45.95	1.35
avanderwalde	7.69	28	46.43	0.0	53.57	0.0
kodomazer	5.0	21	95.24	0.0	4.76	0.0
