Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
NoMercy	400.0	5	100.0	0.0	0.0	0.0
charmander	200.0	3	66.67	0.0	33.33	0.0
Fey	180.0	14	100.0	0.0	0.0	0.0
Animex52	100.0	2	100.0	0.0	0.0	0.0
IAMGUESSING	100.0	2	100.0	0.0	0.0	0.0
joaep2	100.0	4	100.0	0.0	0.0	0.0
sckuzzle	100.0	2	100.0	0.0	0.0	0.0
Fireheart	60.0	24	75.0	0.0	25.0	0.0
sephiroth	60.0	8	87.5	0.0	12.5	0.0
Ahming	50.0	3	100.0	0.0	0.0	0.0
asaelr	50.0	30	90.0	0.0	10.0	0.0
lailie.ahava	50.0	3	100.0	0.0	0.0	0.0
newduke	50.0	3	100.0	0.0	0.0	0.0
Pablo-	50.0	3	100.0	0.0	0.0	0.0
Zakisan	50.0	3	33.33	0.0	66.67	0.0
Dr_Kakashi	45.45	32	81.25	0.0	18.75	0.0
Floriman	43.75	46	78.26	0.0	21.74	0.0
Sucubis	42.86	10	100.0	0.0	0.0	0.0
Jake_Stiles	42.11	27	100.0	0.0	0.0	0.0
piper	41.67	17	76.47	0.0	23.53	0.0
DoubleDown11	41.03	55	89.09	0.0	10.91	0.0
IAMJEFF	40.0	7	85.71	0.0	14.29	0.0
sankala fan	40.0	7	85.71	0.0	14.29	0.0
TheDaniMan	40.0	7	100.0	0.0	0.0	0.0
kealariser	37.5	11	100.0	0.0	0.0	0.0
micerang	33.73	111	83.78	0.0	16.22	0.0
frollo9386	33.33	4	100.0	0.0	0.0	0.0
kodomazer	33.33	16	87.5	0.0	12.5	0.0
MarkusKahlsen	33.33	4	100.0	0.0	0.0	0.0
padi	33.33	36	91.67	0.0	8.33	0.0
Yuga Suggah	33.33	16	87.5	0.0	12.5	0.0
Zamiel	31.25	21	71.43	0.0	28.57	0.0
Nitrate	28.0	32	78.12	0.0	21.88	0.0
Kyle	25.23	134	81.34	0.0	18.66	0.0
derekcheah	25.0	5	80.0	20.0	0.0	0.0
Feer	25.0	10	90.0	0.0	10.0	0.0
Nils	25.0	5	80.0	0.0	20.0	0.0
Nitrate2	25.0	5	100.0	0.0	0.0	0.0
SashaIr	25.0	10	100.0	0.0	0.0	0.0
scharkbite	23.08	64	75.0	1.56	23.44	0.0
duckmammal	21.43	68	85.29	0.0	14.71	0.0
