Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Zamiel	61.54	21	100.0	0.0	0.0	0.0
robense	60.0	40	80.0	0.0	20.0	0.0
padi	52.94	26	61.54	0.0	38.46	0.0
Fey	47.62	31	96.77	0.0	3.23	0.0
Floriman	46.43	41	56.1	9.76	34.15	0.0
Pablo-	41.53	259	64.48	2.32	33.2	0.0
swineherd	37.04	111	73.87	6.31	19.82	0.0
rachyrules	36.84	26	84.62	0.0	15.38	0.0
Gueust	33.33	40	100.0	0.0	0.0	0.0
plus	33.33	88	85.23	2.27	12.5	0.0
MarkusKahlsen	32.26	123	73.98	0.81	25.2	0.0
jeff10	31.25	21	90.48	0.0	9.52	0.0
jack67889	30.23	112	64.29	4.46	31.25	0.0
asaelr	29.81	135	76.3	2.22	21.48	0.0
timotree	29.41	44	63.64	4.55	31.82	0.0
Animex52	29.27	53	66.04	0.0	33.96	0.0
Sucubis	29.17	62	45.16	3.23	51.61	0.0
cockdestroyer	28.91	330	53.64	6.67	39.7	0.0
kimbifille	27.5	51	76.47	5.88	17.65	0.0
Nitrate	26.74	2019	69.24	2.48	27.98	0.3
TimeHoodie	26.32	144	68.75	0.69	30.56	0.0
nitawa	26.28	173	56.07	4.05	39.88	0.0
sephiroth	25.6	314	74.84	1.91	23.25	0.0
ChristopheAF	25.0	35	77.14	0.0	22.86	0.0
TheDaniMan	25.0	195	70.26	2.56	27.18	0.0
wump	25.0	20	60.0	0.0	40.0	0.0
piper	23.81	26	88.46	0.0	11.54	0.0
melwen	23.55	425	73.41	1.41	24.94	0.24
scharkbite	23.47	121	74.38	0.0	25.62	0.0
joelwool	22.45	60	86.67	1.67	11.67	0.0
Wittvector	22.03	72	47.22	5.56	41.67	5.56
DMoney	20.0	72	61.11	1.39	37.5	0.0
honzas	20.0	24	75.0	0.0	25.0	0.0
LaFayetteX	20.0	30	90.0	0.0	10.0	0.0
Bonja97	19.74	91	68.13	1.1	29.67	1.1
Lanvin	19.51	49	55.1	0.0	44.9	0.0
pianoblook	19.28	99	75.76	1.01	23.23	0.0
penisman	19.05	25	80.0	0.0	20.0	0.0
catula	18.42	45	66.67	2.22	31.11	0.0
Zakisan	18.35	129	71.32	0.78	27.91	0.0
VerySloppyTwo	17.78	53	49.06	3.77	45.28	1.89
Kyle	16.92	76	71.05	1.32	27.63	0.0
Stinkydude63	16.67	21	57.14	0.0	42.86	0.0
lotem	15.79	66	89.39	1.52	9.09	0.0
kalisa	15.0	46	86.96	0.0	13.04	0.0
derekcheah	14.29	64	79.69	0.0	20.31	0.0
kooolant	14.29	32	84.38	9.38	6.25	0.0
Lel0uch	14.0	57	64.91	0.0	33.33	1.75
will.i.am	13.95	98	82.65	2.04	15.31	0.0
sin_faith	13.54	109	78.9	1.83	19.27	0.0
methmatics	12.5	27	44.44	0.0	55.56	0.0
Dr_Kakashi	12.31	73	58.9	0.0	41.1	0.0
XMIL	12.2	184	69.57	1.09	29.35	0.0
antitelharsic	11.11	40	65.0	0.0	35.0	0.0
Carunty	11.11	20	65.0	0.0	35.0	0.0
newduke	9.68	34	61.76	0.0	38.24	0.0
Lilliana	9.52	23	86.96	0.0	13.04	0.0
indego	9.38	70	15.71	0.0	77.14	7.14
vEnhance	9.09	24	62.5	0.0	37.5	0.0
alphabeta	6.67	48	77.08	0.0	22.92	0.0
qbphoenix	3.85	27	77.78	0.0	22.22	0.0
