Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
rz	52.94	26	69.23	0.0	30.77	0.0
MangoPie	45.0	29	55.17	0.0	44.83	0.0
Floriman	43.59	56	80.36	0.0	19.64	0.0
Fireheart	38.1	29	93.1	0.0	6.9	0.0
scharkbite	35.29	23	69.57	0.0	30.43	0.0
griff77	34.48	39	58.97	0.0	41.03	0.0
asaelr	31.82	29	89.66	0.0	10.34	0.0
Libster	31.82	29	68.97	0.0	31.03	0.0
micerang	30.43	30	76.67	0.0	23.33	0.0
padi	30.0	26	92.31	0.0	7.69	0.0
indego	29.41	22	45.45	0.0	54.55	0.0
MasN	28.57	27	74.07	0.0	25.93	0.0
Crux	28.12	41	70.73	0.0	29.27	0.0
Shos	27.78	23	78.26	0.0	21.74	0.0
Pantheia	26.09	58	75.86	0.0	22.41	1.72
Kyle	25.58	54	81.48	0.0	18.52	0.0
4head	25.0	25	52.0	0.0	48.0	0.0
SpaceAnemone	25.0	60	80.0	0.0	20.0	0.0
nkkarpov	21.74	28	64.29	0.0	35.71	0.0
rahsosprout	21.74	28	64.29	0.0	35.71	0.0
newduke	20.83	29	75.86	0.0	24.14	0.0
BlueNovember	20.77	221	72.85	1.36	25.34	0.45
TimeHoodie	17.39	27	88.89	0.0	11.11	0.0
DoubleDown11	11.11	20	100.0	0.0	0.0	0.0
Lanvin	8.51	51	62.75	1.96	35.29	0.0
