Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Asddsa76	33.33	40	80.0	0.0	20.0	0.0
RaKXeR	32.08	70	78.57	0.0	10.0	11.43
Kyle	27.03	47	51.06	6.38	40.43	2.13
qqqq	27.03	47	74.47	0.0	6.38	19.15
sjdrodge	26.32	216	74.07	1.39	13.89	10.65
Swifter	26.32	24	54.17	0.0	0.0	45.83
Andrew_UK	25.0	50	72.0	0.0	14.0	14.0
IAMJEFF	25.0	70	50.0	14.29	35.71	0.0
kemurphy	25.0	40	62.5	0.0	37.5	0.0
Libster	24.06	232	64.66	3.02	6.47	25.86
Fireheart	23.81	52	40.38	23.08	28.85	7.69
Kakashi	23.08	64	67.19	1.56	31.25	0.0
efaust	22.62	103	73.79	0.0	26.21	0.0
florrat2	22.32	137	51.82	5.11	5.84	37.23
Razvogor	21.43	34	82.35	2.94	14.71	0.0
Dr_Kakashi	20.0	60	65.0	1.67	33.33	0.0
Cory	19.44	86	54.65	2.33	16.28	26.74
micerang	19.05	100	62.0	6.0	32.0	0.0
wortel	19.05	25	84.0	0.0	16.0	0.0
Jake_Stiles	16.67	28	50.0	3.57	46.43	0.0
postmans	16.0	29	65.52	0.0	0.0	34.48
Romain672	15.15	38	63.16	2.63	28.95	5.26
Hunter	15.0	23	78.26	0.0	21.74	0.0
Razgovor	13.95	49	83.67	0.0	2.04	14.29
scharkbite	12.82	176	47.73	2.27	25.57	24.43
Zamiel	10.45	560	48.39	4.82	24.11	22.68
sankala	8.33	39	12.82	25.64	10.26	51.28
asaelr	4.0	26	19.23	7.69	73.08	0.0
910dan	0.0	21	9.52	0.0	42.86	47.62
padi	0.0	26	0.0	0.0	3.85	96.15
