Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
robense	67.86	47	55.32	0.0	19.15	0.0
Quentinoo	57.14	33	30.3	3.03	18.18	0.0
plumjo	52.63	29	34.48	3.45	20.69	0.0
wump	51.61	47	59.57	0.0	27.66	0.0
kimbifille	46.67	22	59.09	0.0	36.36	0.0
Fey	45.1	74	75.68	0.0	13.51	0.0
hakha3	43.75	23	65.22	0.0	21.74	0.0
Nitrate	42.62	261	59.39	2.3	32.18	0.0
Nitrate2	41.53	259	59.46	2.32	32.43	0.0
rz	41.03	55	76.36	0.0	12.73	0.0
Floriman	38.89	75	48.0	6.67	37.33	0.0
StKildaFan	38.46	36	50.0	2.78	27.78	0.0
Carunty	37.97	109	60.55	0.92	22.02	0.0
piper	37.04	37	56.76	0.0	37.84	0.0
macanek	34.57	109	14.68	0.0	7.34	0.92
MarkusKahlsen	34.51	191	53.4	0.52	28.27	0.0
Pepepe	33.33	36	66.67	0.0	2.78	0.0
Sucubis	32.43	98	58.16	0.0	30.61	0.0
asaelr	31.86	149	35.57	0.0	38.26	4.7
frosty104	31.71	54	62.96	0.0	27.78	0.0
jack67889	31.02	245	49.8	10.2	22.86	0.41
sephiroth	30.96	313	63.9	1.28	15.97	1.6
TimeHoodie	30.91	144	54.86	0.69	33.33	3.47
kevincaseytdk1	30.77	34	44.12	2.94	14.71	0.0
Animex52	30.56	47	40.43	0.0	14.89	2.13
ChristopheAF	30.0	39	69.23	7.69	10.26	5.13
rachyrules	29.13	133	36.09	5.26	11.28	0.0
Kyle	28.57	117	67.52	1.71	25.64	0.0
timotree	28.57	126	39.68	0.79	10.32	0.0
Tiramisu1th	28.57	27	59.26	0.0	25.93	0.0
frollo9386	28.0	32	50.0	0.0	21.88	0.0
Wittvector	27.42	79	50.63	0.0	34.18	3.8
Zakisan	27.27	42	61.9	0.0	16.67	0.0
plus	27.12	75	62.67	0.0	34.67	0.0
melwen	26.67	190	73.16	0.0	20.53	0.0
Dr_Kakashi	26.53	62	54.84	0.0	41.94	0.0
nitawa	24.64	946	42.49	6.13	37.0	0.53
lotem	24.0	31	67.74	0.0	25.81	0.0
methmatics	23.81	26	34.62	0.0	15.38	3.85
crossproduct	22.73	27	29.63	0.0	3.7	0.0
doctorabi	22.58	76	50.0	0.0	40.79	2.63
DMoney	22.5	98	65.31	0.0	19.39	0.0
pianoblook	22.39	82	56.1	0.0	26.83	0.0
postmans	22.22	33	75.76	0.0	21.21	0.0
TheDaniMan	22.13	149	56.38	0.0	31.54	0.0
scharkbite	22.06	83	62.65	0.0	26.51	0.0
sheamol	21.74	28	28.57	0.0	14.29	0.0
catula	21.05	69	46.38	0.0	26.09	0.0
XMIL	20.9	81	43.21	0.0	40.74	0.0
Lel0uch	20.87	139	40.29	2.16	36.69	5.04
derekcheah	20.75	64	48.44	1.56	45.31	0.0
cockdestroyer	20.0	84	40.48	4.76	38.1	1.19
Div	20.0	24	62.5	0.0	37.5	0.0
katian	20.0	24	54.17	0.0	29.17	0.0
antitelharsic	19.84	151	58.94	10.6	19.21	0.0
joelwool	19.63	128	60.94	0.78	17.97	0.0
swineherd	18.07	98	54.08	1.02	25.51	0.0
metta	17.65	20	50.0	0.0	0.0	0.0
Bonja97	17.33	176	48.86	2.84	30.11	0.0
jeff10	16.28	50	46.0	0.0	32.0	0.0
Veexliat	16.22	43	39.53	0.0	39.53	0.0
indego	16.18	79	44.3	3.8	40.51	0.0
sin_faith	14.47	87	45.98	5.75	22.99	12.64
IsabeltheCat	14.29	24	75.0	0.0	12.5	0.0
VerySloppyTwo	13.64	125	39.2	2.4	35.2	3.2
Isa	12.5	27	66.67	0.0	11.11	0.0
Puzzle	12.0	28	35.71	0.0	17.86	0.0
Lanvin	11.4	127	58.27	6.3	27.56	0.0
newduke	8.57	114	55.26	7.89	24.56	0.0
will.i.am	7.46	72	50.0	4.17	43.06	0.0
JerryYang	7.41	29	27.59	0.0	13.79	0.0
ejwu	4.35	24	50.0	4.17	20.83	0.0
