Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
skyblueexo	42.86	20	100.0	0.0	0.0	0.0
Wittvector	31.25	21	38.1	0.0	61.9	0.0
ChristopheAF	30.3	43	72.09	0.0	27.91	0.0
Alix_Eisenhardt	27.78	23	91.3	0.0	8.7	0.0
MangoPie	27.78	46	69.57	0.0	30.43	0.0
sephiroth	26.09	29	72.41	0.0	27.59	0.0
Kernel	23.81	26	100.0	0.0	0.0	0.0
Kyle	20.59	41	80.49	0.0	19.51	0.0
Padouga	20.0	48	93.75	0.0	6.25	0.0
Lanvin	19.15	112	66.96	0.0	33.04	0.0
CaitlinSmith	19.05	25	80.0	0.0	20.0	0.0
asaelr	15.79	22	100.0	0.0	0.0	0.0
Kaznad	15.38	30	90.0	0.0	10.0	0.0
sin_faith	15.0	23	52.17	8.7	39.13	0.0
Dr_Kakashi	8.33	26	92.31	7.69	0.0	0.0
ligal	7.69	70	100.0	0.0	0.0	0.0
melwen	5.0	21	80.95	0.0	19.05	0.0
4head	2.63	39	69.23	0.0	30.77	0.0
