Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
chriswck	200.0	3	100.0	0.0	0.0	0.0
symplectic	200.0	3	100.0	0.0	0.0	0.0
Bonja97	100.0	2	100.0	0.0	0.0	0.0
csq	100.0	2	100.0	0.0	0.0	0.0
efaust	100.0	2	100.0	0.0	0.0	0.0
eljobe	100.0	4	100.0	0.0	0.0	0.0
Feer	100.0	8	50.0	0.0	50.0	0.0
frog-kun	100.0	2	100.0	0.0	0.0	0.0
jack_0f_hearts	100.0	2	100.0	0.0	0.0	0.0
lailie.ahava	100.0	2	100.0	0.0	0.0	0.0
Mollerz	100.0	2	100.0	0.0	0.0	0.0
orucsoraihc	100.0	2	100.0	0.0	0.0	0.0
owlsong	100.0	2	100.0	0.0	0.0	0.0
piper	100.0	2	100.0	0.0	0.0	0.0
qbphoenix	100.0	2	50.0	0.0	50.0	0.0
red_umbrella	100.0	2	100.0	0.0	0.0	0.0
sephiroth	100.0	4	75.0	0.0	25.0	0.0
smallman	100.0	4	100.0	0.0	0.0	0.0
vanina93	100.0	2	100.0	0.0	0.0	0.0
xdragun	100.0	2	100.0	0.0	0.0	0.0
cak199164	83.33	11	81.82	0.0	18.18	0.0
TheDaniMan	80.0	9	77.78	0.0	22.22	0.0
derekcheah	75.0	7	85.71	0.0	14.29	0.0
PtitMax	75.0	7	85.71	0.0	14.29	0.0
DoubleDown11	60.0	24	91.67	0.0	8.33	0.0
jeep	60.0	16	81.25	0.0	18.75	0.0
kondain	60.0	8	100.0	0.0	0.0	0.0
TimeHoodie	60.0	8	75.0	0.0	25.0	0.0
aladdin3	54.55	17	94.12	0.0	5.88	0.0
bigman	50.0	3	100.0	0.0	0.0	0.0
bradz	50.0	9	100.0	0.0	0.0	0.0
fyermind	50.0	6	100.0	0.0	0.0	0.0
joaep2	50.0	3	100.0	0.0	0.0	0.0
kealariser	50.0	3	100.0	0.0	0.0	0.0
lilserf	50.0	3	100.0	0.0	0.0	0.0
NotRaKXeR	50.0	3	100.0	0.0	0.0	0.0
snkylittleazn	50.0	6	100.0	0.0	0.0	0.0
qqqq	48.78	61	62.3	0.0	34.43	3.28
BlameItOnRaz:D	46.67	22	81.82	0.0	18.18	0.0
darkenblade986	42.86	20	100.0	0.0	0.0	0.0
wortel	42.86	20	80.0	0.0	20.0	0.0
GamerSKTrashCan	41.18	24	87.5	0.0	8.33	4.17
hanabornoob	40.0	7	71.43	0.0	28.57	0.0
pianoblook	37.5	11	54.55	0.0	45.45	0.0
