Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
G4M8	150.0	5	80.0	20.0	0.0	0.0
bigman	100.0	2	100.0	0.0	0.0	0.0
chenrui327	100.0	2	100.0	0.0	0.0	0.0
kondain	100.0	2	100.0	0.0	0.0	0.0
lailie.ahava	100.0	4	100.0	0.0	0.0	0.0
letical	100.0	2	100.0	0.0	0.0	0.0
Longtin	100.0	2	100.0	0.0	0.0	0.0
Maiorskills	100.0	4	100.0	0.0	0.0	0.0
sckuzzle	75.0	7	100.0	0.0	0.0	0.0
910dan	66.67	5	80.0	0.0	20.0	0.0
mathisje	66.67	5	100.0	0.0	0.0	0.0
axe0y	50.0	3	100.0	0.0	0.0	0.0
DoubleDown11	50.0	6	50.0	0.0	50.0	0.0
GamerSKTrashCan	50.0	3	66.67	0.0	33.33	0.0
Hyakinthus	50.0	3	66.67	0.0	33.33	0.0
Instantiation	50.0	3	100.0	0.0	0.0	0.0
Swifter	50.0	3	66.67	0.0	33.33	0.0
wortel	50.0	3	33.33	0.0	66.67	0.0
Livia	38.89	25	48.0	0.0	52.0	0.0
efaust	37.5	11	63.64	0.0	36.36	0.0
Marco	37.5	11	100.0	0.0	0.0	0.0
invarse	33.33	28	75.0	0.0	25.0	0.0
Mike	33.33	4	100.0	0.0	0.0	0.0
Rubix	33.33	4	100.0	0.0	0.0	0.0
TimeHoodie	33.33	4	100.0	0.0	0.0	0.0
sjdrodge	31.25	21	52.38	0.0	47.62	0.0
Sucubis	30.77	17	76.47	0.0	23.53	0.0
Valetta6789	29.17	31	90.32	0.0	9.68	0.0
ThirdStrike	28.57	9	100.0	0.0	0.0	0.0
plads	27.27	14	100.0	0.0	0.0	0.0
urumay	25.93	34	100.0	0.0	0.0	0.0
Yeesh	25.0	5	100.0	0.0	0.0	0.0
axe_y	21.93	139	85.61	0.0	14.39	0.0
ZeNertox	21.62	315	90.79	0.32	8.89	0.0
Ahming	20.0	6	100.0	0.0	0.0	0.0
asaelr	20.0	48	60.42	0.0	39.58	0.0
Feer	20.0	18	77.78	0.0	22.22	0.0
lithiumtoast	20.0	6	100.0	0.0	0.0	0.0
Pas-Monproblem	20.0	6	100.0	0.0	0.0	0.0
Romain672	20.0	48	85.42	0.0	14.58	0.0
zijun	20.0	12	100.0	0.0	0.0	0.0
micerang	18.57	166	56.02	6.63	37.35	0.0
Fireheart	18.09	111	51.35	2.7	45.95	0.0
charlesfire	17.24	204	99.51	0.0	0.49	0.0
aladdin3	16.67	7	85.71	0.0	14.29	0.0
flebelebele	16.67	7	100.0	0.0	0.0	0.0
lotem	16.67	7	85.71	0.0	14.29	0.0
Nitrate	16.67	7	14.29	0.0	85.71	0.0
Ptheven	16.67	21	85.71	9.52	4.76	0.0
Top Left Busta	16.67	7	100.0	0.0	0.0	0.0
kopen	16.36	64	90.62	0.0	9.38	0.0
duckmammal	15.79	22	86.36	0.0	13.64	0.0
The Kaito Kid	15.11	160	83.75	0.0	16.25	0.0
Kyle	15.09	122	64.75	0.0	35.25	0.0
Andrew_UK	14.29	8	100.0	0.0	0.0	0.0
MasN	13.33	17	41.18	0.0	58.82	0.0
whiteiden97	13.33	17	100.0	0.0	0.0	0.0
Dr_Kakashi	13.16	43	81.4	0.0	18.6	0.0
Floriman	12.9	35	80.0	0.0	20.0	0.0
honzas	12.5	9	55.56	0.0	44.44	0.0
RaKXeR	10.71	93	61.29	0.0	38.71	0.0
GoodPlAsTAkTime	10.53	21	100.0	0.0	0.0	0.0
Pascool	10.0	22	100.0	0.0	0.0	0.0
Shos	10.0	11	81.82	0.0	18.18	0.0
Will	10.0	11	90.91	0.0	9.09	0.0
Cory	9.52	23	100.0	0.0	0.0	0.0
IAMJEFF	9.32	129	19.38	1.55	79.07	0.0
thepercman	9.09	12	100.0	0.0	0.0	0.0
scharkbite	8.97	85	70.59	4.71	24.71	0.0
DMoney	8.33	39	58.97	2.56	38.46	0.0
Zamiel	8.26	354	61.02	3.67	35.31	0.0
Jake_Stiles	7.69	56	46.43	0.0	53.57	0.0
yest	7.69	14	100.0	0.0	0.0	0.0
kodomazer	6.25	17	94.12	0.0	5.88	0.0
TL Busta	6.25	17	100.0	0.0	0.0	0.0
NoMercy	3.62	286	37.41	0.35	62.24	0.0
Libster	3.14	1446	35.68	0.0	63.97	0.35
florrat2	2.51	1712	46.9	0.06	53.04	0.0
2426827648237	0.0	5	100.0	0.0	0.0	0.0
ADrone	0	1	100.0	0.0	0.0	0.0
alphabeta	0.0	4	100.0	0.0	0.0	0.0
Animex52	0.0	2	100.0	0.0	0.0	0.0
Asddsa76	0.0	4	100.0	0.0	0.0	0.0
AssMasster	0.0	3	100.0	0.0	0.0	0.0
awe	0.0	4	100.0	0.0	0.0	0.0
bulbasaur	0.0	4	50.0	50.0	0.0	0.0
cak199164	0.0	1	100.0	0.0	0.0	0.0
CompleteTrust	0.0	3	100.0	0.0	0.0	0.0
csq	0.0	1	100.0	0.0	0.0	0.0
Div	0.0	5	80.0	0.0	20.0	0.0
doktorjake	0.0	1	100.0	0.0	0.0	0.0
elperzon	0.0	1	100.0	0.0	0.0	0.0
ff	0.0	2	100.0	0.0	0.0	0.0
hanabornoob	0.0	3	100.0	0.0	0.0	0.0
Himard	0.0	2	100.0	0.0	0.0	0.0
jeep	0	1	100.0	0.0	0.0	0.0
jeremalice	0.0	3	100.0	0.0	0.0	0.0
kimbifille	0.0	3	66.67	0.0	33.33	0.0
marinafeme	0.0	1	100.0	0.0	0.0	0.0
melwen	0.0	5	100.0	0.0	0.0	0.0
pablo	0.0	3	100.0	0.0	0.0	0.0
padi	0.0	4	75.0	0.0	25.0	0.0
pascalotopia	0.0	3	100.0	0.0	0.0	0.0
pianoblook	0.0	1	100.0	0.0	0.0	0.0
Pikachu	0	1	100.0	0.0	0.0	0.0
Pimak	0.0	4	100.0	0.0	0.0	0.0
Poscat	0.0	2	100.0	0.0	0.0	0.0
postmans	0.0	1	100.0	0.0	0.0	0.0
qqqq	0.0	1	100.0	0.0	0.0	0.0
rft50	0	2	100.0	0.0	0.0	0.0
sankala	0.0	4	75.0	0.0	25.0	0.0
sephiroth	0.0	1	100.0	0.0	0.0	0.0
TheRealBradPitt	0.0	2	100.0	0.0	0.0	0.0
TheVisitor	0.0	5	100.0	0.0	0.0	0.0
TheWildCard	0.0	1	100.0	0.0	0.0	0.0
TopLeftBusta	0.0	4	100.0	0.0	0.0	0.0
whosedansisthis	0.0	1	100.0	0.0	0.0	0.0
wjomlex	0.0	2	0.0	0.0	100.0	0.0
xxl	0.0	2	100.0	0.0	0.0	0.0
Yuga Suggah	0.0	4	100.0	0.0	0.0	0.0
zuzwang	0	1	100.0	0.0	0.0	0.0
