Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Lel0uch	29.41	22	50.0	0.0	50.0	0.0
rz	25.0	25	52.0	0.0	48.0	0.0
Lanvin	22.58	38	81.58	0.0	18.42	0.0
DarthGandalf	22.22	22	45.45	0.0	54.55	0.0
griff77	21.74	28	67.86	0.0	32.14	0.0
possum	19.05	75	58.67	0.0	41.33	0.0
Daryl	16.67	21	85.71	0.0	14.29	0.0
Denchulitas	15.38	30	63.33	0.0	36.67	0.0
CaitlinSmith	15.0	46	58.7	0.0	41.3	0.0
knaphill	15.0	46	54.35	0.0	45.65	0.0
BraydonM	13.04	26	84.62	0.0	15.38	0.0
eliclax	13.04	26	46.15	0.0	53.85	0.0
indego	12.0	28	85.71	3.57	10.71	0.0
rahsosprout	10.53	21	66.67	0.0	33.33	0.0
robense	8.7	25	64.0	0.0	32.0	4.0
ontak	7.69	28	46.43	0.0	53.57	0.0
4head	4.55	23	86.96	0.0	13.04	0.0
Wittvector	4.0	26	69.23	0.0	26.92	3.85
