Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
MarkusKahlsen	300.0	8	87.5	0.0	12.5	0.0
BananaBum	200.0	3	100.0	0.0	0.0	0.0
pianoblook	200.0	3	100.0	0.0	0.0	0.0
asaelr	100.0	8	87.5	0.0	12.5	0.0
Bashtastic	100.0	2	100.0	0.0	0.0	0.0
bob65536	100.0	2	100.0	0.0	0.0	0.0
duckless	100.0	2	100.0	0.0	0.0	0.0
NumerateClutter	100.0	2	100.0	0.0	0.0	0.0
PotatoLatte	100.0	2	100.0	0.0	0.0	0.0
rahsosprout	100.0	2	100.0	0.0	0.0	0.0
wump	100.0	2	100.0	0.0	0.0	0.0
jack67889	75.0	7	100.0	0.0	0.0	0.0
DMoney	50.0	3	100.0	0.0	0.0	0.0
griff77	50.0	6	66.67	0.0	33.33	0.0
Nitrate2	50.0	3	100.0	0.0	0.0	0.0
possum	50.0	6	66.67	0.0	33.33	0.0
toppie123	50.0	3	100.0	0.0	0.0	0.0
Lel0uch	44.44	13	76.92	0.0	23.08	0.0
Bashtalicious	36.67	41	65.85	0.0	34.15	0.0
mugsly	35.26	491	60.9	3.46	35.64	0.0
scepheo	35.23	522	63.41	3.26	33.33	0.0
charhanabi	35.14	50	76.0	0.0	24.0	0.0
bjnh	33.33	4	75.0	0.0	25.0	0.0
IsabeltheCat	33.33	4	100.0	0.0	0.0	0.0
kopen	33.33	4	75.0	0.0	25.0	0.0
MangoPie	33.33	20	75.0	0.0	25.0	0.0
melwen	33.33	12	75.0	0.0	25.0	0.0
sin_faith	33.33	4	50.0	0.0	50.0	0.0
Wittvector	33.33	12	66.67	0.0	33.33	0.0
rz	28.57	9	88.89	0.0	11.11	0.0
sephiroth	28.57	9	44.44	0.0	55.56	0.0
VerySloppyTwo	27.27	14	50.0	0.0	50.0	0.0
HelanaAshryvr	26.67	19	63.16	0.0	36.84	0.0
Lanvin	26.53	62	67.74	0.0	32.26	0.0
swineherd	25.0	5	40.0	0.0	60.0	0.0
Nitrate	21.43	17	76.47	0.0	23.53	0.0
Onen	20.0	6	0.0	0.0	100.0	0.0
robense	20.0	6	16.67	16.67	66.67	0.0
wolfpack	20.0	6	50.0	0.0	50.0	0.0
Fey	14.29	16	56.25	0.0	43.75	0.0
ChristopheAF	12.5	18	66.67	0.0	33.33	0.0
hakha3	10.0	11	100.0	0.0	0.0	0.0
CaitlinSmith	8.33	13	23.08	0.0	76.92	0.0
knaphill	7.14	15	33.33	6.67	60.0	0.0
Ahming	0.0	2	100.0	0.0	0.0	0.0
Aluap	0.0	1	100.0	0.0	0.0	0.0
avanderwalde	0.0	1	0.0	0.0	100.0	0.0
BoloEblae	0.0	3	100.0	0.0	0.0	0.0
Bot-Fiora	0.0	1	100.0	0.0	0.0	0.0
catula	0.0	1	100.0	0.0	0.0	0.0
colton	0.0	3	33.33	0.0	66.67	0.0
DarthGandalf	0.0	1	100.0	0.0	0.0	0.0
Denchulitas	0.0	8	25.0	0.0	75.0	0.0
derekcheah	0.0	1	0.0	0.0	100.0	0.0
dobi	0.0	4	50.0	0.0	50.0	0.0
EnchanterTim	0.0	4	100.0	0.0	0.0	0.0
Floriman	0.0	8	100.0	0.0	0.0	0.0
impostor	0.0	1	0.0	0.0	100.0	0.0
indego	0.0	5	20.0	0.0	80.0	0.0
kevincaseytdk1	0.0	18	50.0	0.0	50.0	0.0
kimbifille	0.0	1	100.0	0.0	0.0	0.0
kinkajusrevenge	0.0	3	33.33	0.0	66.67	0.0
Kyle	0.0	3	100.0	0.0	0.0	0.0
Libster	0.0	1	100.0	0.0	0.0	0.0
Livia	0.0	2	100.0	0.0	0.0	0.0
MarcLovesDogs	0	1	100.0	0.0	0.0	0.0
Meowie	0.0	1	100.0	0.0	0.0	0.0
mgce	0	1	100.0	0.0	0.0	0.0
newduke	0.0	5	40.0	0.0	60.0	0.0
nwajfromoz	0.0	3	100.0	0.0	0.0	0.0
Pimak	0.0	2	50.0	0.0	50.0	0.0
Plum	0.0	1	100.0	0.0	0.0	0.0
qbphoenix	0	1	100.0	0.0	0.0	0.0
qqqq	0.0	1	0.0	0.0	100.0	0.0
scharkbite	0.0	2	100.0	0.0	0.0	0.0
Spieler42	0	1	100.0	0.0	0.0	0.0
squirrel1988	0.0	4	75.0	0.0	25.0	0.0
TheDaniMan	0.0	2	100.0	0.0	0.0	0.0
TimeHoodie	0.0	1	0.0	0.0	100.0	0.0
vjk	0.0	1	100.0	0.0	0.0	0.0
voss	0.0	3	66.67	0.0	33.33	0.0
will.i.am	0.0	2	100.0	0.0	0.0	0.0
Zakisan	0.0	11	9.09	0.0	90.91	0.0
Zamiel	0.0	5	80.0	0.0	20.0	0.0
