Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Livia	53.33	23	60.87	0.0	39.13	0.0
Smandon	52.63	29	68.97	0.0	31.03	0.0
Lel0uch	50.0	30	60.0	0.0	40.0	0.0
jeff10	37.93	40	57.5	0.0	42.5	0.0
Zakisan	36.49	101	66.34	0.0	33.66	0.0
rachyrules	34.62	35	71.43	0.0	28.57	0.0
Floriman	34.0	67	49.25	2.99	43.28	4.48
lotem	32.56	57	92.98	0.0	7.02	0.0
joelwool	32.39	94	61.7	0.0	38.3	0.0
Veexliat	31.82	29	82.76	0.0	17.24	0.0
frosty104	31.71	54	40.74	0.0	59.26	0.0
jack67889	30.56	47	70.21	0.0	29.79	0.0
MarkusKahlsen	30.0	156	60.9	0.0	38.46	0.64
asaelr	29.58	92	44.57	6.52	48.91	0.0
Bonja97	29.21	115	66.96	0.0	31.3	1.74
Hartattack	29.17	31	93.55	0.0	6.45	0.0
Zamiel	27.27	42	54.76	11.9	33.33	0.0
Nitrate	27.14	178	71.91	2.81	25.28	0.0
qbphoenix	26.92	33	45.45	0.0	54.55	0.0
e2	26.62	176	71.59	2.84	25.57	0.0
Nitrate2	26.62	176	71.59	2.84	25.57	0.0
Fey	26.44	110	72.73	0.0	27.27	0.0
plus	26.44	220	62.27	6.82	30.91	0.0
timotree	25.49	64	76.56	9.38	14.06	0.0
derekcheah	25.43	291	50.86	5.5	43.64	0.0
DMoney	25.27	114	53.51	0.0	46.49	0.0
padi	25.0	50	72.0	0.0	22.0	6.0
Animex52	23.81	26	38.46	0.0	61.54	0.0
scharkbite	23.39	211	55.45	8.06	36.49	0.0
Dr_Kakashi	21.74	84	48.81	0.0	46.43	4.76
pianoblook	21.43	119	55.46	14.29	27.73	2.52
Pablo-	21.3	131	64.12	0.0	35.88	0.0
squidgetx	21.05	23	34.78	8.7	56.52	0.0
TimeHoodie	21.03	305	52.46	1.97	45.57	0.0
kimbifille	20.69	70	64.29	18.57	17.14	0.0
melwen	20.69	280	66.07	3.21	30.0	0.71
ebin_noob	20.0	42	66.67	0.0	33.33	0.0
sephiroth	20.0	282	57.09	4.26	37.23	1.42
Lanvin	19.35	37	67.57	13.51	18.92	0.0
sin_faith	19.05	75	48.0	18.67	32.0	1.33
postmans	18.92	44	59.09	6.82	31.82	2.27
doctorabi	18.18	65	32.31	0.0	67.69	0.0
lilyxy	17.96	1077	53.3	11.23	35.1	0.37
ADrone	17.65	20	70.0	20.0	5.0	5.0
Tiramisu1th	17.65	20	65.0	0.0	35.0	0.0
cockdestroyer	17.24	68	29.41	0.0	70.59	0.0
swineherd	17.11	219	45.21	6.39	48.4	0.0
Lilliana	16.95	69	47.83	33.33	18.84	0.0
OnceUponAQuine	16.44	85	88.24	0.0	11.76	0.0
Kyle	16.42	156	53.85	1.92	43.59	0.64
will.i.am	15.94	240	46.25	5.83	46.25	1.67
doeo	15.88	642	52.02	8.1	39.25	0.62
felix	15.84	117	72.65	6.84	20.51	0.0
hakha3	15.79	22	36.36	9.09	54.55	0.0
wshin0104	15.2	144	63.89	0.0	36.11	0.0
DrDrej	13.91	655	50.08	11.3	38.02	0.61
ChristopheAF	13.04	26	50.0	0.0	50.0	0.0
newduke	12.5	162	51.23	3.7	45.06	0.0
honzas	11.43	39	25.64	0.0	74.36	0.0
ups	10.96	81	85.19	0.0	14.81	0.0
indego	10.13	783	16.48	18.77	54.28	10.47
kooolant	10.0	66	68.18	12.12	19.7	0.0
Wittvector	9.52	92	42.39	3.26	54.35	0.0
FrozenWinters	7.66	253	62.45	3.95	33.6	0.0
XMIL	3.03	34	76.47	0.0	23.53	0.0
tenbens1010	2.63	39	61.54	0.0	38.46	0.0
