Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
frollo9386	200.0	3	100.0	0.0	0.0	0.0
kiwi628	200.0	3	100.0	0.0	0.0	0.0
savoryoatmeal	200.0	3	66.67	0.0	33.33	0.0
zeinab001	200.0	3	100.0	0.0	0.0	0.0
eljavi	166.67	8	62.5	0.0	37.5	0.0
Shos	166.67	8	100.0	0.0	0.0	0.0
rake	150.0	5	100.0	0.0	0.0	0.0
Aluap	100.0	2	100.0	0.0	0.0	0.0
baads	100.0	2	100.0	0.0	0.0	0.0
BarneyRubble	100.0	2	100.0	0.0	0.0	0.0
bingchin	100.0	2	100.0	0.0	0.0	0.0
Daryl	100.0	6	100.0	0.0	0.0	0.0
diael	100.0	2	100.0	0.0	0.0	0.0
FerKeth	100.0	2	100.0	0.0	0.0	0.0
fishcat	100.0	2	100.0	0.0	0.0	0.0
J4rd1n	100.0	2	100.0	0.0	0.0	0.0
Jtjg	100.0	2	100.0	0.0	0.0	0.0
level_0	100.0	2	0.0	50.0	0.0	50.0
mycarpe	100.0	2	100.0	0.0	0.0	0.0
red_hedgehog	100.0	2	100.0	0.0	0.0	0.0
skyblueexo	100.0	2	50.0	0.0	50.0	0.0
socerman	100.0	2	50.0	0.0	50.0	0.0
squirtle	100.0	2	50.0	0.0	50.0	0.0
tacobot5000	100.0	2	50.0	0.0	50.0	0.0
telsey	100.0	2	0.0	0.0	100.0	0.0
ThorsKraken	100.0	4	100.0	0.0	0.0	0.0
Pepepe	73.68	33	75.76	0.0	24.24	0.0
aquarelle	66.67	5	40.0	0.0	60.0	0.0
BraydonM	66.67	5	40.0	0.0	60.0	0.0
charmander	66.67	5	100.0	0.0	0.0	0.0
Denchulitas	60.0	16	93.75	0.0	6.25	0.0
ejwu	60.0	16	12.5	50.0	37.5	0.0
RaKXeR	60.0	8	75.0	0.0	25.0	0.0
sjdrodge	60.0	8	87.5	0.0	12.5	0.0
honobu	57.14	11	100.0	0.0	0.0	0.0
CaitlinSmith	50.0	3	66.67	0.0	33.33	0.0
eevee	50.0	3	100.0	0.0	0.0	0.0
Jake_Stiles	50.0	9	88.89	0.0	11.11	0.0
memories	50.0	3	0.0	0.0	100.0	0.0
moeski	50.0	3	100.0	0.0	0.0	0.0
nitawa	50.0	15	93.33	0.0	6.67	0.0
NoAnni	50.0	9	100.0	0.0	0.0	0.0
Pimak	50.0	9	66.67	0.0	33.33	0.0
seal101k	50.0	3	100.0	0.0	0.0	0.0
superbipbip	50.0	6	83.33	0.0	16.67	0.0
torp	50.0	6	50.0	0.0	50.0	0.0
Valetta6789	47.06	25	64.0	4.0	28.0	4.0
MarcLovesDogs	46.67	22	81.82	0.0	18.18	0.0
piper	45.28	77	63.64	0.0	36.36	0.0
Fireheart	43.75	23	73.91	0.0	26.09	0.0
rkass	43.08	93	61.29	3.23	35.48	0.0
Cory	42.86	10	30.0	0.0	70.0	0.0
DoubleDown11	42.86	10	90.0	0.0	10.0	0.0
aladdin3	42.31	37	100.0	0.0	0.0	0.0
eliclax	40.0	14	71.43	0.0	28.57	0.0
Hapotata	40.0	7	85.71	0.0	14.29	0.0
kodomazer	38.89	25	72.0	0.0	28.0	0.0
JerryYang	37.5	66	48.48	0.0	51.52	0.0
Livia	37.5	11	63.64	0.0	36.36	0.0
squirrel1988	37.5	11	36.36	0.0	63.64	0.0
antitelharsic	36.36	15	46.67	13.33	40.0	0.0
kopen	36.36	15	53.33	0.0	46.67	0.0
3nvy	33.33	4	100.0	0.0	0.0	0.0
dmigor3	33.33	4	100.0	0.0	0.0	0.0
hailey	33.33	4	50.0	0.0	50.0	0.0
Libster	33.33	12	83.33	0.0	16.67	0.0
MarekU	33.33	8	100.0	0.0	0.0	0.0
Razvogor	33.33	4	100.0	0.0	0.0	0.0
SashaIr	33.33	4	100.0	0.0	0.0	0.0
sheamol	33.33	4	50.0	0.0	50.0	0.0
Spip_B	33.33	4	75.0	0.0	25.0	0.0
macanek	32.26	41	51.22	0.0	43.9	4.88
frosty104	32.23	160	65.62	0.62	32.5	1.25
MarkusKahlsen	31.9	153	54.9	1.31	41.83	1.96
Pablo-	30.91	144	61.11	0.69	34.72	3.47
wortel	30.77	17	52.94	0.0	47.06	0.0
Feich59	30.43	30	90.0	0.0	10.0	0.0
ADrone	30.3	43	62.79	0.0	37.21	0.0
Floriman	29.57	241	57.26	3.32	39.0	0.41
avanderwalde	29.38	207	48.31	3.38	48.31	0.0
Fey	29.0	258	70.54	0.39	28.68	0.39
Sucubis	28.95	147	70.75	0.0	25.85	3.4
derekcheah	28.89	174	59.77	1.15	39.08	0.0
Veexliat	28.57	18	66.67	0.0	33.33	0.0
Carunty	28.0	64	78.12	0.0	21.88	0.0
Bonja97	27.78	46	69.57	10.87	19.57	0.0
letical	27.78	23	73.91	0.0	26.09	0.0
robense	27.59	111	73.87	2.7	23.42	0.0
Car	27.45	65	78.46	0.0	21.54	0.0
asaelr	27.41	172	58.14	0.0	38.95	2.91
swineherd	27.0	127	70.08	0.0	29.92	0.0
catula	26.67	38	89.47	0.0	10.53	0.0
hakha3	26.51	105	67.62	0.95	30.48	0.95
Nitrate2	26.32	144	68.75	0.69	30.56	0.0
katian	26.09	29	68.97	0.0	31.03	0.0
plus	25.19	169	66.86	1.18	31.95	0.0
bjnh	25.0	25	76.0	0.0	24.0	0.0
capncook	25.0	5	100.0	0.0	0.0	0.0
CompleteTrust	25.0	5	100.0	0.0	0.0	0.0
hanabornoob	25.0	5	100.0	0.0	0.0	0.0
rachyrules	25.0	90	56.67	2.22	40.0	1.11
sean1815	25.0	10	100.0	0.0	0.0	0.0
StKildaFan	25.0	95	50.53	0.0	47.37	2.11
Nitrate	24.82	171	71.93	0.58	27.49	0.0
Zamiel	24.72	111	72.97	0.0	24.32	2.7
cockdestroyer	24.24	41	65.85	0.0	34.15	0.0
doctorabi	24.21	118	53.39	0.0	46.61	0.0
jeff10	23.81	130	60.0	6.15	33.08	0.77
dobi	23.53	105	49.52	0.95	48.57	0.95
timotree	23.53	126	65.87	2.38	30.16	1.59
Nils	23.08	32	68.75	0.0	31.25	0.0
kevincaseytdk1	22.86	43	51.16	6.98	41.86	0.0
DMoney	22.37	93	16.13	0.0	83.87	0.0
DrJones	22.22	11	81.82	0.0	18.18	0.0
jack67889	21.64	163	57.06	0.0	40.49	2.45
Zakisan	21.28	114	72.81	2.63	24.56	0.0
rz	21.25	97	57.73	1.03	41.24	0.0
pianoblook	21.15	126	50.0	1.59	48.41	0.0
Div	20.83	58	77.59	3.45	18.97	0.0
TheDaniMan	20.74	326	52.76	1.84	45.4	0.0
Lel0uch	20.48	353	58.07	2.27	36.83	2.83
Wittvector	20.11	209	60.29	2.87	36.84	0.0
bulbasaur	20.0	6	66.67	33.33	0.0	0.0
HelanaAshryvr	20.0	42	45.24	4.76	50.0	0.0
Lanvin	20.0	258	65.12	5.81	28.29	0.78
qqqq	20.0	18	55.56	5.56	11.11	27.78
Rubix	20.0	6	100.0	0.0	0.0	0.0
sephiroth	19.92	283	62.54	1.06	35.69	0.71
sin_faith	19.48	368	66.58	2.72	25.27	5.43
ricardodd	19.44	43	51.16	0.0	48.84	0.0
melwen	19.26	737	59.7	2.58	37.72	0.0
Spieler42	19.05	25	92.0	0.0	8.0	0.0
vEnhance	19.05	25	60.0	0.0	40.0	0.0
padi	18.87	63	68.25	0.0	28.57	3.17
Kyle	18.79	569	59.23	1.76	38.84	0.18
arnino	18.52	32	75.0	0.0	25.0	0.0
Lilliana	18.37	58	68.97	1.72	27.59	1.72
